,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,Milwaukee Bucks*,66,16,.805,—,118.4,106.2,11.92,West,1
1,New York Knicks*,52,30,.634,—,110.1,105.0,5.05,East,1
2,Chicago Bulls*,51,31,.622,15.0,110.6,105.4,5.47,West,2
3,Phoenix Suns,48,34,.585,18.0,113.8,111.9,2.33,West,3
4,Los Angeles Lakers*,48,34,.585,—,114.8,111.7,3.27,West,5
5,Philadelphia 76ers*,47,35,.573,5.0,114.8,113.3,1.81,East,2
6,Detroit Pistons,45,37,.549,21.0,110.1,110.9,-0.33,West,4
7,Boston Celtics,44,38,.537,8.0,117.2,115.1,2.30,East,3
8,Baltimore Bullets*,42,40,.512,—,112.9,112.3,0.91,East,5
9,San Francisco Warriors*,41,41,.500,7.0,107.1,108.5,-0.83,West,6
10,San Diego Rockets,40,42,.488,8.0,113.2,113.4,0.21,West,7
11,Seattle SuperSonics,38,44,.463,10.0,115.0,117.0,-1.53,West,8
12,Atlanta Hawks*,36,46,.439,6.0,114.0,115.8,-1.30,East,6
13,Cincinnati Royals,33,49,.402,9.0,116.0,119.2,-2.96,East,7
14,Portland Trail Blazers,29,53,.354,19.0,115.5,120.0,-6.20,West,9
15,Buffalo Braves,22,60,.268,30.0,105.5,112.1,-8.02,East,4
16,Cleveland Cavaliers,15,67,.183,27.0,102.1,113.3,-12.04,East,8
