,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,New York Knicks*,82,240.9,40.8,94.5,0.431,,,,40.8,94.5,0.431,23.5,31.3,0.752,,,56.0,18.4,,,,23.0,105.0
1,2.0,Chicago Bulls*,82,240.9,42.6,94.0,0.453,,,,42.6,94.0,0.453,20.2,27.0,0.748,,,49.2,23.3,,,,25.6,105.4
2,3.0,Milwaukee Bucks*,82,241.2,42.5,100.3,0.424,,,,42.5,100.3,0.424,21.1,28.3,0.744,,,48.8,23.5,,,,21.6,106.2
3,4.0,San Francisco Warriors*,82,240.3,43.7,102.1,0.428,,,,43.7,102.1,0.428,21.2,28.3,0.748,,,52.5,23.8,,,,23.0,108.5
4,5.0,Detroit Pistons,82,242.1,43.0,94.1,0.457,,,,43.0,94.1,0.457,24.9,33.0,0.755,,,52.3,23.3,,,,25.5,110.9
5,6.0,Los Angeles Lakers*,82,240.9,46.3,103.8,0.446,,,,46.3,103.8,0.446,19.1,25.7,0.744,,,55.5,25.3,,,,23.8,111.7
6,7.0,Phoenix Suns,82,241.2,42.8,95.5,0.448,,,,42.8,95.5,0.448,26.4,35.6,0.741,,,50.9,25.2,,,,26.9,111.9
7,8.0,Buffalo Braves,82,241.5,42.5,93.5,0.455,,,,42.5,93.5,0.455,27.1,36.8,0.737,,,54.2,24.4,,,,23.9,112.1
8,9.0,Baltimore Bullets*,82,241.5,44.4,99.6,0.446,,,,44.4,99.6,0.446,23.5,31.5,0.745,,,54.1,22.7,,,,23.1,112.3
9,10.0,Cleveland Cavaliers,82,240.0,42.4,91.2,0.465,,,,42.4,91.2,0.465,28.5,36.9,0.773,,,50.9,28.1,,,,23.2,113.3
10,11.0,Philadelphia 76ers*,82,240.9,42.9,95.2,0.45,,,,42.9,95.2,0.45,27.6,37.5,0.735,,,53.3,24.0,,,,25.5,113.3
11,12.0,San Diego Rockets,82,240.6,44.4,98.8,0.449,,,,44.4,98.8,0.449,24.7,33.5,0.737,,,53.0,26.0,,,,26.1,113.4
12,13.0,Boston Celtics,82,241.2,44.0,100.1,0.44,,,,44.0,100.1,0.44,27.0,36.4,0.742,,,53.0,23.3,,,,23.9,115.1
13,14.0,Atlanta Hawks*,82,240.9,46.4,104.0,0.446,,,,46.4,104.0,0.446,23.1,30.7,0.753,,,52.2,24.3,,,,25.3,115.8
14,15.0,Seattle SuperSonics,82,240.6,46.4,99.0,0.469,,,,46.4,99.0,0.469,24.2,32.7,0.741,,,50.7,24.3,,,,25.1,117.0
15,16.0,Cincinnati Royals,82,241.8,46.3,99.1,0.467,,,,46.3,99.1,0.467,26.6,36.5,0.73,,,57.0,25.0,,,,24.1,119.2
16,17.0,Portland Trail Blazers,82,240.9,47.6,101.6,0.468,,,,47.6,101.6,0.468,24.8,33.6,0.739,,,59.6,27.6,,,,24.8,120.0
17,,League Average,82,241.0,44.0,98.0,0.449,,,,44.0,98.0,0.449,24.3,32.7,0.745,,,53.1,24.3,,,,24.4,112.4
