,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Cincinnati Royals*,80,241.6,43.5,97.5,0.447,,,,43.5,97.5,0.447,27.1,35.8,0.757,,,67.3,23.0,,,,24.9,114.2
1,2.0,Baltimore Bullets*,80,242.2,42.8,96.7,0.442,,,,42.8,96.7,0.442,28.1,39.3,0.714,,,66.2,21.0,,,,26.5,113.6
2,3.0,Boston Celtics*,80,240.9,44.6,107.6,0.414,,,,44.6,107.6,0.414,23.6,32.3,0.731,,,71.9,22.2,,,,25.8,112.8
3,4.0,Philadelphia 76ers*,80,240.9,42.4,100.4,0.422,,,,42.4,100.4,0.422,27.8,37.6,0.738,,,65.6,21.2,,,,26.2,112.5
4,5.0,Los Angeles Lakers*,80,241.9,41.7,95.4,0.437,,,,41.7,95.4,0.437,28.5,37.3,0.763,,,65.4,20.0,,,,25.0,111.9
5,6.0,St. Louis Hawks*,80,240.3,40.9,96.4,0.424,,,,40.9,96.4,0.424,27.1,36.8,0.736,,,65.1,21.1,,,,25.9,108.8
6,7.0,Detroit Pistons,80,241.6,43.3,103.7,0.418,,,,43.3,103.7,0.418,21.8,31.7,0.689,,,67.4,20.1,,,,25.7,108.5
7,8.0,New York Knicks,80,243.8,41.7,97.9,0.426,,,,41.7,97.9,0.426,23.9,33.6,0.713,,,65.1,19.4,,,,28.5,107.4
8,9.0,San Francisco Warriors,80,241.9,41.5,103.1,0.403,,,,41.5,103.1,0.403,22.7,35.6,0.64,,,71.4,20.7,,,,25.0,105.8
9,,League Average,80,241.7,42.5,99.8,0.426,,,,42.5,99.8,0.426,25.6,35.6,0.721,,,67.3,21.0,,,,25.9,110.6
