,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,Los Angeles Clippers,9,41,.180,26.0,90.4,99.2,-8.94,West,14
1,Vancouver Grizzlies,8,42,.160,29.0,88.9,97.5,-8.94,West,7
2,San Antonio Spurs*,37,13,.740,—,92.8,84.7,7.12,West,1
3,Utah Jazz*,37,13,.740,—,93.3,86.8,5.54,West,2
4,Portland Trail Blazers*,35,15,.700,—,94.8,88.5,5.67,West,8
5,Miami Heat*,33,17,.660,—,89.0,84.0,5.11,East,1
6,Orlando Magic*,33,17,.660,—,89.5,86.9,3.11,East,2
7,Indiana Pacers*,33,17,.660,—,94.7,90.9,3.86,East,8
8,Houston Rockets*,31,19,.620,6.0,94.2,91.9,1.39,West,3
9,Atlanta Hawks*,31,19,.620,2.0,86.3,83.4,2.82,East,9
10,Los Angeles Lakers*,31,19,.620,4.0,99.0,96.0,2.68,West,9
11,Detroit Pistons*,29,21,.580,4.0,90.4,86.9,3.97,East,10
12,Philadelphia 76ers*,28,22,.560,5.0,89.7,87.6,2.56,East,3
13,Milwaukee Bucks*,28,22,.560,5.0,91.7,90.0,1.66,East,11
14,New York Knicks*,27,23,.540,6.0,86.4,85.4,1.45,East,4
15,Phoenix Suns*,27,23,.540,8.0,95.6,93.3,2.15,West,10
16,Sacramento Kings*,27,23,.540,8.0,100.2,100.6,-0.89,West,11
17,Charlotte Hornets,26,24,.520,7.0,92.9,93.0,0.63,East,12
18,Minnesota Timberwolves*,25,25,.500,12.0,92.9,92.6,-0.17,West,4
19,Seattle SuperSonics,25,25,.500,10.0,94.9,95.9,-1.43,West,12
20,Toronto Raptors,23,27,.460,10.0,91.1,92.8,-1.32,East,13
21,Cleveland Cavaliers,22,28,.440,11.0,86.4,88.2,-0.94,East,14
22,Golden State Warriors,21,29,.420,14.0,88.3,90.8,-2.63,West,13
23,Boston Celtics,19,31,.380,14.0,93.0,94.9,-1.75,East,5
24,Dallas Mavericks,19,31,.380,18.0,91.6,94.0,-2.50,West,5
25,Washington Wizards,18,32,.360,15.0,91.2,93.4,-1.75,East,6
26,New Jersey Nets,16,34,.320,17.0,91.4,95.2,-3.20,East,7
27,Denver Nuggets,14,36,.280,23.0,93.5,100.1,-6.67,West,6
28,Chicago Bulls,13,37,.260,20.0,81.9,91.4,-8.58,East,15
