,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,Boston Celtics*,60,22,.732,—,106.5,100.8,5.40,East,1
1,Washington Bullets*,60,22,.732,—,104.7,97.5,6.53,East,5
2,Buffalo Braves*,49,33,.598,11.0,107.8,105.6,2.16,East,2
3,Golden State Warriors*,48,34,.585,—,108.5,105.2,2.86,West,5
4,Chicago Bulls*,47,35,.573,—,98.1,95.0,2.88,West,1
5,Kansas City-Omaha Kings*,44,38,.537,3.0,101.4,101.6,-0.16,West,2
6,Seattle SuperSonics*,43,39,.524,5.0,103.1,104.1,-1.19,West,6
7,Houston Rockets*,41,41,.500,19.0,103.9,102.9,0.84,East,6
8,New York Knicks*,40,42,.488,20.0,100.4,101.7,-0.92,East,3
9,Detroit Pistons*,40,42,.488,7.0,98.9,100.3,-1.19,West,3
10,Cleveland Cavaliers,40,42,.488,20.0,99.0,99.4,-0.31,East,7
11,Milwaukee Bucks,38,44,.463,9.0,100.7,100.5,0.25,West,4
12,Portland Trail Blazers,38,44,.463,10.0,103.8,103.3,0.27,West,7
13,Philadelphia 76ers,34,48,.415,26.0,99.8,102.8,-2.60,East,4
14,Phoenix Suns,32,50,.390,16.0,101.2,103.6,-2.36,West,8
15,Atlanta Hawks,31,51,.378,29.0,105.1,106.5,-1.32,East,8
16,Los Angeles Lakers,30,52,.366,18.0,103.2,107.2,-3.94,West,9
17,New Orleans Jazz,23,59,.280,37.0,101.5,109.3,-7.30,East,9
