,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Minneapolis Lakers*,,44.0,24.0,49,19,5.41,-0.63,4.79,86.4,80.7,5.7,94.8,0.356,,0.436,,0.373,,,0.262,,,,,,,Minneapolis Auditorium,,
1,2.0,Philadelphia Warriors*,,40.0,26.0,43,23,3.76,-0.36,3.4,84.8,81.0,3.8,99.3,0.385,,0.425,,0.35,,,0.294,,,,,,,Philadelphia Arena,,
2,3.0,Rochester Royals*,,41.0,27.0,42,26,2.99,-0.44,2.54,89.3,86.2,3.1,92.3,0.418,,0.452,,0.378,,,0.315,,,,,,,Edgerton Park Arena,,
3,4.0,Syracuse Nationals*,,32.0,34.0,34,32,0.53,0.09,0.62,86.4,85.9,0.5,98.1,0.491,,0.435,,0.351,,,0.356,,,,,,,State Fair Coliseum,,
4,5.0,New York Knicks*,,36.0,30.0,34,32,0.41,0.07,0.49,88.0,87.6,0.4,94.8,0.415,,0.445,,0.379,,,0.296,,,,,,,Madison Square Garden (III),,
5,6.0,Boston Celtics*,,39.0,30.0,34,35,-0.26,-0.15,-0.41,87.3,87.6,-0.3,95.9,0.431,,0.441,,0.368,,,0.312,,,,,,,Boston Garden,197888.0,
6,7.0,Fort Wayne Pistons*,,32.0,36.0,29,39,-1.87,0.07,-1.81,82.0,83.8,-1.8,102.4,0.403,,0.41,,0.338,,,0.29,,,,,,,North Side High School Gym,,
7,8.0,Baltimore Bullets,,24.0,42.0,27,39,-2.29,0.35,-1.94,83.9,86.3,-2.4,96.8,0.364,,0.421,,0.353,,,0.271,,,,,,,Baltimore Coliseum,,
8,9.0,Indianapolis Olympians*,,31.0,37.0,27,41,-2.37,0.37,-2.0,83.6,86.0,-2.4,96.4,0.329,,0.42,,0.363,,,0.236,,,,,,,Hinkle Fieldhouse,,
9,10.0,Tri-Cities Blackhawks,,25.0,43.0,24,44,-3.79,0.56,-3.22,80.8,84.4,-3.6,103.9,0.401,,0.403,,0.329,,,0.29,,,,,,,Wharton Field House,,
10,11.0,Washington Capitols,,10.0,25.0,11,24,-4.77,0.14,-4.63,83.2,88.1,-4.9,97.1,0.413,,0.416,,0.334,,,0.316,,,,,,,Uline Arena,,
11,,League Average,,,,32,32,0.0,0.0,0.0,85.1,85.1,,97.4,0.399,,0.428,,0.357,,,0.293,,,,,,,,197888.0,
