,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
1,Philadelphia Warriors*,40,26,.606,—,85.4,81.6,3.40,East,1.0
2,Boston Celtics*,39,30,.565,2.5,85.2,85.5,-0.41,East,2.0
3,New York Knicks*,36,30,.545,4.0,85.8,85.4,0.49,East,3.0
4,Syracuse Nationals*,32,34,.485,8.0,86.1,85.5,0.62,East,4.0
5,Baltimore Bullets,24,42,.364,16.0,82.0,84.3,-1.94,East,5.0
6,Washington Capitols,10,25,.286,14.5,81.3,86.0,-4.63,East,6.0
8,Minneapolis Lakers*,44,24,.647,—,82.8,77.4,4.79,West,1.0
9,Rochester Royals*,41,27,.603,3.0,84.6,81.7,2.54,West,2.0
10,Fort Wayne Pistons*,32,36,.471,12.0,84.1,86.0,-1.81,West,3.0
11,Indianapolis Olympians*,31,37,.456,13.0,81.7,84.1,-2.00,West,4.0
12,Tri-Cities Blackhawks,25,43,.368,19.0,84.3,88.1,-3.22,West,5.0
