,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Boston Celtics*,28.4,59.0,21.0,59,21,7.9,-0.97,6.93,90.1,83.8,6.3,125.0,0.284,,0.458,,0.413,,,0.206,,,,,,,Boston Garden,223347.0,
1,2.0,Cincinnati Royals*,26.0,55.0,25.0,52,28,5.08,-0.65,4.43,98.9,94.5,4.4,115.9,0.364,,0.51,,0.453,,,0.277,,,,,,,Cincinnati Gardens,,
2,3.0,San Francisco Warriors*,25.5,48.0,32.0,53,27,5.11,-0.73,4.41,93.0,88.6,4.4,115.1,0.363,,0.477,,0.438,,,0.231,,,,,,,Cow Palace,,
3,4.0,St. Louis Hawks*,27.5,46.0,34.0,44,36,1.6,-0.21,1.39,95.4,94.0,1.4,114.6,0.359,,0.488,,0.43,,,0.272,,,,,,,Kiel Auditorium,,
4,5.0,Los Angeles Lakers*,26.3,42.0,38.0,43,37,1.03,-0.14,0.87,97.9,97.0,0.9,111.6,0.391,,0.503,,0.44,,,0.3,,,,,,,Los Angeles Memorial Sports Arena,322331.0,
5,6.0,Baltimore Bullets,25.0,31.0,49.0,36,44,-1.79,0.2,-1.59,95.0,96.6,-1.6,117.0,0.376,,0.488,,0.44,,,0.259,,,,,,,Baltimore Civic Center,,
6,7.0,Philadelphia 76ers*,27.4,34.0,46.0,30,50,-4.39,0.64,-3.75,93.8,97.5,-3.7,119.4,0.351,,0.479,,0.418,,,0.269,,,,,,,Convention Hall,,
7,8.0,New York Knicks,25.7,22.0,58.0,24,56,-6.81,0.9,-5.91,95.4,101.2,-5.8,117.1,0.362,,0.491,,0.445,,,0.247,,,,,,,Madison Square Garden (III),,
8,9.0,Detroit Pistons,25.5,23.0,57.0,22,58,-7.73,0.95,-6.77,92.5,99.1,-6.6,115.9,0.338,,0.472,,0.421,,,0.243,,,,,,,Cobo Arena,,
9,,League Average,26.3,,,40,40,0.0,0.0,0.0,94.6,94.6,,116.8,0.353,,0.485,,0.433,,,0.255,,,,,,,,272839.0,
