,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,San Francisco Warriors*,80,,,,,,,,,,,,,,,,,,,,,,102.6
1,2.0,Boston Celtics*,80,,,,,,,,,,,,,,,,,,,,,,105.1
2,3.0,St. Louis Hawks*,80,,,,,,,,,,,,,,,,,,,,,,108.4
3,4.0,Los Angeles Lakers*,80,,,,,,,,,,,,,,,,,,,,,,108.7
4,5.0,Cincinnati Royals*,80,,,,,,,,,,,,,,,,,,,,,,109.7
5,6.0,Baltimore Bullets,80,,,,,,,,,,,,,,,,,,,,,,113.6
6,7.0,Detroit Pistons,80,,,,,,,,,,,,,,,,,,,,,,115.5
7,8.0,Philadelphia 76ers*,80,,,,,,,,,,,,,,,,,,,,,,116.5
8,9.0,New York Knicks,80,,,,,,,,,,,,,,,,,,,,,,119.0
9,,League Average,80,,42.9,99.1,0.433,,,,42.9,99.1,0.433,25.3,35.0,0.722,,,65.9,21.4,,,,26.8,111.0
