,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner,Unnamed: 32_level_0,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%FGA,Md.,Unnamed: 29_level_1,%3PA,3P%,Unnamed: 32_level_1,Att.,Md.
0,1.0,Atlanta Hawks,82,19905,0.433,11.7,,0.809,0.303,0.148,0.153,0.205,0.191,,0.456,0.577,0.371,0.363,0.409,0.335,,0.537,0.845,,0.045,289,,0.232,767,,0.292,0.37,,2.0,0.0
1,2.0,Boston Celtics*,82,19705,0.443,13.0,,0.751,0.285,0.126,0.118,0.222,0.249,,0.475,0.608,0.35,0.394,0.42,0.346,,0.524,0.875,,0.048,284,,0.227,764,,0.259,0.394,,10.0,0.0
2,3.0,Chicago Bulls,82,19830,0.414,12.4,,0.814,0.283,0.13,0.142,0.259,0.186,,0.431,0.537,0.385,0.349,0.383,0.342,,0.614,0.79,,0.045,283,,0.217,665,,0.214,0.349,,10.0,1.0
3,4.0,Cleveland Cavaliers,82,19855,0.433,10.6,,0.884,0.318,0.173,0.196,0.197,0.116,,0.448,0.586,0.355,0.387,0.368,0.314,,0.595,0.879,,0.051,322,,0.22,768,,0.29,0.338,,13.0,0.0
4,5.0,Dallas Mavericks*,82,19805,0.459,12.1,,0.799,0.29,0.159,0.129,0.219,0.201,,0.488,0.619,0.414,0.428,0.402,0.348,,0.548,0.828,,0.024,163,,0.243,1021,,0.168,0.373,,18.0,0.0
5,6.0,Denver Nuggets*,82,19730,0.443,11.3,,0.854,0.345,0.111,0.127,0.272,0.146,,0.461,0.597,0.365,0.377,0.365,0.336,,0.574,0.801,,0.07,425,,0.242,868,,0.192,0.381,,10.0,0.0
6,7.0,Detroit Pistons*,82,19780,0.435,10.7,,0.847,0.34,0.153,0.175,0.179,0.153,,0.452,0.566,0.356,0.393,0.374,0.344,,0.592,0.817,,0.053,299,,0.259,822,,0.257,0.394,,7.0,0.0
7,8.0,Golden State Warriors,82,19855,0.442,11.9,,0.803,0.272,0.196,0.117,0.218,0.197,,0.468,0.654,0.358,0.346,0.399,0.334,,0.526,0.918,,0.045,270,,0.202,794,,0.254,0.356,,17.0,1.0
8,9.0,Houston Rockets*,82,19930,0.442,12.7,,0.773,0.268,0.153,0.141,0.211,0.227,,0.464,0.596,0.383,0.402,0.398,0.366,,0.512,0.854,,0.054,289,,0.203,658,,0.315,0.384,,16.0,0.0
