,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,San Antonio Spurs*,82,19755,35.6,87.0,0.409,4.2,13.0,0.327,31.4,74.1,0.423,18.7,25.1,0.744,12.4,33.5,45.9,19.3,8.6,5.2,17.1,25.0,94.1
1,2,Detroit Pistons*,82,19780,36.4,88.1,0.413,4.9,16.3,0.302,31.4,71.8,0.438,17.8,23.9,0.744,13.5,32.5,46.0,21.6,9.0,5.7,18.1,25.9,95.4
2,3,Indiana Pacers*,82,19805,37.0,85.6,0.432,4.6,14.0,0.324,32.4,71.5,0.453,18.7,24.9,0.75,12.0,33.6,45.6,22.8,8.1,7.1,18.0,24.8,97.2
3,4,New Jersey Nets*,82,19705,36.7,85.8,0.427,5.7,16.2,0.35,31.0,69.6,0.445,19.0,24.9,0.761,11.9,33.7,45.5,22.2,8.9,5.1,18.0,23.7,98.0
4,5,Houston Rockets*,82,19930,36.1,87.8,0.412,6.3,16.8,0.372,29.9,71.0,0.421,20.4,27.8,0.737,12.4,32.2,44.7,23.2,9.7,4.9,15.1,23.2,99.0
5,6,Minnesota Timberwolves*,82,19755,37.4,90.5,0.414,5.4,16.1,0.334,32.0,74.3,0.431,19.5,25.8,0.753,13.7,32.8,46.4,23.2,7.5,4.0,15.1,22.6,99.7
6,7,Toronto Raptors,82,19980,37.7,88.1,0.428,3.8,12.3,0.307,33.9,75.8,0.447,21.3,28.4,0.747,14.3,36.8,51.2,21.0,8.2,4.6,16.6,22.4,100.4
7,8,Los Angeles Lakers*,82,19855,38.2,87.0,0.44,5.5,16.3,0.337,32.7,70.6,0.464,19.3,25.7,0.749,12.1,33.5,45.6,22.4,8.1,4.0,16.4,26.5,101.3
8,9,Miami Heat*,82,19755,36.7,85.7,0.428,6.0,17.3,0.343,30.8,68.4,0.45,22.3,29.0,0.768,12.3,34.3,46.7,21.1,8.0,6.1,16.7,23.9,101.7
9,10,Philadelphia 76ers,82,19855,37.8,87.5,0.432,6.1,18.2,0.333,31.7,69.2,0.458,20.2,27.2,0.744,13.7,32.9,46.6,24.0,9.3,6.4,17.1,24.1,101.9
10,11,Memphis Grizzlies*,82,19880,37.8,86.6,0.436,4.9,14.4,0.338,32.9,72.1,0.456,21.7,28.4,0.764,14.5,33.1,47.7,22.1,8.9,6.1,18.4,25.0,102.2
11,12,New Orleans Hornets*,82,19830,38.6,87.5,0.441,6.0,17.7,0.341,32.6,69.8,0.467,19.1,25.5,0.75,13.2,33.6,46.8,24.3,8.3,5.8,17.4,23.6,102.4
12,13,Denver Nuggets*,82,19730,39.3,86.8,0.453,4.9,13.8,0.356,34.4,73.1,0.471,19.2,26.3,0.728,13.8,32.1,45.9,25.2,8.7,6.2,18.2,24.7,102.7
13,14,Utah Jazz,82,19780,35.6,82.4,0.432,5.8,16.9,0.343,29.8,65.4,0.455,26.3,34.1,0.771,12.2,29.9,42.0,21.4,9.3,7.4,17.7,28.0,103.3
14,15,New York Knicks*,82,19880,37.6,87.5,0.429,5.6,16.6,0.338,32.0,71.0,0.45,22.6,29.6,0.763,12.8,33.0,45.8,22.6,9.1,5.2,15.3,21.6,103.3
15,16,Chicago Bulls,82,19830,37.8,86.8,0.436,5.8,16.2,0.355,32.1,70.6,0.454,22.0,29.4,0.748,13.3,35.2,48.5,24.8,9.1,5.9,16.4,22.1,103.4
16,17,Boston Celtics*,82,19705,37.8,86.6,0.437,7.3,20.1,0.362,30.6,66.6,0.459,20.7,28.2,0.736,14.0,33.0,47.0,24.6,9.4,5.3,18.4,23.8,103.7
17,18,Golden State Warriors,82,19855,39.7,89.3,0.445,5.6,14.9,0.374,34.1,74.4,0.459,18.8,25.2,0.746,13.2,34.1,47.3,23.7,9.0,5.6,15.4,24.2,103.8
18,19,Cleveland Cavaliers,82,19855,39.3,89.9,0.437,5.7,15.5,0.371,33.6,74.5,0.451,19.8,26.5,0.749,12.9,32.9,45.9,23.7,8.4,5.8,14.3,22.0,104.2
19,20,Washington Wizards,82,19830,40.2,88.4,0.454,5.6,16.2,0.342,34.6,72.2,0.479,18.9,24.6,0.771,13.7,33.1,46.8,25.8,10.3,5.9,17.3,23.4,104.8
20,21,Sacramento Kings*,82,19780,41.1,90.5,0.454,5.3,15.8,0.339,35.7,74.7,0.478,17.4,23.3,0.749,14.1,33.0,47.1,22.8,8.5,5.4,16.0,23.8,104.9
21,22,Portland Trail Blazers,82,19980,41.2,91.5,0.45,5.8,17.0,0.341,35.3,74.5,0.475,17.0,22.5,0.753,14.2,31.9,46.1,26.6,9.2,5.4,15.6,21.4,105.1
22,23,Milwaukee Bucks*,82,19780,40.2,89.0,0.452,6.0,17.2,0.352,34.2,71.9,0.475,18.9,25.6,0.739,13.0,33.4,46.4,24.8,8.1,5.4,15.4,24.9,105.4
23,24,Phoenix Suns,82,19730,39.1,87.6,0.446,6.3,18.0,0.349,32.8,69.6,0.471,21.0,27.5,0.765,13.6,33.5,47.1,23.1,8.5,5.7,17.1,20.9,105.5
24,25,Atlanta Hawks,82,19905,39.4,89.5,0.44,6.4,17.9,0.358,33.0,71.6,0.461,20.9,27.5,0.76,13.9,33.0,46.9,23.9,9.7,5.5,15.3,22.6,106.1
