,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,Milwaukee Bucks*,56,17,0.767,—,118.7,108.6,9.41,East,1
1,Toronto Raptors*,53,19,0.736,2.5,112.8,106.5,5.97,East,2
2,Los Angeles Lakers*,52,19,0.732,—,113.4,107.6,6.28,West,1
3,Los Angeles Clippers*,49,23,0.681,3.5,116.3,109.9,6.66,West,2
4,Boston Celtics*,48,24,0.667,7.5,113.7,107.3,5.83,East,3
5,Denver Nuggets*,46,27,0.63,7.0,111.3,109.2,2.35,West,3
6,Indiana Pacers*,45,28,0.616,11.0,109.4,107.5,1.63,East,4
7,Houston Rockets*,44,28,0.611,8.5,117.8,114.8,3.13,West,4
8,Miami Heat*,44,29,0.603,12.0,112.0,109.1,2.59,East,5
9,Oklahoma City Thunder*,44,28,0.611,8.5,110.4,108.4,2.33,West,5
10,Utah Jazz*,44,28,0.611,8.5,111.3,108.8,2.52,West,6
11,Philadelphia 76ers*,43,30,0.589,13.0,110.7,108.4,2.25,East,6
12,Dallas Mavericks*,43,32,0.573,11.0,117.0,112.1,4.87,West,7
13,Brooklyn Nets*,35,37,0.486,20.5,111.8,112.3,-1.01,East,7
14,Portland Trail Blazers*,35,39,0.473,18.5,115.0,116.1,-0.61,West,8
15,Memphis Grizzlies,34,39,0.466,19.0,112.6,113.7,-0.91,West,9
16,Phoenix Suns,34,39,0.466,19.0,113.6,113.4,0.56,West,10
17,Orlando Magic*,33,40,0.452,23.0,107.3,108.3,-0.93,East,8
18,San Antonio Spurs,32,39,0.451,20.0,114.1,115.2,-0.65,West,11
19,Sacramento Kings,31,41,0.431,21.5,110.1,112.1,-1.59,West,12
20,New Orleans Pelicans,30,42,0.417,22.5,115.8,117.1,-0.55,West,13
21,Washington Wizards,25,47,0.347,30.5,114.4,119.1,-5.24,East,10
22,Charlotte Hornets,23,42,0.354,29.0,102.9,109.6,-7.03,East,9
23,Chicago Bulls,22,43,0.338,30.0,106.8,109.9,-4.0,East,11
24,New York Knicks,21,45,0.318,31.5,105.8,112.3,-6.72,East,12
25,Detroit Pistons,20,46,0.303,32.5,107.2,110.8,-4.38,East,13
26,Atlanta Hawks,20,47,0.299,33.0,111.8,119.7,-7.71,East,14
27,Minnesota Timberwolves,19,45,0.297,29.5,113.3,117.5,-4.02,West,14
28,Cleveland Cavaliers,19,46,0.292,33.0,106.9,114.8,-7.77,East,15
29,Golden State Warriors,15,50,0.231,34.0,106.3,115.0,-8.12,West,15
