,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%FGA,Md.,Unnamed: 29_level_1,%3PA,3P%
0,1.0,Atlanta Hawks*,82,19705,0.471,14.2,,0.604,0.26,0.162,0.102,0.08,0.396,,0.541,0.691,0.427,0.454,0.397,0.364,,0.508,0.831,,0.06,384,,0.255,1075,,0.232,0.382
1,2.0,Boston Celtics*,82,19905,0.434,14.9,,0.604,0.19,0.224,0.1,0.091,0.396,,0.497,0.702,0.41,0.412,0.379,0.339,,0.465,0.789,,0.048,317,,0.254,942,,0.214,0.357
2,3.0,Brooklyn Nets*,82,19755,0.452,14.2,,0.598,0.256,0.175,0.092,0.075,0.402,,0.523,0.68,0.401,0.421,0.399,0.345,,0.499,0.779,,0.058,385,,0.267,1064,,0.244,0.37
3,4.0,Chicago Bulls*,82,19730,0.474,13.4,,0.635,0.297,0.169,0.091,0.078,0.365,,0.536,0.675,0.42,0.413,0.398,0.366,,0.514,0.829,,0.057,373,,0.287,1166,,0.236,0.427
4,5.0,Charlotte Hornets,82,19880,0.466,14.4,,0.571,0.266,0.17,0.076,0.059,0.429,,0.544,0.685,0.427,0.408,0.423,0.362,,0.528,0.833,,0.069,437,,0.266,1084,,0.278,0.376
5,6.0,Cleveland Cavaliers,82,19730,0.452,13.7,,0.62,0.294,0.162,0.093,0.071,0.38,,0.514,0.626,0.415,0.414,0.402,0.353,,0.521,0.826,,0.061,382,,0.267,1025,,0.271,0.379
6,7.0,Dallas Mavericks*,82,19755,0.457,13.9,,0.624,0.238,0.206,0.107,0.073,0.376,,0.527,0.701,0.442,0.425,0.354,0.34,,0.515,0.827,,0.057,348,,0.255,1033,,0.25,0.377
7,8.0,Denver Nuggets*,82,19805,0.47,14.2,,0.609,0.222,0.219,0.099,0.069,0.391,,0.549,0.73,0.47,0.444,0.372,0.346,,0.533,0.83,,0.059,383,,0.262,1109,,0.235,0.37
8,9.0,Detroit Pistons,82,19780,0.473,13.7,,0.622,0.259,0.216,0.077,0.07,0.378,,0.54,0.674,0.469,0.439,0.377,0.362,,0.534,0.824,,0.066,406,,0.284,1126,,0.253,0.421
