,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Boston Celtics*,82,19905,3137,7221,0.434,969,2860,0.339,2168,4361,0.497,1324,1692,0.783,858,2727,3585,1773,618,376,1133,1592,8567
1,2.0,Dallas Mavericks*,82,19755,3198,7001,0.457,895,2635,0.34,2303,4366,0.527,1296,1689,0.767,780,2799,3579,1925,575,300,1073,1645,8587
2,3.0,Golden State Warriors*,82,19730,3111,7098,0.438,1000,2948,0.339,2111,4150,0.509,1426,1880,0.759,792,2705,3497,1875,649,317,1189,1474,8648
3,4.0,Miami Heat*,82,19855,3078,6886,0.447,1064,3138,0.339,2014,3748,0.537,1437,1845,0.779,783,2634,3417,1908,608,330,1228,1686,8657
4,5.0,Cleveland Cavaliers,82,19730,3236,7152,0.452,960,2721,0.353,2276,4431,0.514,1233,1592,0.774,858,2657,3515,1978,691,380,1101,1638,8665
5,6.0,New York Knicks,82,19780,3154,7050,0.447,1038,3032,0.342,2116,4018,0.527,1395,1826,0.764,766,2812,3578,1982,572,379,1039,1671,8741
6,7.0,Toronto Raptors*,82,19855,3197,6919,0.462,1014,2861,0.354,2183,4058,0.538,1374,1742,0.789,847,2764,3611,2076,549,416,1298,1563,8782
7,8.0,Phoenix Suns*,82,19730,3216,7243,0.444,953,2805,0.34,2263,4438,0.51,1416,1861,0.761,863,2783,3646,1875,614,327,1206,1553,8801
8,9.0,Philadelphia 76ers*,82,19805,3253,7097,0.458,931,2692,0.346,2322,4405,0.527,1364,1773,0.769,838,2784,3622,1932,542,379,1087,1594,8801
9,10.0,Utah Jazz*,82,19730,3314,7318,0.453,994,2837,0.35,2320,4481,0.518,1199,1581,0.758,809,2599,3408,1917,636,352,982,1664,8821
10,11.0,Los Angeles Clippers,82,19780,3343,7432,0.45,958,2780,0.345,2385,4652,0.513,1244,1606,0.775,984,2881,3865,1975,631,339,1113,1515,8888
11,12.0,Memphis Grizzlies*,82,19780,3305,7269,0.455,987,2828,0.349,2318,4441,0.522,1417,1837,0.771,821,2706,3527,2047,588,496,1235,1625,9014
12,13.0,New Orleans Pelicans*,82,19755,3301,7009,0.471,1064,2913,0.365,2237,4096,0.546,1377,1753,0.786,759,2666,3425,2039,605,391,1164,1681,9043
13,14.0,Denver Nuggets*,82,19805,3367,7168,0.47,971,2806,0.346,2396,4362,0.549,1349,1783,0.757,795,2680,3475,2082,649,392,1051,1632,9054
14,15.0,Oklahoma City Thunder,82,19805,3398,7421,0.458,1118,3171,0.353,2280,4250,0.536,1256,1629,0.771,906,3060,3966,2142,695,490,1085,1463,9170
15,16.0,Washington Wizards,82,19830,3384,7287,0.464,941,2607,0.361,2443,4680,0.522,1475,1828,0.807,840,2786,3626,1941,598,344,972,1634,9184
16,17.0,Chicago Bulls*,82,19730,3397,7170,0.474,960,2620,0.366,2437,4550,0.536,1430,1799,0.795,764,2777,3541,2049,584,410,1071,1489,9184
17,18.0,Brooklyn Nets*,82,19755,3340,7395,0.452,1026,2974,0.345,2314,4421,0.523,1488,1888,0.788,926,2690,3616,1954,650,403,1088,1616,9194
18,19.0,Milwaukee Bucks*,82,19755,3391,7431,0.456,1186,3328,0.356,2205,4103,0.537,1227,1634,0.751,812,2805,3617,2122,606,357,1070,1612,9195
19,20.0,Orlando Magic,82,19780,3346,7300,0.458,1082,2979,0.363,2264,4321,0.524,1429,1851,0.772,852,3014,3866,2034,655,428,1079,1501,9203
20,21.0,Atlanta Hawks*,82,19705,3435,7294,0.471,1051,2888,0.364,2384,4406,0.541,1294,1634,0.792,838,2758,3596,2085,576,367,1046,1668,9215
21,22.0,Detroit Pistons,82,19780,3333,7051,0.473,966,2668,0.362,2367,4383,0.54,1597,2056,0.777,847,2946,3793,2061,606,427,1197,1625,9229
22,23.0,San Antonio Spurs,82,19805,3482,7475,0.466,992,2756,0.36,2490,4719,0.528,1313,1711,0.767,933,2902,3835,1970,601,403,1131,1553,9269
23,24.0,Minnesota Timberwolves*,82,19780,3298,7163,0.46,1071,3062,0.35,2227,4101,0.543,1624,2081,0.78,904,2858,3762,2149,593,397,1339,1715,9291
24,25.0,Charlotte Hornets,82,19880,3444,7388,0.466,1148,3170,0.362,2296,4218,0.544,1385,1815,0.763,931,2920,3851,2169,617,377,1229,1609,9421
25,26.0,Indiana Pacers,82,19880,3485,7212,0.483,985,2645,0.372,2500,4567,0.547,1470,1845,0.797,833,2702,3535,2058,664,401,1087,1575,9425
26,27.0,Portland Trail Blazers,82,19730,3373,7045,0.479,1129,3046,0.371,2244,3999,0.561,1564,2014,0.777,800,2868,3668,2184,672,409,1150,1589,9439
27,28.0,Los Angeles Lakers,82,19980,3491,7424,0.47,1032,2935,0.352,2459,4489,0.548,1428,1911,0.747,902,2920,3822,2154,684,338,1152,1647,9442
28,29.0,Sacramento Kings,82,19805,3561,7429,0.479,1065,2864,0.372,2496,4565,0.547,1306,1682,0.776,866,2891,3757,2077,668,395,1106,1665,9493
29,30.0,Houston Rockets,82,19755,3562,7374,0.483,1048,2966,0.353,2514,4408,0.57,1520,1943,0.782,915,2831,3746,2103,776,474,1155,1812,9692
30,,League Average,82,19792,3331,7224,0.461,1020,2885,0.354,2311,4340,0.533,1389,1793,0.775,847,2798,3645,2021,626,386,1129,1610,9071
