,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner,Unnamed: 32_level_0,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%FGA,Md.,Unnamed: 29_level_1,%3PA,3P%,Unnamed: 32_level_1,Att.,Md.
0,1.0,Atlanta Hawks*,82,19705,0.47,14.5,,0.61,0.246,0.164,0.111,0.089,0.39,,0.531,0.669,0.437,0.444,0.429,0.374,,0.529,0.735,,0.06,401,,0.233,916,,0.221,0.426,,14.0,1.0
1,2.0,Boston Celtics*,82,19905,0.466,14.8,,0.575,0.218,0.203,0.082,0.073,0.425,,0.547,0.739,0.45,0.411,0.398,0.356,,0.512,0.813,,0.058,370,,0.276,1147,,0.231,0.389,,10.0,0.0
2,3.0,Brooklyn Nets*,82,19755,0.475,13.9,,0.641,0.245,0.166,0.136,0.094,0.359,,0.538,0.659,0.447,0.475,0.478,0.361,,0.541,0.764,,0.053,338,,0.251,982,,0.235,0.393,,7.0,0.0
3,4.0,Chicago Bulls*,82,19730,0.48,13.8,,0.668,0.259,0.151,0.127,0.131,0.332,,0.535,0.677,0.452,0.45,0.435,0.369,,0.476,0.852,,0.05,321,,0.247,1019,,0.273,0.418,,18.0,1.0
4,5.0,Charlotte Hornets,82,19880,0.468,13.9,,0.582,0.29,0.177,0.069,0.047,0.418,,0.542,0.69,0.385,0.402,0.419,0.365,,0.559,0.857,,0.079,531,,0.285,1141,,0.287,0.372,,20.0,0.0
5,6.0,Cleveland Cavaliers,82,19730,0.469,13.7,,0.613,0.284,0.182,0.091,0.056,0.387,,0.541,0.697,0.402,0.426,0.391,0.355,,0.556,0.822,,0.08,501,,0.243,944,,0.235,0.332,,9.0,1.0
6,7.0,Dallas Mavericks*,82,19755,0.461,15.3,,0.561,0.206,0.176,0.108,0.071,0.439,,0.548,0.736,0.45,0.452,0.395,0.35,,0.502,0.783,,0.059,357,,0.208,874,,0.262,0.398,,15.0,0.0
7,8.0,Denver Nuggets*,82,19805,0.483,14.4,,0.584,0.236,0.204,0.073,0.071,0.416,,0.575,0.744,0.48,0.439,0.427,0.353,,0.584,0.857,,0.059,373,,0.266,1128,,0.265,0.384,,24.0,0.0
8,9.0,Detroit Pistons,82,19780,0.431,14.0,,0.609,0.247,0.209,0.081,0.073,0.391,,0.498,0.645,0.422,0.354,0.376,0.326,,0.498,0.893,,0.039,257,,0.304,1187,,0.267,0.361,,20.0,0.0
9,10.0,Golden State Warriors*,82,19730,0.469,15.5,,0.544,0.205,0.201,0.07,0.068,0.456,,0.557,0.711,0.51,0.408,0.382,0.364,,0.595,0.804,,0.057,371,,0.282,1193,,0.215,0.339,,24.0,1.0
10,11.0,Houston Rockets,82,19755,0.456,14.2,,0.552,0.299,0.181,0.038,0.034,0.448,,0.543,0.689,0.384,0.322,0.347,0.349,,0.502,0.784,,0.089,547,,0.299,1142,,0.173,0.35,,18.0,0.0
11,12.0,Indiana Pacers,82,19880,0.463,14.1,,0.605,0.265,0.177,0.093,0.069,0.395,,0.541,0.675,0.458,0.419,0.403,0.344,,0.51,0.86,,0.045,294,,0.303,1307,,0.253,0.377,,25.0,0.0
12,13.0,Los Angeles Clippers,82,19780,0.458,14.9,,0.609,0.208,0.183,0.118,0.1,0.391,,0.512,0.691,0.449,0.436,0.349,0.374,,0.503,0.805,,0.053,324,,0.211,833,,0.214,0.41,,17.0,0.0
13,14.0,Los Angeles Lakers,82,19980,0.469,14.0,,0.612,0.277,0.162,0.087,0.085,0.388,,0.546,0.71,0.42,0.409,0.395,0.347,,0.476,0.825,,0.062,403,,0.31,1326,,0.229,0.372,,5.0,0.0
14,15.0,Memphis Grizzlies*,82,19780,0.461,12.9,,0.654,0.263,0.235,0.111,0.045,0.346,,0.519,0.674,0.423,0.41,0.382,0.353,,0.504,0.854,,0.056,384,,0.272,1165,,0.231,0.368,,14.0,0.0
15,16.0,Miami Heat*,82,19855,0.467,14.9,,0.578,0.224,0.182,0.107,0.065,0.422,,0.531,0.695,0.434,0.438,0.386,0.379,,0.537,0.849,,0.049,304,,0.236,941,,0.296,0.418,,23.0,0.0
16,17.0,Milwaukee Bucks*,82,19755,0.468,15.1,,0.57,0.236,0.161,0.103,0.07,0.43,,0.544,0.717,0.42,0.446,0.395,0.366,,0.461,0.789,,0.049,317,,0.251,1080,,0.241,0.393,,11.0,0.0
