,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Syracuse Nationals*,25.5,42.0,30.0,50,22,4.9,-0.64,4.27,88.2,83.0,5.2,93.5,0.475,,0.446,,0.368,,,0.341,,,,,,,Onondaga War Memorial,,
1,2.0,Minneapolis Lakers*,27.3,46.0,26.0,45,27,3.06,-0.35,2.71,86.8,83.5,3.3,93.5,0.356,,0.438,,0.376,,,0.261,,,,,,,Minneapolis Auditorium,,
2,3.0,Rochester Royals*,29.2,44.0,28.0,44,28,2.43,-0.2,2.24,86.6,84.0,2.6,90.9,0.462,,0.438,,0.369,,,0.316,,,,,,,Edgerton Park Arena,,
3,4.0,Boston Celtics*,26.4,42.0,30.0,43,29,2.33,-0.32,1.97,92.5,90.0,2.5,93.0,0.457,,0.471,,0.4,,,0.332,,,,,,,Boston Garden,156912.0,
4,5.0,Fort Wayne Pistons*,26.8,40.0,32.0,41,31,1.63,-0.18,1.45,89.0,87.2,1.8,86.9,0.446,,0.451,,0.376,,,0.326,,,,,,,War Memorial Coliseum,,
5,6.0,New York Knicks*,27.1,44.0,28.0,36,36,-0.13,-0.02,-0.16,89.3,89.4,-0.1,87.4,0.488,,0.452,,0.374,,,0.352,,,,,,,Madison Square Garden (III),,
6,7.0,Philadelphia Warriors,24.8,29.0,43.0,29,43,-2.14,0.22,-1.89,86.7,89.0,-2.3,89.4,0.418,,0.438,,0.372,,,0.292,,,,,,,Philadelphia Civic Center,,
7,8.0,Milwaukee Hawks,26.1,21.0,51.0,19,53,-5.29,0.75,-4.55,82.9,89.2,-6.3,84.2,0.433,,0.416,,0.345,,,0.3,,,,,,,Milwaukee Arena,,
8,9.0,Baltimore Bullets,24.1,16.0,56.0,17,55,-6.76,0.79,-5.98,85.2,92.6,-7.4,91.3,0.417,,0.43,,0.368,,,0.283,,,,,,,Baltimore Coliseum,,
9,,League Average,26.3,,,36,36,0.0,0.01,0.01,87.5,87.5,,90.0,0.438,,0.442,,0.372,,,0.311,,,,,,,,156912.0,
