,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Fort Wayne Pistons*,72,,,,,,,,,,,,,,,,,,,,,,6743
1,2.0,Syracuse Nationals*,72,,,,,,,,,,,,,,,,,,,,,,6975
2,3.0,St. Louis Hawks*,72,,,,,,,,,,,,,,,,,,,,,,7059
3,4.0,Rochester Royals,72,,,,,,,,,,,,,,,,,,,,,,7106
4,5.0,Philadelphia Warriors*,72,,,,,,,,,,,,,,,,,,,,,,7117
5,6.0,Minneapolis Lakers*,72,,,,,,,,,,,,,,,,,,,,,,7212
6,7.0,New York Knicks*,72,,,,,,,,,,,,,,,,,,,,,,7242
7,8.0,Boston Celtics*,72,,,,,,,,,,,,,,,,,,,,,,7585
8,,League Average,72,,2544.0,6580.0,0.387,,,,2544.0,6580.0,0.387,2041.0,2739.0,0.745,,,4327.0,1747.0,,,,1898.0,7130
