,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Philadelphia Warriors*,25.6,45.0,27.0,46,26,4.26,-0.45,3.82,94.6,90.7,3.9,108.5,0.439,,0.483,,0.41,,,0.333,,,,,,,Philadelphia Civic Center,,
1,2.0,Fort Wayne Pistons*,27.2,37.0,35.0,38,34,0.71,-0.26,0.45,90.7,90.0,0.7,103.2,0.442,,0.461,,0.388,,,0.324,,,,,,,War Memorial Coliseum,,
2,3.0,Boston Celtics*,26.9,39.0,33.0,38,34,0.65,0.07,0.72,92.2,91.7,0.5,114.5,0.403,,0.469,,0.397,,,0.31,,,,,,,Boston Garden,209645.0,
3,4.0,Syracuse Nationals*,26.1,35.0,37.0,36,36,0.01,0.16,0.17,88.0,88.0,0.0,108.5,0.406,,0.444,,0.37,,,0.307,,,,,,,Onondaga War Memorial,,
4,5.0,New York Knicks*,26.8,35.0,37.0,35,37,-0.42,0.22,-0.2,92.4,92.8,-0.4,106.5,0.456,,0.47,,0.392,,,0.343,,,,,,,Madison Square Garden (III),,
5,6.0,Minneapolis Lakers*,26.8,33.0,39.0,34,38,-0.89,-0.03,-0.92,91.5,92.4,-0.9,108.0,0.401,,0.464,,0.388,,,0.316,,,,,,,Minneapolis Auditorium,,
6,7.0,St. Louis Hawks*,25.7,33.0,39.0,32,40,-1.47,0.05,-1.42,87.6,88.9,-1.3,109.4,0.417,,0.443,,0.378,,,0.293,,,,,,,Kiel Auditorium,,
7,8.0,Rochester Royals,25.2,31.0,41.0,29,43,-2.86,0.25,-2.61,85.3,87.9,-2.6,111.7,0.373,,0.43,,0.37,,,0.261,,,,,,,Rochester Community War Memorial,,
8,,League Average,26.3,,,36,36,0.0,0.0,0.0,90.3,90.3,,108.8,0.416,,0.458,,0.387,,,0.31,,,,,,,,209645.0,
