,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,Philadelphia 76ers,9,73,.110,59.0,104.1,116.2,-11.50,East,4
1,Boston Celtics*,68,14,.829,—,112.7,104.5,7.35,East,1
2,Milwaukee Bucks*,60,22,.732,—,107.2,99.0,7.84,West,1
3,Los Angeles Lakers*,60,22,.732,—,111.7,103.2,8.16,West,5
4,New York Knicks*,57,25,.695,11.0,105.0,98.2,6.07,East,2
5,Baltimore Bullets*,52,30,.634,—,105.0,101.6,2.85,East,5
6,Chicago Bulls*,51,31,.622,9.0,104.1,100.6,3.43,West,2
7,Golden State Warriors*,47,35,.573,13.0,108.8,105.7,3.12,West,6
8,Atlanta Hawks*,46,36,.561,6.0,112.4,112.3,-0.15,East,6
9,Detroit Pistons,40,42,.488,20.0,110.3,110.0,0.54,West,3
10,Phoenix Suns,38,44,.463,22.0,111.6,112.9,-0.96,West,7
11,Kansas City-Omaha Kings,36,46,.439,24.0,107.6,110.5,-2.36,West,4
12,Houston Rockets,33,49,.402,19.0,112.8,114.5,-1.81,East,7
13,Cleveland Cavaliers,32,50,.390,20.0,102.7,105.3,-2.64,East,8
14,Seattle SuperSonics,26,56,.317,34.0,103.7,109.6,-5.33,West,8
15,Buffalo Braves,21,61,.256,47.0,103.3,112.5,-8.85,East,3
16,Portland Trail Blazers,21,61,.256,39.0,106.2,112.4,-5.67,West,9
