,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Phoenix Suns*,82,19780,39.0,83.0,0.469,,,,39.0,83.0,0.469,19.0,25.3,0.754,13.1,29.9,43.0,21.6,10.2,4.1,21.4,23.7,97.0
1,2,Portland Trail Blazers*,82,19730,38.4,85.5,0.449,,,,38.4,85.5,0.449,20.4,26.7,0.766,13.9,29.5,43.3,21.2,8.7,4.6,19.0,24.4,97.2
2,3,Seattle SuperSonics*,82,19780,39.2,85.4,0.459,,,,39.2,85.4,0.459,19.3,25.5,0.758,13.0,30.1,43.1,22.7,8.5,4.7,19.1,23.9,97.7
3,4,Golden State Warriors,82,19780,39.2,84.4,0.465,,,,39.2,84.4,0.465,20.8,27.6,0.756,13.6,32.0,45.6,23.3,8.3,4.7,19.9,22.6,99.3
4,5,Cleveland Cavaliers*,82,19880,40.5,88.9,0.456,,,,40.5,88.9,0.456,18.4,24.7,0.745,14.2,32.4,46.6,22.3,8.1,5.2,17.2,22.8,99.4
5,6,Atlanta Hawks*,82,19830,37.1,78.2,0.474,,,,37.1,78.2,0.474,25.7,34.3,0.748,13.6,30.5,44.1,20.8,8.8,5.7,23.2,24.9,99.8
6,7,New Jersey Nets,82,19905,38.5,82.8,0.465,,,,38.5,82.8,0.465,23.2,30.8,0.754,14.3,32.6,46.8,22.5,9.3,6.1,20.3,21.7,100.2
7,8,Philadelphia 76ers*,82,19830,40.1,86.9,0.461,,,,40.1,86.9,0.461,20.1,27.2,0.74,15.2,27.6,42.8,23.4,9.2,3.9,19.1,25.5,100.3
8,9,Washington Bullets*,82,19830,42.2,90.3,0.467,,,,42.2,90.3,0.467,16.1,21.2,0.758,13.1,30.0,43.1,24.0,8.7,4.8,16.1,25.9,100.5
9,10,New Orleans Jazz,82,19780,41.0,88.9,0.461,,,,41.0,88.9,0.461,18.6,24.8,0.751,14.3,30.8,45.0,23.3,9.5,5.3,16.9,23.1,100.6
10,11,Los Angeles Lakers*,82,19805,41.7,90.0,0.463,,,,41.7,90.0,0.463,17.5,23.4,0.746,15.6,29.7,45.3,23.7,8.6,4.3,17.9,21.9,100.8
11,12,Boston Celtics,82,19830,40.4,88.7,0.456,,,,40.4,88.7,0.456,20.0,26.0,0.769,13.0,29.4,42.5,22.6,8.7,4.3,16.1,21.4,100.9
12,13,San Antonio Spurs*,82,19780,42.4,89.8,0.472,,,,42.4,89.8,0.472,16.6,22.2,0.748,15.0,28.7,43.7,23.9,9.3,4.2,18.5,22.9,101.4
13,14,Detroit Pistons,82,19855,41.4,86.5,0.479,,,,41.4,86.5,0.479,18.7,24.4,0.763,14.0,28.0,42.0,23.6,10.1,4.4,19.3,23.4,101.5
14,15,Denver Nuggets*,82,19830,41.0,87.0,0.472,,,,41.0,87.0,0.472,19.4,26.4,0.736,14.1,28.4,42.5,25.1,9.8,5.8,18.1,24.8,101.5
15,16,Indiana Pacers,82,19830,40.7,85.7,0.474,,,,40.7,85.7,0.474,20.6,27.5,0.75,15.1,31.3,46.4,25.3,8.1,5.2,19.7,23.9,101.9
16,17,Kansas City Kings,82,19830,39.9,84.2,0.474,,,,39.9,84.2,0.474,22.4,29.5,0.761,13.8,30.0,43.8,21.6,8.9,4.6,19.0,23.4,102.2
17,18,New York Knicks*,82,20005,40.0,84.7,0.472,,,,40.0,84.7,0.472,22.2,30.5,0.729,13.7,28.7,42.4,23.1,9.6,3.9,18.3,21.8,102.2
18,19,Milwaukee Bucks*,82,19980,41.1,85.4,0.481,,,,41.1,85.4,0.481,20.3,26.6,0.762,13.6,28.9,42.6,24.8,8.7,5.2,19.7,22.3,102.4
19,20,Chicago Bulls,82,19755,42.7,87.1,0.49,,,,42.7,87.1,0.49,17.5,23.7,0.74,12.7,28.3,41.1,24.8,9.3,5.4,17.7,26.3,102.9
20,21,Buffalo Braves,82,19805,42.1,88.4,0.476,,,,42.1,88.4,0.476,19.7,26.1,0.753,13.7,30.0,43.7,24.8,8.4,4.4,17.1,23.3,103.8
21,22,Houston Rockets,82,19730,42.9,88.9,0.482,,,,42.9,88.9,0.482,20.4,26.9,0.759,14.3,30.3,44.7,23.9,7.3,4.3,16.9,21.0,106.1
