,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,Golden State Warriors*,59,23,.720,—,109.8,103.1,6.23,West,5
1,Boston Celtics*,54,28,.659,—,106.2,103.9,2.25,East,1
2,Cleveland Cavaliers*,49,33,.598,—,101.7,99.2,2.34,East,5
3,Washington Bullets*,48,34,.585,1.0,102.8,100.4,2.20,East,6
4,Philadelphia 76ers*,46,36,.561,8.0,106.5,106.3,0.33,East,2
5,Buffalo Braves*,46,36,.561,8.0,107.3,106.4,0.85,East,3
6,Seattle SuperSonics*,43,39,.524,16.0,106.4,106.7,-0.15,West,6
7,Phoenix Suns*,42,40,.512,17.0,105.1,104.5,0.59,West,7
8,Houston Rockets,40,42,.488,9.0,106.2,107.0,-0.71,East,7
9,Los Angeles Lakers,40,42,.488,19.0,106.9,106.8,0.18,West,8
10,Milwaukee Bucks*,38,44,.463,—,101.8,103.3,-1.55,West,1
11,New York Knicks,38,44,.463,16.0,102.7,103.9,-1.05,East,4
12,New Orleans Jazz,38,44,.463,11.0,104.1,105.0,-0.74,East,8
13,Portland Trail Blazers,37,45,.451,22.0,104.1,105.3,-1.11,West,9
14,Detroit Pistons*,36,46,.439,2.0,104.9,106.0,-1.18,West,2
15,Kansas City Kings,31,51,.378,7.0,103.3,106.2,-2.83,West,3
16,Atlanta Hawks,29,53,.354,20.0,102.6,105.5,-2.66,East,9
17,Chicago Bulls,24,58,.293,14.0,95.9,98.8,-2.89,West,4
