,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
1,Baltimore Bullets*,57,25,.695,—,116.4,112.1,4.05,East,1.0
2,Philadelphia 76ers*,55,27,.671,2.0,118.9,113.8,4.79,East,2.0
3,New York Knicks*,54,28,.659,3.0,110.8,105.1,5.48,East,3.0
4,Boston Celtics*,48,34,.585,9.0,111.0,105.4,5.35,East,4.0
5,Cincinnati Royals,41,41,.500,16.0,114.5,115.6,-0.83,East,5.0
6,Detroit Pistons,32,50,.390,25.0,114.1,117.3,-2.79,East,6.0
7,Milwaukee Bucks,27,55,.329,30.0,110.2,115.4,-5.07,East,7.0
9,Los Angeles Lakers*,55,27,.671,—,112.2,108.1,3.84,West,1.0
10,Atlanta Hawks*,48,34,.585,7.0,111.3,109.0,2.06,West,2.0
11,San Francisco Warriors*,41,41,.500,14.0,109.1,110.7,-1.53,West,3.0
12,San Diego Rockets*,37,45,.451,18.0,115.3,115.5,-0.30,West,4.0
13,Chicago Bulls,33,49,.402,22.0,104.7,107.0,-2.11,West,5.0
14,Seattle SuperSonics,30,52,.366,25.0,112.1,116.9,-4.68,West,6.0
15,Phoenix Suns,16,66,.195,39.0,111.7,120.5,-8.26,West,7.0
