,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
65,Gerald Henderson,PG,28,BOS,23,0.0,26.8,5.0,10.3,0.485,0.1,0.5,0.273,4.9,9.8,0.496,0.492,2.3,3.3,0.72,1.0,1.3,2.3,4.2,1.5,0.0,1.8,3.4,12.5
66,Lionel Hollins,PG,30,DET,2,0.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
67,Marc Iavaroni,PF,27,PHI,4,0.0,16.0,1.8,3.8,0.467,0.3,0.5,0.5,1.5,3.3,0.462,0.5,1.8,2.0,0.875,0.8,1.3,2.0,0.8,0.3,0.3,1.3,4.5,5.5
68,Dan Issel*,C,35,DEN,5,0.0,30.6,10.4,20.4,0.51,0.2,0.4,0.5,10.2,20.0,0.51,0.515,6.4,7.8,0.821,2.0,6.0,8.0,1.6,1.2,1.2,3.0,3.0,27.4
69,Clay Johnson,SG,27,SEA,3,0.0,3.0,0.7,1.3,0.5,0.0,0.3,0.0,0.7,1.0,0.667,0.5,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.3,0.0,0.0,1.0,1.3
70,Clemon Johnson,C,27,PHI,5,0.0,9.0,0.8,2.4,0.333,0.0,0.0,0.0,0.8,2.4,0.333,0.333,0.0,0.0,0.0,0.6,0.6,1.2,0.0,0.2,0.8,0.6,1.6,1.6
71,Dennis Johnson*,SG,29,BOS,22,0.0,36.7,5.9,14.5,0.404,0.1,0.3,0.429,5.7,14.2,0.404,0.409,4.7,5.5,0.867,1.4,2.2,3.6,4.4,1.1,0.3,2.4,3.4,16.6
72,Eddie Johnson,SG,28,ATL,5,0.0,24.6,3.8,10.8,0.352,0.2,1.2,0.167,3.6,9.6,0.375,0.361,3.0,4.4,0.682,0.4,1.4,1.8,4.8,1.2,0.0,1.4,2.2,10.8
73,Eddie Johnson,SF,24,KCK,3,0.0,35.7,7.0,16.0,0.438,0.7,1.7,0.4,6.3,14.3,0.442,0.458,2.3,2.3,1.0,1.3,2.0,3.3,4.0,1.0,0.3,0.7,2.7,17.0
74,Frank Johnson,PG,25,WSB,4,0.0,39.0,6.0,10.5,0.571,0.3,0.8,0.333,5.8,9.8,0.59,0.583,2.0,2.0,1.0,1.0,2.3,3.3,6.3,1.3,0.0,2.3,4.0,14.3
75,Magic Johnson*,PG,24,LAL,21,0.0,39.9,7.2,13.0,0.551,0.0,0.3,0.0,7.2,12.7,0.566,0.551,3.8,4.8,0.8,1.2,5.4,6.6,13.5,2.0,1.0,3.8,3.4,18.2
76,Marques Johnson,SF,27,MIL,16,0.0,37.8,8.1,17.1,0.473,0.1,0.3,0.25,8.0,16.8,0.476,0.474,4.1,5.6,0.722,1.8,3.5,5.3,3.4,1.1,0.4,2.7,3.1,20.3
77,Reggie Johnson,PF,26,NJN,7,0.0,2.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.7,0.9,0.833,0.1,0.6,0.7,0.0,0.0,0.1,0.6,0.3,0.7
78,Vinnie Johnson,SG,27,DET,5,0.0,26.4,3.4,9.2,0.37,0.0,0.2,0.0,3.4,9.0,0.378,0.37,3.4,3.8,0.895,1.0,1.8,2.8,2.4,0.2,0.2,0.8,1.8,10.2
79,Bobby Jones*,PF,32,PHI,5,0.0,26.0,3.0,6.2,0.484,0.0,0.0,0.0,3.0,6.2,0.484,0.484,3.6,3.8,0.947,1.8,2.8,4.6,1.8,0.6,1.4,1.6,2.4,9.6
80,Rich Kelley,C,30,UTA,11,0.0,18.3,1.4,2.5,0.556,0.0,0.0,0.0,1.4,2.5,0.556,0.556,2.3,2.6,0.862,1.7,3.5,5.3,2.0,0.8,0.5,1.5,3.8,5.0
81,Albert King,SF,24,NJN,11,0.0,26.8,4.8,11.6,0.414,0.0,0.2,0.0,4.8,11.5,0.421,0.414,2.9,4.2,0.696,2.3,3.0,5.3,2.3,0.9,0.4,2.1,2.9,12.5
82,Bernard King*,SF,27,NYK,12,0.0,39.8,13.5,23.5,0.574,0.0,0.1,0.0,13.5,23.4,0.577,0.574,7.8,10.3,0.756,2.3,3.8,6.2,3.0,1.2,0.5,2.6,4.0,34.8
83,Reggie King,SF,26,SEA,5,0.0,18.2,1.0,2.4,0.417,0.0,0.0,0.0,1.0,2.4,0.417,0.417,0.0,0.0,0.0,1.2,2.2,3.4,1.2,0.4,0.6,1.4,2.8,2.0
84,Greg Kite,C,22,BOS,11,0.0,3.5,0.1,0.7,0.125,0.0,0.0,0.0,0.1,0.7,0.125,0.125,0.5,0.5,0.833,0.5,0.4,0.8,0.3,0.0,0.1,0.3,0.8,0.6
85,Billy Knight,SF,31,KCK,3,0.0,12.3,2.7,8.0,0.333,0.0,0.0,0.0,2.7,8.0,0.333,0.333,0.7,0.7,1.0,0.7,0.3,1.0,0.7,0.0,0.0,0.7,0.7,6.0
86,Joe Kopicki,PF,23,WSB,3,0.0,8.3,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,1.7,1.7,0.3,0.0,0.0,0.7,2.0,2.0
87,Mitch Kupchak,PF,29,LAL,9,0.0,7.7,0.6,1.9,0.294,0.0,0.0,0.0,0.6,1.9,0.294,0.294,0.9,1.6,0.571,1.3,1.9,3.2,0.2,0.1,0.2,0.7,1.3,2.0
88,Bill Laimbeer,C,26,DET,5,0.0,33.0,5.8,10.2,0.569,0.0,0.0,0.0,5.8,10.2,0.569,0.569,3.6,4.0,0.9,2.8,9.6,12.4,2.4,0.8,0.6,2.4,4.6,15.2
89,Jeff Lamp,SF,24,POR,3,0.0,6.3,0.7,2.0,0.333,0.0,0.0,0.0,0.7,2.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.3
90,Mark Landsberger,PF,28,ATL,2,0.0,2.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
91,Bob Lanier*,C,35,MIL,16,0.0,31.2,5.1,10.7,0.48,0.0,0.0,0.0,5.1,10.7,0.48,0.48,2.4,2.8,0.886,2.0,5.3,7.3,3.4,0.7,0.6,2.4,3.6,12.7
92,Fat Lever,PG,23,POR,5,0.0,15.0,1.6,6.0,0.267,0.4,0.6,0.667,1.2,5.4,0.222,0.3,1.6,2.0,0.8,2.0,1.0,3.0,1.8,0.8,0.0,0.6,1.2,5.2
93,Cliff Levingston,PF,23,DET,5,0.0,20.2,3.0,3.8,0.789,0.0,0.0,0.0,3.0,3.8,0.789,0.789,2.0,3.2,0.625,2.2,2.6,4.8,0.2,0.2,0.4,0.6,3.0,8.0
94,Alton Lister,PF,25,MIL,16,0.0,23.0,2.4,4.9,0.5,0.0,0.0,0.0,2.4,4.9,0.5,0.5,1.9,3.0,0.625,1.6,4.4,6.0,0.6,0.3,1.5,1.7,3.9,6.8
95,John Long,SG,27,DET,5,0.0,29.8,4.0,11.0,0.364,0.0,0.2,0.0,4.0,10.8,0.37,0.364,3.0,3.0,1.0,1.4,0.8,2.2,0.4,1.4,0.0,2.0,3.0,11.0
96,Maurice Lucas,PF,31,PHO,17,0.0,33.5,6.8,13.4,0.511,0.0,0.0,0.0,6.8,13.4,0.511,0.511,3.7,4.6,0.808,2.5,7.5,9.9,3.6,0.7,0.5,1.7,3.9,17.4
97,Kyle Macy,PG,26,PHO,17,0.0,36.5,4.5,9.2,0.49,0.6,1.3,0.455,3.9,7.9,0.496,0.522,0.7,0.9,0.75,0.8,2.4,3.2,5.8,1.3,0.1,1.5,2.5,10.4
98,Rick Mahorn,PF,25,WSB,4,0.0,38.5,3.8,6.3,0.6,0.0,0.3,0.0,3.8,6.0,0.625,0.6,2.0,2.5,0.8,1.8,9.0,10.8,1.5,0.3,1.5,1.5,4.8,9.5
99,Jeff Malone,SG,22,WSB,4,0.0,17.8,3.0,6.5,0.462,0.0,0.3,0.0,3.0,6.3,0.48,0.462,0.0,0.0,0.0,0.5,0.8,1.3,0.5,0.3,0.0,0.8,1.5,6.0
100,Moses Malone*,C,28,PHI,5,0.0,42.4,7.6,16.6,0.458,0.0,0.0,0.0,7.6,16.6,0.458,0.458,6.2,6.4,0.969,4.0,9.8,13.8,1.4,0.6,2.2,4.2,3.0,21.4
101,Wes Matthews,PG,24,PHI,4,0.0,5.8,1.0,2.0,0.5,0.3,0.5,0.5,0.8,1.5,0.5,0.563,0.3,0.5,0.5,0.0,0.0,0.0,1.0,0.3,0.0,1.0,1.0,2.5
102,Cedric Maxwell,SF,28,BOS,23,0.0,32.7,3.7,7.3,0.503,0.0,0.0,0.0,3.7,7.2,0.506,0.503,4.6,5.9,0.779,2.3,2.9,5.2,2.4,1.0,0.3,2.0,3.3,11.9
