,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kareem Abdul-Jabbar*,C,39,LAL,18,18,31.1,6.9,13.0,0.53,0.0,0.1,0.0,6.9,12.9,0.532,0.53,5.4,6.8,0.795,2.2,4.7,6.8,2.0,0.4,1.9,2.2,3.1,19.2
1,Michael Adams,PG,24,WSB,3,1,27.3,2.7,8.3,0.32,0.7,3.0,0.222,2.0,5.3,0.375,0.36,0.3,1.0,0.333,0.0,2.3,2.3,3.3,2.3,0.0,1.7,2.0,6.3
2,Mark Aguirre,SF,27,DAL,4,4,32.5,7.8,15.5,0.5,0.0,1.0,0.0,7.8,14.5,0.534,0.5,5.8,7.5,0.767,2.8,3.3,6.0,2.0,2.0,0.0,2.3,3.8,21.3
3,Danny Ainge,SG,27,BOS,20,19,38.1,5.8,11.9,0.487,1.6,3.7,0.438,4.2,8.3,0.509,0.555,1.6,1.8,0.861,0.7,2.0,2.6,4.6,1.2,0.2,2.1,3.1,14.8
4,Mark Alarie,PF,23,DEN,3,0,13.7,3.0,5.0,0.6,0.0,0.0,0.0,3.0,5.0,0.6,0.6,0.7,0.7,1.0,0.0,1.7,1.7,0.3,0.7,0.7,1.3,3.0,6.7
5,Richard Anderson,PF,26,HOU,5,0,1.0,0.2,0.6,0.333,0.2,0.4,0.5,0.0,0.2,0.0,0.5,0.4,0.4,1.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,1.0
6,Ron Anderson,SF,28,IND,4,0,6.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.3,0.8,0.0,0.0,0.0,0.0,0.5,1.0
7,Thurl Bailey,PF,25,UTA,5,0,30.2,6.0,12.6,0.476,0.0,0.0,0.0,6.0,12.6,0.476,0.476,3.6,3.6,1.0,2.8,3.2,6.0,1.8,0.6,1.2,2.4,2.4,15.6
8,Greg Ballard,SF,32,GSW,10,0,17.9,2.6,4.8,0.542,0.4,1.0,0.4,2.2,3.8,0.579,0.583,0.3,0.4,0.75,1.8,2.2,4.0,1.9,0.8,0.0,0.9,1.6,5.9
9,Gene Banks,SF,27,CHI,3,3,26.3,4.3,7.3,0.591,0.0,0.0,0.0,4.3,7.3,0.591,0.591,1.7,2.7,0.625,1.0,1.7,2.7,0.7,0.0,0.0,0.7,4.3,10.3
10,Charles Barkley*,PF,23,PHI,5,5,42.0,8.6,15.0,0.573,0.2,1.6,0.125,8.4,13.4,0.627,0.58,7.2,9.0,0.8,5.4,7.2,12.6,2.4,0.8,1.6,4.4,4.2,24.6
11,John Battle,SG,24,ATL,8,0,9.8,1.9,4.3,0.441,0.3,0.6,0.4,1.6,3.6,0.448,0.471,2.6,2.9,0.913,0.3,1.0,1.3,1.0,0.1,0.0,0.9,1.6,6.6
