,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kareem Abdul-Jabbar*,C,40,LAL,24,24,29.9,5.9,12.7,0.464,0.0,0.1,0.0,5.9,12.6,0.467,0.464,2.3,3.0,0.789,2.0,3.4,5.5,1.5,0.6,1.5,1.9,3.4,14.1
1,Mark Acres,C,25,BOS,17,0,9.3,0.8,1.5,0.538,0.0,0.0,0.0,0.8,1.5,0.538,0.538,0.5,1.1,0.5,0.8,1.3,2.1,0.1,0.1,0.1,0.4,1.9,2.2
2,Michael Adams,PG,25,DEN,11,11,36.9,4.3,11.8,0.362,1.5,4.9,0.315,2.7,6.9,0.395,0.427,3.3,3.7,0.878,0.8,2.5,3.3,5.8,1.6,0.2,2.1,1.7,13.4
3,Mark Aguirre,SF,28,DAL,17,17,32.8,8.6,17.3,0.5,0.8,2.0,0.382,7.9,15.3,0.515,0.522,3.5,5.1,0.698,2.0,3.9,5.9,3.3,0.8,0.5,2.4,2.9,21.6
4,Danny Ainge,SG,28,BOS,17,17,39.4,4.2,10.8,0.386,1.1,3.4,0.328,3.1,7.4,0.413,0.438,2.2,2.5,0.881,0.9,2.2,3.1,6.4,0.5,0.1,2.4,3.8,11.6
5,Mark Alarie,PF,24,WSB,1,0,4.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
6,Steve Alford,PG,23,DAL,4,0,3.0,0.8,2.0,0.375,0.0,0.5,0.0,0.8,1.5,0.5,0.375,0.0,0.0,0.0,0.3,0.3,0.5,0.5,0.0,0.0,0.3,0.0,1.5
7,Greg Anderson,PF,23,SAS,3,3,31.7,5.7,12.0,0.472,0.0,0.0,0.0,5.7,12.0,0.472,0.472,1.3,3.0,0.444,2.0,5.0,7.0,1.0,0.7,1.3,3.3,3.3,12.7
8,Richard Anderson,PF,27,POR,3,0,21.0,3.7,8.0,0.458,2.0,4.7,0.429,1.7,3.3,0.5,0.583,1.3,1.3,1.0,1.7,2.7,4.3,0.3,0.7,0.3,0.7,3.7,10.7
9,Thurl Bailey,SF,26,UTA,11,0,40.8,9.0,18.5,0.488,0.0,0.1,0.0,9.0,18.4,0.49,0.488,5.2,6.2,0.838,1.9,3.8,5.7,1.6,0.5,2.1,1.9,2.9,23.2
10,John Battle,SG,25,ATL,12,0,13.8,2.7,5.6,0.478,0.0,0.2,0.0,2.7,5.4,0.492,0.478,1.4,2.1,0.68,0.2,1.5,1.7,2.2,0.2,0.0,0.9,1.2,6.8
11,Walter Berry,SF,23,SAS,3,0,31.3,9.0,16.7,0.54,0.0,0.3,0.0,9.0,16.3,0.551,0.54,4.0,5.0,0.8,4.3,2.7,7.0,2.0,1.7,0.7,3.7,3.3,22.0
12,Larry Bird*,SF,31,BOS,17,17,44.9,8.9,19.9,0.45,0.7,1.9,0.375,8.2,18.0,0.458,0.467,5.9,6.6,0.894,1.7,7.1,8.8,6.8,2.1,0.8,2.9,2.6,24.5
13,Uwe Blab,C,25,DAL,3,0,2.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7,0.7,1.0,0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.7
14,Rolando Blackman,SG,28,DAL,17,17,39.5,7.4,15.4,0.483,0.0,0.2,0.0,7.4,15.2,0.488,0.483,3.2,3.6,0.887,1.5,1.7,3.2,4.5,0.9,0.2,1.5,1.6,18.1
15,Muggsy Bogues,PG,23,WSB,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
16,Manute Bol,C,25,WSB,5,0,8.8,0.8,1.4,0.571,0.0,0.0,0.0,0.8,1.4,0.571,0.571,0.2,0.2,1.0,1.4,1.0,2.4,0.0,0.0,0.4,0.2,1.0,1.8
