,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,C,22,OKC,80,80,25.2,3.3,5.3,0.613,0.0,0.0,0.0,3.3,5.3,0.613,0.613,1.4,2.5,0.582,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8.0
1,Cole Aldrich,C,27,LAC,60,5,13.3,2.2,3.8,0.596,0.0,0.0,0.0,2.2,3.8,0.596,0.596,1.0,1.4,0.714,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5
2,LaMarcus Aldridge,PF,30,SAS,74,74,30.6,7.2,14.1,0.513,0.0,0.2,0.0,7.2,13.9,0.521,0.513,3.5,4.1,0.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2.0,18.0
3,Lavoy Allen,PF,26,IND,79,28,20.2,2.4,4.7,0.516,0.0,0.0,0.0,2.4,4.7,0.516,0.516,0.6,0.9,0.63,2.1,3.3,5.4,1.0,0.3,0.5,0.9,1.9,5.4
4,Tony Allen,SG,34,MEM,64,57,25.3,3.4,7.3,0.458,0.2,0.7,0.357,3.1,6.7,0.468,0.474,1.4,2.2,0.652,1.6,3.0,4.6,1.1,1.7,0.3,1.2,2.7,8.4
5,Al-Farouq Aminu,SF,25,POR,82,82,28.5,3.6,8.8,0.416,1.5,4.3,0.361,2.1,4.5,0.468,0.503,1.4,1.9,0.737,1.2,4.9,6.1,1.7,0.9,0.6,1.5,2.1,10.2
6,Chris Andersen,C,37,TOT,27,15,14.9,1.4,2.7,0.528,0.1,0.5,0.286,1.3,2.1,0.586,0.556,0.9,1.3,0.694,1.3,2.3,3.6,0.4,0.6,0.5,0.3,1.1,3.9
7,Justin Anderson,SF,22,DAL,55,9,11.8,1.3,3.2,0.406,0.4,1.5,0.265,0.9,1.7,0.533,0.469,0.8,1.0,0.8,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,3.8
8,Kyle Anderson,SF,22,SAS,78,11,16.0,1.8,3.8,0.468,0.2,0.5,0.324,1.6,3.3,0.488,0.488,0.8,1.1,0.747,0.3,2.8,3.1,1.6,0.8,0.4,0.8,1.2,4.5
9,Trevor Ariza,SF,30,HOU,81,81,35.3,4.4,10.6,0.416,2.3,6.2,0.371,2.1,4.4,0.478,0.523,1.6,2.0,0.783,0.8,3.7,4.5,2.3,2.0,0.3,1.4,2.2,12.7
10,Jeff Ayres,C,28,LAC,17,0,6.3,0.7,1.4,0.522,0.0,0.1,0.0,0.7,1.3,0.545,0.522,0.4,0.4,1.0,0.2,1.1,1.3,0.3,0.0,0.2,0.4,1.1,1.8
11,Leandro Barbosa,SG,33,GSW,68,0,15.9,2.5,5.4,0.462,0.6,1.6,0.355,1.9,3.8,0.508,0.515,0.8,0.9,0.839,0.4,1.3,1.7,1.2,0.6,0.1,0.8,1.6,6.4
12,J.J. Barea,PG,31,DAL,74,16,22.5,4.3,9.6,0.446,1.4,3.5,0.385,2.9,6.1,0.481,0.516,1.0,1.3,0.771,0.4,1.7,2.1,4.1,0.4,0.0,1.5,1.5,10.9
13,Harrison Barnes,SF,23,GSW,66,59,30.9,4.5,9.6,0.466,1.2,3.2,0.383,3.2,6.3,0.508,0.531,1.5,2.0,0.761,1.2,3.8,4.9,1.8,0.6,0.2,0.9,2.1,11.7
14,Matt Barnes,SF,35,MEM,76,45,28.8,3.5,9.1,0.381,1.6,4.9,0.322,1.9,4.3,0.449,0.467,1.5,1.8,0.804,1.1,4.4,5.5,2.1,1.0,0.8,1.6,3.1,10.0
15,Nicolas Batum,SF,27,CHO,70,70,35.0,5.3,12.5,0.426,2.0,5.7,0.348,3.3,6.8,0.492,0.506,2.3,2.7,0.849,0.8,5.3,6.1,5.8,0.9,0.6,2.9,1.6,14.9
16,Aron Baynes,C,29,DET,81,1,15.2,2.4,4.7,0.505,0.0,0.0,0.0,2.4,4.7,0.508,0.505,1.6,2.0,0.764,1.7,3.0,4.7,0.6,0.3,0.6,0.8,1.9,6.3
17,Kent Bazemore,SF,26,ATL,75,68,27.8,4.3,9.7,0.441,1.5,4.1,0.357,2.8,5.6,0.502,0.517,1.6,2.0,0.815,0.4,4.7,5.1,2.3,1.3,0.5,1.8,2.3,11.6
18,Michael Beasley,PF,27,HOU,20,0,18.2,5.4,10.3,0.522,0.2,0.5,0.333,5.2,9.8,0.531,0.529,1.9,2.5,0.776,1.5,3.5,4.9,0.8,0.6,0.5,1.2,2.0,12.8
19,Patrick Beverley,PG,27,HOU,71,63,28.7,3.6,8.4,0.434,1.7,4.4,0.4,1.9,4.0,0.472,0.539,0.8,1.2,0.682,1.0,2.5,3.5,3.4,1.3,0.4,1.3,3.3,9.9
20,Bismack Biyombo,C,23,TOR,82,22,22.0,1.9,3.5,0.542,0.0,0.0,0.0,1.9,3.5,0.544,0.542,1.7,2.8,0.628,2.2,5.8,8.0,0.4,0.2,1.6,0.9,2.7,5.5
21,Steve Blake,PG,35,DET,58,2,17.0,1.6,4.1,0.388,0.9,2.6,0.344,0.7,1.5,0.461,0.496,0.3,0.3,0.8,0.2,1.4,1.5,3.4,0.4,0.1,1.4,1.2,4.4
22,Andrew Bogut,C,31,GSW,70,66,20.7,2.5,4.0,0.627,0.0,0.0,1.0,2.5,4.0,0.626,0.629,0.3,0.7,0.48,1.7,5.3,7.0,2.3,0.5,1.6,1.2,3.2,5.4
23,Avery Bradley,SG,25,BOS,76,72,33.4,6.0,13.4,0.447,1.9,5.4,0.361,4.1,8.1,0.505,0.52,1.3,1.6,0.78,0.6,2.3,2.9,2.1,1.5,0.3,1.4,2.2,15.2
24,Corey Brewer,SF,29,HOU,82,12,20.4,2.6,6.7,0.384,0.7,2.7,0.272,1.8,4.0,0.46,0.439,1.3,1.7,0.75,0.5,1.9,2.4,1.3,1.0,0.2,1.0,2.0,7.2
25,Reggie Bullock,SF,24,DET,37,0,11.6,1.2,2.6,0.439,0.6,1.4,0.415,0.6,1.2,0.467,0.551,0.4,0.4,0.933,0.4,1.5,1.8,0.7,0.3,0.1,0.2,0.8,3.3
