,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kareem Abdul-Jabbar*,C,33,LAL,3,0.0,44.7,10.0,21.7,0.462,0.0,0.0,0.0,10.0,21.7,0.462,0.462,6.7,9.3,0.714,4.3,12.3,16.7,4.0,1.0,2.7,3.7,4.7,26.7
1,Alvan Adams,C,26,PHO,7,0.0,31.1,3.9,8.6,0.45,0.0,0.0,0.0,3.9,8.6,0.45,0.45,2.9,4.0,0.714,1.6,4.3,5.9,3.7,0.6,0.1,2.7,2.9,10.6
2,Tiny Archibald*,PG,32,BOS,17,0.0,37.1,5.6,12.4,0.45,0.0,0.3,0.0,5.6,12.1,0.461,0.45,4.5,5.5,0.809,0.4,1.3,1.6,6.3,0.8,0.0,2.9,2.3,15.6
3,Mike Bantom,SF,29,IND,2,0.0,25.5,6.0,8.0,0.75,0.0,0.0,0.0,6.0,8.0,0.75,0.75,2.5,3.5,0.714,2.5,1.5,4.0,0.5,0.5,0.5,3.0,5.0,14.5
4,Billy Ray Bates,SG,24,POR,3,0.0,38.3,11.7,20.7,0.565,0.3,0.3,1.0,11.3,20.3,0.557,0.573,4.7,5.7,0.824,1.0,1.3,2.3,4.3,1.7,0.3,3.7,3.7,28.3
5,Larry Bird*,PF,24,BOS,17,0.0,44.1,8.6,18.4,0.47,0.2,0.5,0.375,8.5,17.9,0.472,0.474,4.5,5.0,0.894,2.9,11.1,14.0,6.1,2.3,1.0,3.6,3.1,21.9
6,Otis Birdsong,SG,25,KCK,8,0.0,29.3,7.0,12.3,0.571,0.1,0.1,1.0,6.9,12.1,0.567,0.577,1.4,2.3,0.611,1.0,1.6,2.6,3.4,1.5,0.0,2.5,1.6,15.5
7,Dudley Bradley,SG,23,IND,2,0.0,9.5,1.5,4.5,0.333,0.5,0.5,1.0,1.0,4.0,0.25,0.389,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,2.5,2.0,4.5
8,Jim Brewer,PF,29,LAL,3,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0
9,Ron Brewer,SG,25,SAS,7,0.0,16.9,4.1,8.7,0.475,0.1,0.4,0.333,4.0,8.3,0.483,0.484,3.0,4.1,0.724,0.0,0.7,0.7,1.9,0.1,0.9,0.9,0.9,11.4
10,Junior Bridgeman,SF,27,MIL,7,0.0,26.1,6.0,13.0,0.462,0.1,0.1,1.0,5.9,12.9,0.456,0.467,1.9,2.3,0.813,0.9,1.3,2.1,3.3,0.9,0.0,1.6,3.9,14.0
11,Quinn Buckner,PG,26,MIL,7,0.0,26.1,3.7,8.6,0.433,0.0,0.0,0.0,3.7,8.6,0.433,0.433,1.6,2.3,0.688,0.7,2.1,2.9,5.0,1.6,0.0,2.0,3.7,9.0
12,Don Buse,SG,30,IND,2,0.0,17.5,0.5,4.0,0.125,0.5,2.0,0.25,0.0,2.0,0.0,0.188,1.0,1.0,1.0,0.0,2.5,2.5,3.5,1.5,0.0,1.0,2.0,2.5
13,M.L. Carr,SF,30,BOS,17,0.0,16.9,2.5,5.9,0.416,0.0,0.2,0.0,2.5,5.7,0.433,0.416,1.1,1.4,0.75,0.5,1.0,1.5,0.8,0.6,0.4,0.5,1.9,6.0
14,Reggie Carter,SG,23,NYK,1,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0
15,Bill Cartwright,C,23,NYK,2,0.0,24.5,3.0,8.5,0.353,0.0,0.0,0.0,3.0,8.5,0.353,0.353,4.0,6.0,0.667,2.0,4.5,6.5,0.5,0.5,0.5,3.0,3.5,10.0
16,Harvey Catchings,PF,29,MIL,7,0.0,15.6,0.4,2.3,0.188,0.0,0.0,0.0,0.4,2.3,0.188,0.188,0.3,0.3,1.0,1.4,2.3,3.7,1.1,0.0,1.6,1.0,3.4,1.1
17,Maurice Cheeks*,PG,24,PHI,16,0.0,32.1,4.3,7.8,0.544,0.0,0.2,0.0,4.3,7.6,0.557,0.544,2.0,2.6,0.762,0.3,2.9,3.2,7.3,2.5,0.8,2.3,3.4,10.5
18,Jim Chones,PF,31,LAL,3,0.0,22.3,3.3,5.7,0.588,0.0,0.0,0.0,3.3,5.7,0.588,0.588,1.3,2.7,0.5,2.0,3.7,5.7,0.3,0.3,1.3,1.0,3.0,8.0
