,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Álex Abrines,SG,24,OKC,6,0,18.3,1.3,3.3,0.4,1.0,2.2,0.462,0.3,1.2,0.286,0.55,0.3,0.3,1.0,0.5,2.2,2.7,0.3,0.8,0.3,0.2,1.8,4.0
1,Steven Adams,C,24,OKC,6,6,33.3,4.5,7.7,0.587,0.0,0.0,0.0,4.5,7.7,0.587,0.587,1.5,2.2,0.692,3.2,4.3,7.5,1.5,0.7,0.7,0.7,2.5,10.5
2,Bam Adebayo,C,20,MIA,5,0,15.4,1.4,3.0,0.467,0.0,0.2,0.0,1.4,2.8,0.5,0.467,0.6,2.8,0.214,1.8,2.2,4.0,0.0,0.0,0.4,0.4,1.6,3.4
3,LaMarcus Aldridge,C,32,SAS,5,5,35.4,7.4,16.0,0.463,0.6,1.0,0.6,6.8,15.0,0.453,0.481,8.2,8.4,0.976,2.6,6.6,9.2,2.4,0.6,0.4,1.8,1.8,23.6
4,Al-Farouq Aminu,PF,27,POR,4,4,32.8,6.8,13.0,0.519,3.3,7.5,0.433,3.5,5.5,0.636,0.644,0.5,0.5,1.0,3.0,6.0,9.0,1.3,1.0,0.5,1.5,2.0,17.3
5,Justin Anderson,SF,24,PHI,7,0,4.7,0.4,1.1,0.375,0.3,1.0,0.286,0.1,0.1,1.0,0.5,0.0,0.0,0.0,0.1,1.1,1.3,0.0,0.1,0.0,0.3,1.1,1.1
6,Kyle Anderson,SF,24,SAS,5,1,14.6,2.4,4.0,0.6,0.0,0.8,0.0,2.4,3.2,0.75,0.6,0.6,0.8,0.75,1.0,1.6,2.6,0.6,1.2,0.2,0.6,2.0,5.4
7,Ryan Anderson,PF,29,HOU,11,0,8.6,0.6,1.8,0.35,0.5,1.4,0.333,0.2,0.5,0.4,0.475,0.0,0.0,0.0,0.4,0.8,1.2,0.5,0.3,0.1,0.3,0.9,1.7
8,Giannis Antetokounmpo,PF,23,MIL,7,7,40.0,9.9,17.3,0.57,0.6,2.0,0.286,9.3,15.3,0.607,0.587,5.4,7.9,0.691,1.1,8.4,9.6,6.3,1.4,0.9,2.4,4.0,25.7
9,Carmelo Anthony,PF,33,OKC,6,6,32.3,4.5,12.0,0.375,1.0,4.7,0.214,3.5,7.3,0.477,0.417,1.8,2.5,0.733,0.5,5.2,5.7,0.3,1.7,0.7,1.0,2.3,11.8
