,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Arron Afflalo,SG,25,DEN,3,3,28.3,4.0,11.3,0.353,1.0,4.0,0.25,3.0,7.3,0.409,0.397,2.3,2.7,0.875,0.0,3.0,3.0,2.3,0.0,0.0,1.0,3.3,11.3
1,LaMarcus Aldridge,PF,25,POR,6,6,43.0,8.8,19.2,0.461,0.0,0.0,0.0,8.8,19.2,0.461,0.461,3.2,4.0,0.792,2.7,4.8,7.5,1.3,1.3,1.7,1.5,3.2,20.8
2,Malik Allen,PF,32,ORL,1,0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
3,Ray Allen*,SG,35,BOS,9,9,40.1,6.3,12.1,0.523,3.6,6.2,0.571,2.8,5.9,0.472,0.67,2.7,2.8,0.96,0.6,3.2,3.8,2.4,1.2,0.1,1.1,2.3,18.9
4,Tony Allen,SG,29,MEM,13,13,26.9,3.3,7.8,0.426,0.1,0.5,0.143,3.2,7.2,0.447,0.431,2.1,3.2,0.659,1.2,1.8,2.9,1.5,1.9,0.4,1.8,3.3,8.8
5,Chris Andersen,C,32,DEN,5,0,14.6,1.4,2.2,0.636,0.0,0.0,0.0,1.4,2.2,0.636,0.636,2.0,2.8,0.714,1.0,1.8,2.8,0.6,0.6,1.4,0.6,1.6,4.8
6,Ryan Anderson,PF,22,ORL,6,0,24.5,1.3,5.0,0.267,1.0,3.3,0.3,0.3,1.7,0.2,0.367,1.0,1.0,1.0,1.7,2.8,4.5,0.5,0.8,0.2,0.2,2.7,4.7
7,Carmelo Anthony,SF,26,NYK,4,4,39.0,8.3,22.0,0.375,2.3,6.5,0.346,6.0,15.5,0.387,0.426,7.3,8.5,0.853,3.3,7.0,10.3,4.8,1.3,0.8,3.3,4.0,26.0
8,Joel Anthony,C,28,MIA,21,13,27.4,0.9,2.3,0.367,0.0,0.0,0.0,0.9,2.3,0.367,0.367,1.0,1.5,0.71,1.7,3.0,4.6,0.5,0.4,1.8,0.6,2.6,2.8
9,Gilbert Arenas,PG,29,ORL,5,0,16.2,3.6,8.4,0.429,0.6,2.4,0.25,3.0,6.0,0.5,0.464,0.8,1.2,0.667,0.8,2.0,2.8,2.4,0.2,0.2,1.2,2.8,8.6
10,Trevor Ariza,SF,25,NOH,6,6,40.2,5.8,14.2,0.412,1.2,3.5,0.333,4.7,10.7,0.438,0.453,2.7,3.7,0.727,1.2,5.3,6.5,3.3,1.3,0.5,1.2,2.7,15.5
11,Hilton Armstrong,C,26,ATL,8,0,4.4,0.1,0.6,0.2,0.0,0.0,0.0,0.1,0.6,0.2,0.2,0.4,0.8,0.5,0.5,0.8,1.3,0.1,0.4,0.0,0.3,0.9,0.6
12,Darrell Arthur,PF,22,MEM,13,0,15.5,3.0,6.5,0.459,0.1,0.1,1.0,2.9,6.5,0.452,0.465,1.0,1.3,0.765,1.1,1.2,2.2,0.5,0.5,0.9,0.9,2.3,7.1
13,Ömer Aşık,C,24,CHI,15,0,9.9,0.4,0.9,0.462,0.0,0.0,0.0,0.4,0.9,0.462,0.462,0.2,0.7,0.3,0.7,1.4,2.1,0.1,0.1,0.5,0.5,1.4,1.0
