,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner,Unnamed: 32_level_0,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%FGA,Md.,Unnamed: 29_level_1,%3PA,3P%,Unnamed: 32_level_1,Att.,Md.
0,1.0,Atlanta Hawks,82,19880,0.454,11.3,,0.822,0.342,0.132,0.118,0.231,0.178,,0.472,0.583,0.371,0.377,0.414,0.367,,0.504,0.837,,0.047,290,,0.272,922,,0.278,0.383,,11.0,0.0
1,2.0,Boston Celtics,82,19880,0.467,12.0,,0.796,0.341,0.117,0.111,0.228,0.204,,0.494,0.602,0.381,0.411,0.43,0.362,,0.523,0.895,,0.042,247,,0.283,961,,0.267,0.39,,14.0,2.0
2,3.0,Charlotte Bobcats,82,19905,0.433,11.9,,0.816,0.328,0.12,0.107,0.261,0.184,,0.454,0.566,0.407,0.364,0.371,0.339,,0.527,0.893,,0.04,244,,0.265,939,,0.315,0.411,,18.0,1.0
3,4.0,Chicago Bulls*,82,19905,0.446,13.0,,0.781,0.292,0.106,0.114,0.269,0.219,,0.465,0.551,0.42,0.41,0.412,0.379,,0.552,0.813,,0.025,158,,0.247,868,,0.284,0.389,,12.0,0.0
4,5.0,Cleveland Cavaliers*,82,19830,0.454,11.9,,0.772,0.351,0.121,0.103,0.198,0.228,,0.487,0.616,0.375,0.348,0.399,0.339,,0.482,0.803,,0.054,317,,0.252,920,,0.365,0.36,,15.0,0.0
5,6.0,Dallas Mavericks*,82,19880,0.462,11.8,,0.825,0.287,0.143,0.178,0.218,0.175,,0.481,0.571,0.423,0.425,0.447,0.374,,0.435,0.894,,0.035,195,,0.227,754,,0.232,0.422,,19.0,0.0
6,7.0,Denver Nuggets*,82,19930,0.461,11.4,,0.839,0.367,0.088,0.103,0.28,0.161,,0.487,0.613,0.368,0.377,0.401,0.325,,0.591,0.886,,0.075,466,,0.269,963,,0.303,0.319,,20.0,1.0
7,8.0,Detroit Pistons*,82,19830,0.455,13.2,,0.779,0.269,0.086,0.174,0.249,0.221,,0.475,0.608,0.405,0.415,0.398,0.384,,0.629,0.797,,0.059,347,,0.188,647,,0.293,0.4,,4.0,0.0
8,9.0,Golden State Warriors,82,19830,0.433,13.1,,0.73,0.283,0.152,0.083,0.211,0.27,,0.467,0.633,0.348,0.357,0.374,0.341,,0.519,0.789,,0.051,315,,0.224,851,,0.267,0.38,,13.0,0.0
