,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%FGA,Md.,Unnamed: 29_level_1,%3PA,3P%
0,1.0,Atlanta Hawks*,82,19855,0.46,11.9,,0.79,0.337,0.133,0.101,0.219,0.21,,0.491,0.613,0.383,0.388,0.415,0.345,,0.514,0.831,,0.055,333,,0.267,984,,0.235,0.388
1,2.0,Boston Celtics*,82,19780,0.451,12.5,,0.785,0.302,0.135,0.12,0.228,0.215,,0.481,0.596,0.429,0.391,0.405,0.342,,0.498,0.819,,0.038,232,,0.247,862,,0.268,0.405
2,3.0,Charlotte Bobcats*,82,19880,0.448,12.5,,0.741,0.338,0.109,0.088,0.205,0.259,,0.486,0.59,0.404,0.398,0.395,0.338,,0.496,0.871,,0.049,280,,0.264,936,,0.304,0.368
3,4.0,Chicago Bulls*,82,19905,0.442,12.6,,0.756,0.327,0.102,0.105,0.223,0.244,,0.472,0.57,0.426,0.396,0.387,0.348,,0.497,0.844,,0.042,264,,0.266,958,,0.252,0.384
4,5.0,Cleveland Cavaliers*,82,19780,0.442,12.9,,0.772,0.294,0.118,0.122,0.238,0.228,,0.471,0.59,0.398,0.377,0.407,0.347,,0.509,0.826,,0.039,239,,0.236,851,,0.255,0.368
5,6.0,Dallas Mavericks*,82,19880,0.457,12.5,,0.777,0.293,0.142,0.115,0.227,0.223,,0.488,0.618,0.422,0.406,0.404,0.347,,0.475,0.823,,0.036,228,,0.238,941,,0.234,0.355
6,7.0,Denver Nuggets*,82,19780,0.456,12.3,,0.779,0.32,0.127,0.099,0.233,0.221,,0.487,0.607,0.438,0.408,0.383,0.349,,0.5,0.843,,0.041,256,,0.255,983,,0.261,0.386
7,8.0,Detroit Pistons,82,19780,0.48,12.5,,0.755,0.33,0.105,0.105,0.216,0.245,,0.515,0.63,0.422,0.414,0.432,0.375,,0.584,0.877,,0.054,306,,0.252,903,,0.287,0.43
8,9.0,Golden State Warriors,82,19730,0.485,11.9,,0.785,0.317,0.162,0.117,0.189,0.215,,0.515,0.662,0.422,0.406,0.416,0.375,,0.523,0.868,,0.055,358,,0.24,1039,,0.277,0.394
9,10.0,Houston Rockets,82,19905,0.475,11.9,,0.803,0.328,0.129,0.118,0.227,0.197,,0.503,0.629,0.465,0.391,0.399,0.364,,0.474,0.845,,0.04,256,,0.27,1085,,0.225,0.411
10,11.0,Indiana Pacers,82,19705,0.453,12.7,,0.796,0.291,0.137,0.115,0.253,0.204,,0.476,0.592,0.404,0.415,0.409,0.363,,0.481,0.867,,0.043,258,,0.238,919,,0.258,0.409
11,12.0,Los Angeles Clippers,82,19705,0.47,12.1,,0.785,0.327,0.124,0.109,0.226,0.215,,0.499,0.614,0.429,0.414,0.413,0.363,,0.55,0.87,,0.057,343,,0.246,948,,0.248,0.445
12,13.0,Los Angeles Lakers*,82,19830,0.446,12.5,,0.768,0.315,0.119,0.114,0.22,0.232,,0.481,0.599,0.399,0.406,0.398,0.328,,0.533,0.854,,0.049,304,,0.247,930,,0.261,0.365
13,14.0,Memphis Grizzlies,82,19905,0.478,11.8,,0.764,0.357,0.116,0.095,0.196,0.236,,0.517,0.629,0.473,0.395,0.398,0.354,,0.508,0.874,,0.06,372,,0.276,1104,,0.261,0.407
14,15.0,Miami Heat*,82,19880,0.439,12.6,,0.761,0.293,0.142,0.116,0.211,0.239,,0.469,0.58,0.429,0.383,0.39,0.342,,0.484,0.834,,0.045,250,,0.226,777,,0.244,0.406
15,16.0,Milwaukee Bucks*,82,19980,0.451,12.0,,0.799,0.33,0.11,0.144,0.216,0.201,,0.478,0.582,0.416,0.422,0.39,0.343,,0.494,0.868,,0.043,247,,0.266,911,,0.261,0.369
16,17.0,Minnesota Timberwolves,82,19780,0.48,12.7,,0.757,0.309,0.113,0.103,0.231,0.243,,0.517,0.662,0.457,0.411,0.4,0.366,,0.574,0.871,,0.06,396,,0.229,953,,0.288,0.39
17,18.0,New Jersey Nets,82,19780,0.481,11.3,,0.806,0.368,0.114,0.108,0.217,0.194,,0.509,0.618,0.415,0.424,0.415,0.366,,0.571,0.891,,0.06,359,,0.284,1081,,0.258,0.412
18,19.0,New Orleans Hornets,82,19830,0.483,12.1,,0.775,0.34,0.108,0.116,0.21,0.225,,0.52,0.644,0.468,0.375,0.426,0.355,,0.539,0.861,,0.052,319,,0.27,1091,,0.254,0.394
19,20.0,New York Knicks,82,19880,0.486,12.0,,0.772,0.338,0.128,0.096,0.21,0.228,,0.525,0.633,0.494,0.405,0.426,0.352,,0.454,0.819,,0.049,326,,0.264,1064,,0.258,0.409
20,21.0,Oklahoma City Thunder*,82,19805,0.448,11.3,,0.79,0.356,0.133,0.11,0.191,0.21,,0.476,0.602,0.381,0.368,0.371,0.34,,0.482,0.834,,0.052,312,,0.283,1051,,0.235,0.373
21,22.0,Orlando Magic*,82,19730,0.438,12.7,,0.787,0.286,0.129,0.131,0.241,0.213,,0.459,0.577,0.388,0.397,0.39,0.363,,0.465,0.801,,0.04,245,,0.226,795,,0.229,0.398
22,23.0,Philadelphia 76ers,82,19805,0.472,11.9,,0.765,0.337,0.126,0.112,0.191,0.235,,0.497,0.607,0.446,0.411,0.385,0.393,,0.522,0.835,,0.047,294,,0.274,1000,,0.269,0.402
23,24.0,Phoenix Suns*,82,19730,0.452,12.2,,0.779,0.301,0.157,0.109,0.212,0.221,,0.479,0.599,0.399,0.408,0.403,0.355,,0.474,0.777,,0.05,317,,0.233,925,,0.258,0.363
24,25.0,Portland Trail Blazers*,82,19855,0.464,12.1,,0.78,0.329,0.126,0.102,0.222,0.22,,0.499,0.622,0.444,0.39,0.398,0.343,,0.475,0.852,,0.046,268,,0.263,978,,0.261,0.373
25,26.0,Sacramento Kings,82,19880,0.469,11.7,,0.796,0.314,0.158,0.112,0.212,0.204,,0.497,0.643,0.398,0.402,0.404,0.357,,0.471,0.825,,0.054,339,,0.241,981,,0.237,0.38
26,27.0,San Antonio Spurs*,82,19780,0.452,11.8,,0.821,0.298,0.167,0.137,0.219,0.179,,0.476,0.59,0.414,0.417,0.404,0.343,,0.474,0.82,,0.034,204,,0.25,912,,0.228,0.372
27,28.0,Toronto Raptors,82,19780,0.468,12.4,,0.756,0.323,0.128,0.103,0.202,0.244,,0.501,0.614,0.412,0.416,0.42,0.366,,0.524,0.877,,0.048,302,,0.25,985,,0.283,0.416
28,29.0,Utah Jazz*,82,19755,0.449,12.4,,0.759,0.325,0.124,0.093,0.218,0.241,,0.48,0.607,0.411,0.358,0.381,0.354,,0.487,0.87,,0.046,268,,0.259,947,,0.27,0.397
29,30.0,Washington Wizards,82,19830,0.463,12.5,,0.78,0.291,0.155,0.099,0.234,0.22,,0.492,0.664,0.371,0.403,0.395,0.36,,0.517,0.852,,0.048,309,,0.227,925,,0.259,0.383
30,,League Average,82,19817,0.461,12.2,,0.778,0.32,0.129,0.11,0.218,0.222,,0.492,0.613,0.421,0.4,0.402,0.355,,0.505,0.847,,0.048,293,,0.253,961,,0.258,0.392
