,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Los Angeles Lakers*,72,17455,39.9,86.7,0.46,11.4,32.3,0.352,28.5,54.3,0.524,15.9,20.6,0.776,8.8,33.3,42.2,24.7,8.3,4.6,15.3,21.3,107.1
1,2,Philadelphia 76ers*,72,17430,39.2,86.6,0.453,11.9,32.9,0.36,27.4,53.7,0.51,17.3,22.7,0.764,9.7,33.0,42.7,23.4,7.2,4.6,15.5,20.9,107.6
2,3,New York Knicks*,72,17430,39.2,89.1,0.44,12.4,36.8,0.337,26.8,52.3,0.512,17.5,22.9,0.761,10.0,35.6,45.5,24.3,6.8,5.6,13.2,18.5,108.2
3,4,Utah Jazz*,72,17355,41.3,92.4,0.447,11.0,32.2,0.341,30.3,60.2,0.504,14.7,19.1,0.768,9.9,33.1,43.1,22.5,7.8,4.0,11.6,19.2,108.3
4,5,Golden State Warriors,72,17305,39.3,87.0,0.452,12.1,33.7,0.359,27.2,53.3,0.511,19.4,24.9,0.778,10.4,35.8,46.2,23.2,7.7,4.2,14.7,19.1,110.1
5,6,Memphis Grizzlies*,72,17405,40.6,87.7,0.462,12.7,34.7,0.367,27.8,53.0,0.525,17.2,21.8,0.788,9.7,34.5,44.2,25.1,7.6,5.2,14.7,18.1,111.0
6,7,Miami Heat*,72,17380,40.2,87.7,0.459,14.7,40.2,0.365,25.6,47.5,0.538,16.0,20.5,0.782,9.8,34.4,44.1,26.5,7.7,4.1,15.5,20.2,111.2
7,8,Los Angeles Clippers*,72,17280,41.4,89.2,0.464,11.9,33.5,0.356,29.4,55.6,0.529,16.6,21.3,0.777,9.4,33.1,42.5,23.6,7.3,4.4,13.3,18.7,111.2
8,9,Phoenix Suns*,72,17480,41.2,88.2,0.467,11.8,33.3,0.354,29.4,54.9,0.535,17.1,22.0,0.778,9.5,33.9,43.4,23.3,7.0,3.6,13.9,18.3,111.3
9,10,Milwaukee Bucks*,72,17330,41.4,90.6,0.456,14.5,37.6,0.384,26.9,53.0,0.507,14.3,18.3,0.78,9.4,33.0,42.4,24.4,6.9,4.7,12.8,17.9,111.4
10,11,Chicago Bulls,72,17380,41.6,88.0,0.473,11.6,32.5,0.356,30.0,55.6,0.541,17.3,22.3,0.774,8.7,33.6,42.3,24.2,8.6,5.1,12.8,17.8,112.0
11,12,Denver Nuggets*,72,17480,40.8,86.9,0.469,13.2,36.3,0.363,27.6,50.6,0.545,17.4,22.5,0.773,9.2,32.7,41.9,26.4,7.6,4.6,14.3,19.5,112.1
12,13,Indiana Pacers,72,17455,41.6,89.0,0.468,11.2,30.7,0.366,30.4,58.4,0.521,17.9,22.9,0.782,11.0,34.6,45.6,25.4,7.2,5.2,14.4,17.7,112.4
13,14,Boston Celtics*,72,17380,40.4,87.0,0.464,13.0,34.8,0.374,27.4,52.3,0.524,18.7,23.8,0.785,9.5,33.5,43.0,24.3,7.5,4.7,14.3,19.5,112.5
14,15,Toronto Raptors,72,17305,39.3,85.3,0.461,14.0,36.9,0.379,25.3,48.4,0.523,19.9,25.0,0.799,10.1,36.1,46.2,26.2,6.7,5.6,16.2,19.6,112.5
15,16,Detroit Pistons,72,17430,41.9,88.1,0.476,11.5,31.8,0.362,30.4,56.3,0.541,17.2,22.6,0.76,10.1,34.8,44.9,25.1,8.1,5.9,14.1,20.7,112.5
16,17,Charlotte Hornets,72,17355,41.8,89.3,0.468,14.7,40.1,0.366,27.2,49.2,0.552,14.5,19.5,0.745,10.8,35.0,45.8,27.4,8.2,4.9,14.9,18.9,112.8
17,18,San Antonio Spurs,72,17480,42.4,89.8,0.472,12.3,32.6,0.377,30.1,57.2,0.527,15.7,20.7,0.758,10.2,37.2,47.4,24.8,6.3,5.1,13.2,18.6,112.8
18,19,Dallas Mavericks*,72,17305,41.1,89.3,0.46,13.2,36.2,0.365,27.9,53.2,0.525,17.6,23.1,0.764,10.0,35.1,45.1,23.2,7.5,3.8,12.9,20.6,113.0
19,20,Washington Wizards*,72,17405,41.1,87.3,0.471,11.9,32.1,0.369,29.2,55.2,0.529,18.9,24.2,0.781,9.8,34.2,43.9,23.3,7.8,4.6,14.0,21.0,113.0
20,21,Atlanta Hawks*,72,17405,42.0,90.7,0.463,12.1,34.8,0.349,29.9,55.9,0.534,17.2,21.5,0.803,10.2,33.2,43.4,24.8,7.9,5.1,12.5,20.1,113.3
21,22,New Orleans Pelicans,72,17430,41.5,88.5,0.469,14.3,37.8,0.38,27.1,50.7,0.535,16.5,20.9,0.79,8.9,32.6,41.4,25.7,7.6,5.9,13.2,21.1,113.8
