,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,New York Knicks*,72,17430,2730,6209,0.44,864,2565,0.337,1866,3644,0.512,1216,1598,0.761,695,2478,3173,1696,472,391,918,1286,7540
1,2.0,Los Angeles Lakers*,72,17455,2862,6221,0.46,818,2321,0.352,2044,3900,0.524,1144,1475,0.776,634,2392,3026,1776,593,327,1095,1530,7686
2,3.0,Utah Jazz*,72,17355,2943,6581,0.447,783,2293,0.341,2160,4288,0.504,1047,1364,0.768,706,2362,3068,1604,554,282,827,1365,7716
3,4.0,Los Angeles Clippers*,72,17280,2887,6223,0.464,833,2341,0.356,2054,3882,0.529,1157,1489,0.777,659,2307,2966,1650,510,304,925,1303,7764
4,5.0,Miami Heat*,72,17380,2815,6137,0.459,1027,2814,0.365,1788,3323,0.538,1122,1435,0.782,684,2404,3088,1857,541,287,1085,1414,7779
5,6.0,Philadelphia 76ers*,72,17430,2835,6259,0.453,857,2378,0.36,1978,3881,0.51,1253,1640,0.764,702,2388,3090,1694,521,335,1122,1509,7780
6,7.0,Phoenix Suns*,72,17480,2916,6248,0.467,836,2359,0.354,2080,3889,0.535,1213,1560,0.778,674,2401,3075,1652,498,258,981,1294,7881
7,8.0,Denver Nuggets*,72,17480,2883,6149,0.469,934,2570,0.363,1949,3579,0.545,1229,1589,0.773,652,2314,2966,1864,540,325,1014,1379,7929
8,9.0,Dallas Mavericks*,72,17305,2885,6269,0.46,925,2537,0.365,1960,3732,0.525,1238,1621,0.764,704,2460,3164,1631,527,264,908,1446,7933
9,10.0,Detroit Pistons,72,17430,2980,6260,0.476,817,2260,0.362,2163,4000,0.541,1221,1607,0.76,717,2475,3192,1785,578,419,1004,1469,7998
10,11.0,Boston Celtics*,72,17380,2875,6191,0.464,925,2473,0.374,1950,3718,0.524,1329,1692,0.785,677,2382,3059,1732,531,334,1015,1389,8004
11,12.0,Atlanta Hawks*,72,17405,2971,6418,0.463,858,2460,0.349,2113,3958,0.534,1219,1519,0.803,719,2352,3071,1754,557,363,886,1422,8019
12,13.0,Charlotte Hornets,72,17355,2972,6346,0.468,1042,2847,0.366,1930,3499,0.552,1034,1387,0.745,766,2487,3253,1951,582,347,1062,1340,8020
13,14.0,Chicago Bulls,72,17380,2983,6313,0.473,829,2328,0.356,2154,3985,0.541,1238,1600,0.774,624,2410,3034,1737,614,364,917,1277,8033
14,15.0,Toronto Raptors,72,17305,2809,6099,0.461,1001,2641,0.379,1808,3458,0.523,1426,1785,0.799,720,2582,3302,1872,477,402,1161,1405,8045
15,16.0,Memphis Grizzlies*,72,17405,2953,6387,0.462,926,2526,0.367,2027,3861,0.525,1251,1588,0.788,704,2515,3219,1827,552,377,1068,1318,8083
16,17.0,Cleveland Cavaliers,72,17430,3024,6245,0.484,893,2334,0.383,2131,3911,0.545,1143,1468,0.779,712,2437,3149,1828,613,425,1033,1451,8084
17,18.0,Golden State Warriors,72,17305,2897,6408,0.452,891,2481,0.359,2006,3927,0.511,1426,1834,0.778,769,2635,3404,1711,567,312,1083,1406,8111
18,19.0,San Antonio Spurs,72,17480,3055,6469,0.472,885,2350,0.377,2170,4119,0.527,1128,1489,0.758,732,2681,3413,1784,454,369,949,1338,8123
19,20.0,Orlando Magic,72,17330,3039,6456,0.471,987,2649,0.373,2052,3807,0.539,1093,1390,0.786,704,2706,3410,1874,548,384,917,1343,8158
20,21.0,Brooklyn Nets*,72,17405,3017,6573,0.459,951,2607,0.365,2066,3966,0.521,1228,1584,0.775,753,2348,3101,1729,550,330,908,1361,8213
21,22.0,Milwaukee Bucks*,72,17330,3052,6688,0.456,1068,2778,0.384,1984,3910,0.507,1053,1350,0.78,693,2435,3128,1804,507,348,947,1320,8225
22,23.0,Portland Trail Blazers*,72,17305,3007,6355,0.473,928,2494,0.372,2079,3861,0.538,1289,1638,0.787,710,2558,3268,1794,440,333,892,1374,8231
23,24.0,New Orleans Pelicans,72,17430,3016,6431,0.469,1043,2745,0.38,1973,3686,0.535,1197,1516,0.79,644,2366,3010,1866,555,426,961,1534,8272
24,25.0,Indiana Pacers,72,17455,3076,6576,0.468,828,2265,0.366,2248,4311,0.521,1325,1695,0.782,813,2555,3368,1877,535,381,1066,1306,8305
25,26.0,Oklahoma City Thunder,72,17355,3123,6603,0.473,978,2688,0.364,2145,3915,0.548,1102,1426,0.773,729,2663,3392,1856,647,378,942,1336,8326
26,27.0,Houston Rockets,72,17305,3075,6411,0.48,966,2532,0.382,2109,3879,0.544,1286,1642,0.783,713,2713,3426,1855,611,378,1055,1388,8402
27,28.0,Sacramento Kings,72,17305,3139,6438,0.488,893,2349,0.38,2246,4089,0.549,1283,1631,0.787,767,2489,3256,1823,545,336,988,1348,8454
28,29.0,Minnesota Timberwolves,72,17405,3098,6426,0.482,945,2412,0.392,2153,4014,0.536,1332,1695,0.786,718,2579,3297,1932,550,398,1102,1432,8473
29,30.0,Washington Wizards*,72,17405,3103,6594,0.471,896,2425,0.369,2207,4169,0.529,1428,1828,0.781,738,2580,3318,1762,587,348,1056,1586,8530
30,,League Average,72,17383,2967,6366,0.466,914,2494,0.367,2053,3872,0.53,1222,1571,0.778,708,2482,3190,1786,545,351,996,1389,8071
