,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Denver Nuggets*,82,19780,39.1,84.5,0.463,,,,39.1,84.5,0.463,17.8,24.3,0.733,13.8,27.1,40.9,22.7,10.3,5.1,21.2,24.9,96.1
1,2,Chicago Bulls*,82,19805,40.1,86.0,0.466,,,,40.1,86.0,0.466,17.3,23.1,0.747,12.8,31.0,43.8,23.2,8.8,5.6,19.4,26.2,97.4
2,3,Phoenix Suns,82,19730,37.9,82.0,0.462,,,,37.9,82.0,0.462,21.7,28.8,0.754,13.5,29.6,43.1,21.2,10.2,5.0,20.9,26.5,97.5
3,4,Philadelphia 76ers*,82,19780,40.0,88.7,0.451,,,,40.0,88.7,0.451,17.5,23.2,0.753,15.9,27.4,43.3,22.5,9.2,4.2,19.8,25.0,97.6
4,5,Portland Trail Blazers*,82,19730,38.4,83.4,0.46,,,,38.4,83.4,0.46,21.3,28.3,0.751,13.5,28.3,41.7,20.5,9.5,5.4,19.9,25.2,98.0
5,6,Seattle SuperSonics,82,19805,38.5,83.3,0.462,,,,38.5,83.3,0.462,21.1,28.1,0.753,14.3,30.1,44.3,23.2,8.2,5.4,21.6,23.9,98.2
6,7,Boston Celtics*,82,19830,40.1,89.0,0.45,,,,40.1,89.0,0.45,18.2,24.5,0.741,12.5,31.0,43.5,21.6,7.9,3.9,15.4,22.0,98.3
7,8,Washington Bullets*,82,19730,40.8,89.0,0.458,,,,40.8,89.0,0.458,16.8,22.3,0.752,13.4,29.5,42.8,21.7,9.4,4.0,17.3,24.0,98.4
8,9,New York Nets,82,19730,38.5,83.0,0.464,,,,38.5,83.0,0.464,21.8,29.2,0.749,13.5,34.4,47.9,22.4,9.1,6.0,20.3,23.1,98.7
9,10,Los Angeles Lakers*,82,19805,40.7,90.1,0.452,,,,40.7,90.1,0.452,17.5,23.0,0.759,15.6,30.4,46.0,22.0,8.8,4.2,18.5,21.0,98.9
10,11,Cleveland Cavaliers*,82,19780,39.0,86.9,0.449,,,,39.0,86.9,0.449,20.9,27.8,0.752,14.4,32.4,46.8,20.7,7.9,4.6,18.4,22.8,98.9
11,12,Golden State Warriors*,82,19780,40.2,85.4,0.47,,,,40.2,85.4,0.47,19.1,25.7,0.745,14.1,29.7,43.9,23.8,8.5,4.7,20.0,21.8,99.5
12,13,Kansas City Kings,82,19830,38.9,82.4,0.472,,,,38.9,82.4,0.472,21.8,28.6,0.761,12.5,31.2,43.6,19.8,8.2,4.5,20.0,23.1,99.6
13,14,New Orleans Jazz,82,19780,39.5,87.3,0.452,,,,39.5,87.3,0.452,20.7,27.7,0.749,14.9,31.5,46.4,19.8,9.5,4.1,18.3,24.1,99.7
14,15,New York Knicks,82,19755,40.2,85.5,0.47,,,,40.2,85.5,0.47,19.7,26.2,0.753,13.1,30.5,43.6,20.8,8.9,4.6,18.1,22.6,100.1
15,16,Indiana Pacers,82,19755,40.8,86.5,0.472,,,,40.8,86.5,0.472,19.3,25.5,0.757,15.6,31.4,47.1,23.8,8.1,5.3,20.3,23.2,101.0
16,17,Detroit Pistons*,82,19730,39.8,84.3,0.472,,,,39.8,84.3,0.472,21.6,28.4,0.76,14.7,29.5,44.2,21.8,8.9,4.3,20.4,20.4,101.3
17,18,Atlanta Hawks,82,19705,39.7,83.1,0.478,,,,39.7,83.1,0.478,22.2,29.4,0.755,13.1,29.5,42.6,23.5,9.4,5.1,19.7,25.3,101.6
18,19,Buffalo Braves,82,19730,42.9,89.8,0.478,,,,42.9,89.8,0.478,15.9,21.1,0.755,14.4,30.8,45.2,24.8,8.3,5.1,18.2,24.1,101.8
19,20,San Antonio Spurs*,82,19755,42.8,87.8,0.487,,,,42.8,87.8,0.487,16.4,22.4,0.734,14.4,29.2,43.6,23.5,8.8,4.6,19.8,23.8,102.0
20,21,Houston Rockets*,82,19780,41.0,88.1,0.465,,,,41.0,88.1,0.465,20.9,27.0,0.775,13.4,26.7,40.1,22.5,6.5,4.2,16.7,23.7,102.9
21,22,Milwaukee Bucks,82,19705,41.8,87.2,0.479,,,,41.8,87.2,0.479,19.4,26.2,0.739,14.2,29.4,43.6,24.7,8.3,4.6,18.5,21.8,102.9
