,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner,Unnamed: 32_level_0,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%FGA,Md.,Unnamed: 29_level_1,%3PA,3P%,Unnamed: 32_level_1,Att.,Md.
0,1.0,Atlanta Hawks*,82,19705,0.458,13.3,,0.747,0.267,0.16,0.101,0.219,0.253,,0.49,0.627,0.461,0.403,0.384,0.366,,0.483,0.868,,0.055,314,,0.211,790,,0.285,0.4,,17.0,0.0
1,2.0,Boston Celtics*,82,19880,0.486,12.1,,0.786,0.332,0.123,0.109,0.223,0.214,,0.51,0.633,0.402,0.411,0.434,0.397,,0.541,0.911,,0.044,266,,0.281,1042,,0.301,0.446,,5.0,0.0
2,3.0,Charlotte Bobcats,82,19930,0.455,11.6,,0.787,0.368,0.119,0.082,0.219,0.213,,0.479,0.566,0.384,0.398,0.415,0.366,,0.539,0.939,,0.047,274,,0.307,1002,,0.299,0.385,,18.0,1.0
3,4.0,Chicago Bulls*,82,19930,0.457,12.4,,0.811,0.33,0.084,0.104,0.293,0.189,,0.474,0.574,0.386,0.387,0.418,0.381,,0.505,0.817,,0.048,300,,0.265,951,,0.246,0.374,,13.0,0.0
4,5.0,Cleveland Cavaliers*,82,19780,0.468,13.7,,0.741,0.278,0.101,0.101,0.262,0.259,,0.495,0.644,0.385,0.391,0.418,0.393,,0.484,0.79,,0.049,289,,0.21,801,,0.351,0.412,,10.0,0.0
5,6.0,Dallas Mavericks*,82,19805,0.462,13.4,,0.759,0.266,0.089,0.162,0.242,0.241,,0.498,0.601,0.402,0.443,0.456,0.35,,0.506,0.851,,0.042,262,,0.211,774,,0.282,0.335,,17.0,1.0
6,7.0,Denver Nuggets*,82,19730,0.47,11.8,,0.773,0.376,0.1,0.081,0.216,0.227,,0.499,0.616,0.407,0.327,0.401,0.371,,0.555,0.777,,0.088,523,,0.266,924,,0.193,0.389,,18.0,1.0
7,8.0,Detroit Pistons*,82,19905,0.454,12.7,,0.835,0.284,0.091,0.156,0.304,0.165,,0.475,0.587,0.477,0.405,0.406,0.349,,0.51,0.955,,0.039,233,,0.229,812,,0.38,0.38,,11.0,0.0
8,9.0,Golden State Warriors,82,19880,0.458,12.6,,0.791,0.308,0.138,0.092,0.252,0.209,,0.48,0.632,0.362,0.366,0.402,0.373,,0.468,0.827,,0.044,290,,0.247,1036,,0.224,0.461,,18.0,1.0
