,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,Los Angeles Lakers*,69,13,.841,—,121.0,108.7,11.65,West,5
1,Milwaukee Bucks*,63,19,.768,—,114.6,103.5,10.70,West,1
2,Chicago Bulls*,57,25,.695,6.0,111.2,102.9,7.91,West,2
3,Boston Celtics*,56,26,.683,—,115.6,110.8,4.38,East,1
4,Golden State Warriors*,51,31,.622,18.0,108.2,107.4,0.92,West,6
5,Phoenix Suns,49,33,.598,14.0,116.3,110.8,5.57,West,3
6,New York Knicks*,48,34,.585,8.0,107.1,104.7,2.28,East,2
7,Seattle SuperSonics,47,35,.573,22.0,109.2,108.8,0.86,West,7
8,Baltimore Bullets*,38,44,.463,—,107.1,108.3,-1.26,East,5
9,Atlanta Hawks*,36,46,.439,2.0,109.5,111.3,-1.94,East,6
10,Houston Rockets,34,48,.415,35.0,109.7,111.2,-1.22,West,8
11,Philadelphia 76ers,30,52,.366,26.0,112.2,115.9,-3.44,East,3
12,Cincinnati Royals,30,52,.366,8.0,107.8,111.8,-4.13,East,7
13,Detroit Pistons,26,56,.317,37.0,109.1,115.9,-6.11,West,4
14,Cleveland Cavaliers,23,59,.280,15.0,105.8,113.4,-7.90,East,8
15,Buffalo Braves,22,60,.268,34.0,102.0,111.3,-9.44,East,4
16,Portland Trail Blazers,18,64,.220,51.0,106.8,116.5,-8.84,West,9
