,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Los Angeles Lakers*,29.5,69.0,13.0,67,15,12.28,-0.63,11.65,103.1,92.6,10.5,116.9,0.354,,0.537,,0.49,,,0.26,,0.432,,,0.177,,The Forum,668340.0,
1,2.0,Milwaukee Bucks*,26.3,63.0,19.0,66,16,11.16,-0.46,10.7,102.6,92.6,10.0,111.2,0.313,,0.54,,0.498,,,0.232,,0.42,,,0.217,,Milwaukee Arena,,
2,3.0,Chicago Bulls*,27.5,57.0,25.0,61,21,8.26,-0.35,7.91,101.9,94.3,7.6,108.6,0.344,,0.504,,0.451,,,0.26,,0.454,,,0.266,,Chicago Stadium,,
3,4.0,Phoenix Suns,26.6,49.0,33.0,54,28,5.5,0.07,5.57,101.3,96.5,4.8,113.7,0.381,,0.518,,0.457,,,0.297,,0.452,,,0.247,,Arizona Veterans Memorial Coliseum,,
4,5.0,Boston Celtics*,27.6,56.0,26.0,53,29,4.78,-0.4,4.38,99.3,95.2,4.1,116.1,0.281,,0.5,,0.453,,,0.218,,0.444,,,0.265,,Boston Garden,346701.0,
5,6.0,New York Knicks*,28.8,48.0,34.0,48,34,2.45,-0.17,2.28,98.5,96.3,2.2,108.0,0.3,,0.506,,0.459,,,0.227,,0.443,,,0.256,,Madison Square Garden (IV),,
6,7.0,Golden State Warriors*,27.7,51.0,31.0,43,39,0.77,0.15,0.92,95.6,94.9,0.7,113.0,0.316,,0.492,,0.439,,,0.242,,0.44,,,0.209,,Oakland-Alameda County Coliseum Arena,,
7,8.0,Seattle SuperSonics,26.7,47.0,35.0,42,40,0.46,0.4,0.86,98.5,98.1,0.4,110.5,0.357,,0.519,,0.464,,,0.273,,0.451,,,0.209,,Seattle Center Coliseum,,
8,9.0,Baltimore Bullets*,26.7,38.0,44.0,38,44,-1.17,-0.09,-1.26,96.5,97.6,-1.1,110.5,0.307,,0.499,,0.45,,,0.233,,0.452,,,0.228,,Baltimore Civic Center,,
9,10.0,Houston Rockets,24.6,34.0,48.0,37,45,-1.56,0.35,-1.22,95.4,96.8,-1.4,114.7,0.293,,0.481,,0.434,,,0.219,,0.453,,,0.261,,Hofheinz Pavilion,,
10,11.0,Atlanta Hawks*,26.8,36.0,46.0,36,46,-1.77,-0.17,-1.94,98.7,100.3,-1.6,110.7,0.36,,0.512,,0.46,,,0.267,,0.465,,,0.249,,Alexander Memorial Coliseum,,
11,12.0,Philadelphia 76ers,28.3,30.0,52.0,32,50,-3.67,0.23,-3.44,96.4,99.5,-3.1,115.8,0.351,,0.495,,0.444,,,0.254,,0.459,,,0.289,,The Spectrum,,
12,13.0,Cincinnati Royals,25.7,30.0,52.0,31,51,-4.04,-0.1,-4.13,98.0,101.6,-3.6,109.5,0.344,,0.512,,0.459,,,0.26,,0.466,,,0.276,,Cincinnati Gardens,,
13,14.0,Detroit Pistons,26.2,26.0,56.0,25,57,-6.84,0.73,-6.11,96.1,102.2,-6.1,112.8,0.346,,0.506,,0.454,,,0.258,,0.472,,,0.23,,Cobo Arena,,179.0
14,15.0,Cleveland Cavaliers,24.2,23.0,59.0,22,60,-7.63,-0.26,-7.9,94.5,101.4,-6.9,111.5,0.296,,0.475,,0.428,,,0.218,,0.485,,,0.265,,Cleveland Arena,,
15,16.0,Buffalo Braves,25.0,22.0,60.0,19,63,-9.24,-0.2,-9.44,93.6,102.1,-8.5,108.3,0.294,,0.49,,0.451,,,0.205,,0.46,,,0.287,,Buffalo Memorial Auditorium,,
16,17.0,Portland Trail Blazers,24.5,18.0,64.0,19,63,-9.73,0.9,-8.84,94.5,103.1,-8.6,112.3,0.318,,0.49,,0.442,,,0.234,,0.486,,,0.237,,Memorial Coliseum,,
17,,League Average,26.7,,,41,41,0.0,0.0,0.0,97.9,97.9,,112.0,0.326,,0.504,,0.455,,,0.244,,0.455,,,0.244,,,507521.0,1909.0
