,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Milwaukee Bucks*,82,19905,3207,7033,0.456,42,203,0.207,3165,6830,0.463,1869,2489,0.751,1252,2235,3487,1959,653,319,1404,2093,8325
1,2.0,Atlanta Hawks*,82,19855,3277,6845,0.479,39,185,0.211,3238,6660,0.486,1834,2380,0.771,1191,2410,3601,2026,579,424,1409,2087,8427
2,3.0,New York Knicks*,82,19855,3260,6687,0.488,52,189,0.275,3208,6498,0.494,1876,2474,0.758,1045,2171,3216,2049,721,397,1683,2197,8448
3,4.0,Boston Celtics*,82,19955,3463,7372,0.47,71,219,0.324,3392,7153,0.474,1659,2143,0.774,1101,2227,3328,1957,703,328,1329,2090,8656
4,5.0,Philadelphia 76ers*,82,19955,3427,7136,0.48,47,207,0.227,3380,6929,0.488,1757,2367,0.742,1235,2237,3472,2062,805,483,1559,2237,8658
5,6.0,Washington Bullets*,82,19905,3465,7086,0.489,37,172,0.215,3428,6914,0.496,1693,2218,0.763,1037,2381,3418,2038,706,492,1277,2021,8660
6,7.0,Cleveland Cavaliers,82,19855,3373,6930,0.487,50,190,0.263,3323,6740,0.493,1939,2541,0.763,983,2405,3388,2141,579,395,1224,1906,8735
7,8.0,Seattle SuperSonics*,82,19780,3585,7337,0.489,54,228,0.237,3531,7109,0.497,1655,2168,0.763,1167,2404,3571,2278,663,388,1330,2097,8879
8,9.0,Chicago Bulls,82,19980,3502,7082,0.494,37,182,0.203,3465,6900,0.502,1885,2471,0.763,1125,2388,3513,2235,786,514,1513,2110,8926
9,10.0,New Jersey Nets*,82,19805,3422,6974,0.491,48,181,0.265,3374,6793,0.497,2037,2675,0.761,1097,2307,3404,1913,781,416,1674,2161,8929
10,11.0,Indiana Pacers,82,19780,3552,7175,0.495,29,146,0.199,3523,7029,0.501,1828,2415,0.757,1194,2564,3758,2117,761,444,1587,1930,8961
11,12.0,Portland Trail Blazers*,82,19805,3566,6943,0.514,57,208,0.274,3509,6735,0.521,1797,2366,0.76,1059,2185,3244,2119,649,440,1633,2184,8986
12,13.0,Dallas Mavericks*,82,19955,3633,7282,0.499,63,222,0.284,3570,7060,0.506,1688,2198,0.768,1180,2346,3526,2131,632,417,1386,2213,9017
13,14.0,Phoenix Suns*,82,19780,3509,7061,0.497,54,219,0.247,3455,6842,0.505,1956,2540,0.77,1065,2333,3398,2059,675,298,1480,2038,9028
14,15.0,Kansas City Kings*,82,19755,3601,7169,0.502,33,164,0.201,3568,7005,0.509,1909,2510,0.761,1126,2387,3513,2108,660,493,1584,2191,9144
15,16.0,Los Angeles Lakers*,82,19780,3672,7600,0.483,63,223,0.283,3609,7377,0.489,1763,2346,0.751,1253,2154,3407,2261,797,376,1443,1973,9170
16,17.0,Golden State Warriors,82,19830,3725,7210,0.517,36,171,0.211,3689,7039,0.524,1801,2377,0.758,1211,2513,3724,2150,691,494,1694,2246,9287
17,18.0,Detroit Pistons*,82,19905,3657,7369,0.496,53,202,0.262,3604,7167,0.503,1941,2577,0.753,1163,2457,3620,2193,621,527,1480,2187,9308
18,19.0,Houston Rockets,82,19755,3583,7412,0.483,42,157,0.268,3541,7255,0.488,2116,2803,0.755,1197,2458,3655,2023,782,426,1421,1916,9324
19,20.0,Utah Jazz*,82,19780,3745,7872,0.476,46,208,0.221,3699,7664,0.483,1799,2414,0.745,1458,2461,3919,2237,747,466,1438,2194,9335
20,21.0,San Diego Clippers,82,19730,3771,7406,0.509,53,187,0.283,3718,7219,0.515,1749,2233,0.783,1112,2163,3275,2370,727,458,1242,2043,9344
21,22.0,San Antonio Spurs,82,19980,3996,7910,0.505,52,216,0.241,3944,7694,0.513,1840,2427,0.758,1293,2455,3748,2518,652,464,1427,2187,9884
22,23.0,Denver Nuggets*,82,19805,4016,7747,0.518,62,205,0.302,3954,7542,0.524,2143,2860,0.749,1228,2737,3965,2453,671,545,1538,2272,10237
23,,League Average,82,19847,3566,7245,0.492,49,195,0.25,3517,7050,0.499,1849,2434,0.76,1164,2364,3528,2148,697,435,1468,2112,9029
