,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Denver Nuggets*,82,19805,3935,7983,0.493,77,255,0.302,3858,7728,0.499,2200,2690,0.818,1133,2444,3577,2482,711,352,1344,2279,10147
1,2.0,San Antonio Spurs,82,19980,3909,7721,0.506,79,263,0.3,3830,7458,0.514,1965,2604,0.755,1230,2528,3758,2361,685,491,1447,2146,9862
2,3.0,Detroit Pistons*,82,19905,3798,7910,0.48,32,141,0.227,3766,7769,0.485,1974,2547,0.775,1427,2434,3861,2256,697,417,1310,2177,9602
3,4.0,Los Angeles Lakers*,82,19780,3854,7250,0.532,58,226,0.257,3796,7024,0.54,1712,2272,0.754,1095,2499,3594,2455,726,478,1578,2054,9478
4,5.0,Utah Jazz*,82,19780,3606,7242,0.498,101,317,0.319,3505,6925,0.506,2115,2708,0.781,1096,2522,3618,2230,695,604,1510,1978,9428
5,6.0,Portland Trail Blazers*,82,19805,3632,7189,0.505,25,129,0.194,3607,7060,0.511,1988,2637,0.754,1251,2194,3445,2082,814,397,1483,2134,9277
6,7.0,Boston Celtics*,82,19955,3616,7235,0.5,55,229,0.24,3561,7006,0.508,1907,2407,0.792,1159,2538,3697,2122,673,430,1420,1949,9194
7,8.0,Phoenix Suns*,82,19780,3677,7220,0.509,74,291,0.254,3603,6929,0.52,1673,2204,0.759,1066,2298,3364,2214,693,388,1451,2147,9101
8,9.0,San Diego Clippers,82,19730,3634,7325,0.496,24,128,0.188,3610,7197,0.502,1785,2424,0.736,1307,2382,3689,1981,567,385,1515,2020,9077
9,10.0,Houston Rockets,82,19755,3729,7533,0.495,30,154,0.195,3699,7379,0.501,1583,2139,0.74,1200,2483,3683,2204,621,515,1562,2317,9071
10,11.0,Dallas Mavericks*,82,19955,3618,7235,0.5,42,184,0.228,3576,7051,0.507,1774,2350,0.755,1090,2265,3355,2164,579,360,1303,1906,9052
11,12.0,Kansas City Kings*,82,19755,3516,7230,0.486,52,189,0.275,3464,7041,0.492,1939,2495,0.777,1144,2273,3417,2229,715,383,1504,2200,9023
12,13.0,New Jersey Nets*,82,19805,3614,7258,0.498,49,232,0.211,3565,7026,0.507,1742,2488,0.7,1221,2313,3534,2148,814,499,1608,2243,9019
13,14.0,Golden State Warriors,82,19830,3519,7534,0.467,55,226,0.243,3464,7308,0.474,1915,2577,0.743,1390,2171,3561,1837,830,348,1518,2108,9008
14,15.0,Seattle SuperSonics*,82,19780,3460,7083,0.488,27,140,0.193,3433,6943,0.494,1918,2460,0.78,1064,2332,3396,2233,636,350,1360,1884,8865
15,16.0,Philadelphia 76ers*,82,19955,3384,6833,0.495,29,107,0.271,3355,6726,0.499,2041,2706,0.754,1181,2382,3563,2032,807,653,1628,2040,8838
16,17.0,New York Knicks*,82,19855,3386,6837,0.495,47,165,0.285,3339,6672,0.5,1944,2510,0.775,1088,2230,3318,2041,803,360,1587,2281,8763
17,18.0,Milwaukee Bucks*,82,19905,3432,6970,0.492,59,232,0.254,3373,6738,0.501,1743,2354,0.74,1135,2385,3520,2113,642,489,1415,2167,8666
18,19.0,Indiana Pacers,82,19780,3447,7130,0.483,48,207,0.232,3399,6923,0.491,1624,2119,0.766,1002,2398,3400,2169,834,398,1525,2061,8566
19,20.0,Chicago Bulls,82,19980,3305,6972,0.474,20,117,0.171,3285,6855,0.479,1871,2508,0.746,1141,2300,3441,2095,687,454,1578,2196,8501
20,21.0,Washington Bullets*,82,19905,3344,6907,0.484,71,282,0.252,3273,6625,0.494,1664,2201,0.756,1027,2387,3414,2192,556,320,1448,1989,8423
21,22.0,Cleveland Cavaliers,82,19855,3362,7232,0.465,43,164,0.262,3319,7068,0.47,1619,2178,0.743,1213,2388,3601,1930,630,375,1332,2206,8386
22,23.0,Atlanta Hawks*,82,19855,3230,6809,0.474,23,106,0.217,3207,6703,0.478,1838,2414,0.761,1112,2232,3344,1827,626,558,1329,2091,8321
23,,League Average,82,19847,3566,7245,0.492,49,195,0.25,3517,7050,0.499,1849,2434,0.76,1164,2364,3528,2148,697,435,1468,2112,9029
