,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
1,Syracuse Nationals*,40,26,.606,—,86.7,82.2,3.94,East,1.0
2,Boston Celtics*,39,27,.591,1.0,91.3,87.2,3.60,East,2.0
3,New York Knicks*,37,29,.561,3.0,85.0,84.2,0.67,East,3.0
4,Philadelphia Warriors*,33,33,.500,7.0,86.5,87.8,-1.08,East,4.0
5,Baltimore Bullets,20,46,.303,20.0,81.5,89.0,-6.60,East,5.0
7,Rochester Royals*,41,25,.621,—,86.2,82.8,2.92,West,1.0
8,Minneapolis Lakers*,40,26,.606,1.0,85.6,79.5,5.28,West,2.0
9,Indianapolis Olympians*,34,32,.515,7.0,82.9,82.8,0.08,West,3.0
10,Fort Wayne Pistons*,29,37,.439,12.0,78.0,80.1,-1.83,West,4.0
11,Milwaukee Hawks,17,49,.258,24.0,73.2,81.2,-7.04,West,5.0
