,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
1,New York Knicks*,47,23,.671,—,85.5,80.3,4.39,East,1.0
2,Syracuse Nationals*,47,24,.662,0.5,85.6,81.3,3.62,East,2.0
3,Boston Celtics*,46,25,.648,1.5,88.1,85.8,1.94,East,3.0
4,Baltimore Bullets*,16,54,.229,31.0,84.4,90.9,-5.80,East,4.0
5,Philadelphia Warriors,12,57,.174,34.5,80.2,87.4,-7.75,East,5.0
7,Minneapolis Lakers*,48,22,.686,—,85.3,79.2,5.54,West,1.0
8,Rochester Royals*,44,26,.629,4.0,86.3,83.5,2.62,West,2.0
9,Fort Wayne Pistons*,36,33,.522,11.5,81.0,81.1,0.17,West,3.0
10,Indianapolis Olympians*,28,43,.394,20.5,74.6,77.4,-2.30,West,4.0
11,Milwaukee Hawks,27,44,.380,21.5,75.9,77.4,-2.49,West,5.0
