,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Corner,Corner,Unnamed: 29_level_0,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%3PA,3P%,Unnamed: 29_level_1,Att.,Md.
0,1.0,Atlanta Hawks,82,19830,0.441,12.6,,0.88,0.23,0.195,0.228,0.228,0.12,,0.458,0.637,0.378,0.361,0.442,0.317,,0.489,0.806,,0.038,236,,0.128,0.452,,11.0,1.0
1,2.0,Boston Celtics,82,19730,0.444,11.9,,0.817,0.263,0.226,0.138,0.19,0.183,,0.469,0.575,0.415,0.393,0.442,0.331,,0.515,0.916,,0.029,188,,0.252,0.349,,4.0,0.0
2,3.0,Charlotte Hornets*,82,19780,0.449,12.7,,0.847,0.273,0.171,0.19,0.212,0.153,,0.469,0.632,0.387,0.356,0.429,0.339,,0.661,0.909,,0.056,340,,0.179,0.335,,4.0,0.0
3,4.0,Chicago Bulls,82,19805,0.415,13.1,,0.833,0.281,0.182,0.145,0.225,0.167,,0.432,0.565,0.368,0.337,0.38,0.329,,0.603,0.868,,0.04,220,,0.154,0.308,,6.0,0.0
4,5.0,Cleveland Cavaliers,82,19855,0.442,11.6,,0.864,0.303,0.164,0.161,0.235,0.136,,0.453,0.591,0.35,0.35,0.417,0.373,,0.622,0.878,,0.047,291,,0.205,0.41,,5.0,0.0
5,6.0,Dallas Mavericks,82,19730,0.453,13.4,,0.812,0.214,0.184,0.184,0.229,0.188,,0.468,0.643,0.362,0.386,0.455,0.391,,0.503,0.894,,0.026,175,,0.267,0.449,,8.0,1.0
6,7.0,Denver Nuggets,82,19855,0.442,13.1,,0.798,0.273,0.175,0.154,0.197,0.202,,0.469,0.653,0.369,0.351,0.395,0.336,,0.596,0.785,,0.065,404,,0.263,0.353,,10.0,1.0
7,8.0,Detroit Pistons*,82,19830,0.459,13.4,,0.816,0.316,0.112,0.139,0.248,0.184,,0.481,0.609,0.378,0.359,0.434,0.359,,0.5,0.92,,0.057,348,,0.238,0.402,,7.0,0.0
8,9.0,Golden State Warriors,82,19755,0.42,12.3,,0.85,0.233,0.245,0.143,0.229,0.15,,0.437,0.633,0.355,0.307,0.404,0.323,,0.595,0.791,,0.039,249,,0.203,0.373,,5.0,0.0
9,10.0,Houston Rockets,82,19830,0.45,13.1,,0.756,0.323,0.161,0.105,0.167,0.244,,0.48,0.649,0.345,0.3,0.397,0.358,,0.54,0.806,,0.074,439,,0.212,0.377,,10.0,0.0
10,11.0,Indiana Pacers*,82,19730,0.459,13.2,,0.776,0.187,0.23,0.151,0.209,0.224,,0.478,0.652,0.43,0.375,0.451,0.392,,0.539,0.909,,0.033,207,,0.278,0.44,,2.0,0.0
11,12.0,Los Angeles Clippers,82,19705,0.426,13.0,,0.812,0.24,0.221,0.175,0.177,0.188,,0.446,0.622,0.381,0.351,0.381,0.339,,0.471,0.762,,0.052,313,,0.155,0.337,,10.0,0.0
12,13.0,Los Angeles Lakers*,82,19805,0.459,12.2,,0.847,0.269,0.235,0.14,0.202,0.153,,0.482,0.682,0.387,0.351,0.419,0.329,,0.582,0.858,,0.065,415,,0.195,0.309,,6.0,0.0
13,14.0,Miami Heat*,82,19830,0.46,13.4,,0.814,0.23,0.172,0.175,0.236,0.186,,0.481,0.68,0.406,0.389,0.409,0.371,,0.612,0.861,,0.059,361,,0.267,0.445,,7.0,0.0
14,15.0,Milwaukee Bucks*,82,19855,0.465,13.2,,0.843,0.205,0.159,0.275,0.204,0.157,,0.483,0.629,0.414,0.427,0.465,0.369,,0.54,0.888,,0.047,288,,0.312,0.404,,20.0,0.0
