,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Corner,Corner
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%3PA,3P%
0,1.0,Atlanta Hawks,82,19830,0.455,12.4,,0.856,0.185,0.176,0.287,0.208,0.144,,0.469,0.917,0.383,0.262,0.431,0.367,,0.554,0.836,,0.052,313,,0.244,0.407
1,2.0,Boston Celtics,82,19730,0.47,12.1,,0.842,0.225,0.194,0.18,0.242,0.158,,0.49,0.735,0.433,0.291,0.456,0.361,,0.572,0.864,,0.054,326,,0.244,0.383
2,3.0,Charlotte Hornets*,82,19780,0.448,12.7,,0.841,0.184,0.166,0.274,0.216,0.159,,0.461,0.888,0.432,0.217,0.428,0.378,,0.591,0.841,,0.043,266,,0.243,0.405
3,4.0,Chicago Bulls,82,19805,0.456,13.0,,0.836,0.199,0.148,0.247,0.241,0.164,,0.478,0.901,0.446,0.219,0.416,0.341,,0.628,0.827,,0.05,293,,0.211,0.421
4,5.0,Cleveland Cavaliers,82,19855,0.443,12.5,,0.818,0.231,0.155,0.203,0.229,0.182,,0.465,0.714,0.385,0.277,0.436,0.342,,0.613,0.886,,0.044,281,,0.234,0.354
5,6.0,Dallas Mavericks,82,19730,0.457,12.6,,0.824,0.194,0.183,0.23,0.217,0.176,,0.481,0.891,0.38,0.247,0.447,0.345,,0.556,0.809,,0.053,345,,0.236,0.365
6,7.0,Denver Nuggets,82,19855,0.45,12.8,,0.838,0.188,0.175,0.238,0.237,0.162,,0.469,0.939,0.386,0.199,0.427,0.354,,0.607,0.867,,0.054,332,,0.265,0.372
7,8.0,Detroit Pistons*,82,19830,0.465,13.7,,0.816,0.175,0.132,0.255,0.255,0.184,,0.486,0.927,0.431,0.25,0.449,0.371,,0.562,0.869,,0.042,266,,0.238,0.432
8,9.0,Golden State Warriors,82,19755,0.467,12.3,,0.828,0.215,0.186,0.21,0.218,0.172,,0.488,0.889,0.365,0.248,0.429,0.367,,0.607,0.874,,0.057,353,,0.204,0.439
9,10.0,Houston Rockets,82,19830,0.456,12.5,,0.86,0.179,0.191,0.251,0.239,0.14,,0.473,0.91,0.411,0.238,0.441,0.354,,0.548,0.823,,0.044,285,,0.213,0.384
10,11.0,Indiana Pacers*,82,19730,0.446,11.9,,0.856,0.196,0.238,0.213,0.21,0.144,,0.466,0.75,0.402,0.314,0.427,0.327,,0.524,0.842,,0.042,278,,0.203,0.289
11,12.0,Los Angeles Clippers,82,19705,0.477,12.0,,0.843,0.215,0.205,0.226,0.197,0.157,,0.494,0.934,0.367,0.24,0.436,0.387,,0.557,0.911,,0.068,433,,0.203,0.47
12,13.0,Los Angeles Lakers*,82,19805,0.416,13.4,,0.833,0.154,0.162,0.281,0.235,0.167,,0.434,0.914,0.345,0.239,0.413,0.326,,0.526,0.809,,0.038,241,,0.176,0.393
13,14.0,Miami Heat*,82,19830,0.422,13.4,,0.829,0.148,0.168,0.282,0.231,0.171,,0.434,0.909,0.382,0.235,0.412,0.361,,0.52,0.853,,0.04,224,,0.182,0.447
14,15.0,Milwaukee Bucks*,82,19855,0.457,13.4,,0.796,0.182,0.146,0.27,0.198,0.204,,0.473,0.903,0.42,0.241,0.435,0.391,,0.608,0.878,,0.047,284,,0.265,0.462
15,16.0,Minnesota Timberwolves*,82,19905,0.445,13.1,,0.838,0.182,0.169,0.241,0.247,0.162,,0.462,0.91,0.408,0.21,0.414,0.356,,0.568,0.771,,0.047,287,,0.209,0.332
16,17.0,New Jersey Nets,82,19830,0.464,12.6,,0.85,0.209,0.156,0.249,0.236,0.15,,0.481,0.916,0.419,0.21,0.424,0.363,,0.563,0.832,,0.055,340,,0.247,0.348
17,18.0,New York Knicks*,82,19830,0.424,13.6,,0.813,0.154,0.154,0.269,0.235,0.187,,0.444,0.916,0.382,0.235,0.414,0.338,,0.541,0.891,,0.035,203,,0.241,0.367
18,19.0,Orlando Magic,82,19755,0.445,13.2,,0.815,0.181,0.157,0.251,0.226,0.185,,0.469,0.895,0.424,0.233,0.421,0.338,,0.602,0.928,,0.045,285,,0.243,0.339
19,20.0,Philadelphia 76ers*,82,19830,0.435,12.6,,0.822,0.185,0.208,0.247,0.183,0.178,,0.452,0.819,0.357,0.263,0.443,0.356,,0.602,0.847,,0.039,241,,0.151,0.48
20,21.0,Phoenix Suns*,82,19805,0.424,13.2,,0.828,0.169,0.166,0.263,0.23,0.172,,0.439,0.911,0.401,0.208,0.382,0.352,,0.566,0.814,,0.043,261,,0.229,0.399
21,22.0,Portland Trail Blazers*,82,19780,0.431,13.6,,0.818,0.172,0.155,0.237,0.254,0.182,,0.453,0.901,0.387,0.212,0.415,0.33,,0.566,0.832,,0.041,240,,0.223,0.352
22,23.0,Sacramento Kings*,82,19805,0.452,12.7,,0.845,0.163,0.224,0.208,0.249,0.155,,0.47,0.875,0.412,0.287,0.409,0.353,,0.559,0.866,,0.048,320,,0.252,0.41
23,24.0,San Antonio Spurs*,82,19855,0.425,12.4,,0.847,0.188,0.195,0.227,0.238,0.153,,0.44,0.717,0.393,0.274,0.418,0.343,,0.543,0.825,,0.038,230,,0.292,0.381
24,25.0,Seattle SuperSonics*,82,19780,0.451,12.9,,0.814,0.172,0.212,0.193,0.237,0.186,,0.477,0.846,0.426,0.25,0.439,0.34,,0.582,0.848,,0.044,276,,0.254,0.354
