,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner,Unnamed: 32_level_0,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%FGA,Md.,Unnamed: 29_level_1,%3PA,3P%,Unnamed: 32_level_1,Att.,Md.
0,1.0,Atlanta Hawks*,82,19855,0.454,11.5,,0.835,0.339,0.14,0.096,0.261,0.165,,0.473,0.602,0.414,0.342,0.386,0.356,,0.572,0.836,,0.062,370,,0.259,926,,0.25,0.387,,17.0,1.0
1,2.0,Boston Celtics*,82,19755,0.475,12.7,,0.751,0.32,0.118,0.102,0.211,0.249,,0.506,0.615,0.405,0.405,0.447,0.381,,0.549,0.874,,0.045,267,,0.27,967,,0.253,0.41,,15.0,0.0
2,3.0,Charlotte Bobcats,82,19880,0.452,12.0,,0.78,0.338,0.114,0.098,0.229,0.22,,0.476,0.586,0.412,0.358,0.395,0.367,,0.526,0.888,,0.053,308,,0.274,954,,0.351,0.372,,6.0,0.0
3,4.0,Chicago Bulls,82,19805,0.435,12.6,,0.81,0.306,0.102,0.12,0.282,0.19,,0.452,0.537,0.392,0.384,0.411,0.363,,0.556,0.873,,0.046,284,,0.239,800,,0.232,0.396,,11.0,0.0
4,5.0,Cleveland Cavaliers*,82,19855,0.439,12.7,,0.769,0.321,0.105,0.106,0.238,0.231,,0.463,0.602,0.366,0.357,0.365,0.358,,0.498,0.821,,0.041,251,,0.252,944,,0.345,0.383,,9.0,0.0
5,6.0,Dallas Mavericks*,82,19730,0.464,13.0,,0.785,0.264,0.108,0.17,0.243,0.215,,0.495,0.611,0.398,0.438,0.453,0.352,,0.503,0.903,,0.039,239,,0.209,759,,0.279,0.371,,19.0,0.0
6,7.0,Denver Nuggets*,82,19855,0.47,11.9,,0.772,0.362,0.102,0.1,0.208,0.228,,0.504,0.622,0.4,0.392,0.404,0.355,,0.551,0.907,,0.076,488,,0.259,1023,,0.241,0.403,,32.0,0.0
7,8.0,Detroit Pistons*,82,19730,0.458,13.5,,0.797,0.265,0.085,0.153,0.295,0.203,,0.481,0.613,0.392,0.405,0.428,0.366,,0.566,0.842,,0.047,278,,0.199,738,,0.259,0.366,,14.0,0.0
8,9.0,Golden State Warriors,82,19780,0.459,12.7,,0.705,0.345,0.121,0.068,0.171,0.295,,0.506,0.634,0.378,0.378,0.39,0.348,,0.459,0.815,,0.047,319,,0.281,1236,,0.245,0.39,,21.0,0.0
9,10.0,Houston Rockets*,82,19730,0.448,12.7,,0.745,0.315,0.127,0.096,0.206,0.255,,0.485,0.593,0.41,0.404,0.403,0.342,,0.522,0.846,,0.04,243,,0.26,955,,0.204,0.375,,12.0,0.0
10,11.0,Indiana Pacers,82,19755,0.444,14.0,,0.711,0.246,0.138,0.111,0.216,0.289,,0.472,0.616,0.423,0.38,0.386,0.374,,0.496,0.927,,0.03,193,,0.223,921,,0.188,0.398,,10.0,0.0
11,12.0,Los Angeles Clippers,82,19805,0.438,12.9,,0.833,0.261,0.128,0.153,0.291,0.167,,0.46,0.592,0.428,0.387,0.395,0.324,,0.571,0.917,,0.034,202,,0.212,747,,0.151,0.362,,16.0,2.0
12,13.0,Los Angeles Lakers*,82,19780,0.476,12.6,,0.743,0.328,0.109,0.093,0.213,0.257,,0.51,0.632,0.427,0.389,0.417,0.378,,0.554,0.863,,0.069,439,,0.248,953,,0.28,0.422,,13.0,0.0
13,14.0,Memphis Grizzlies,82,19805,0.454,12.4,,0.736,0.324,0.142,0.093,0.178,0.264,,0.492,0.61,0.424,0.362,0.399,0.349,,0.42,0.887,,0.054,336,,0.252,938,,0.197,0.389,,29.0,0.0
14,15.0,Miami Heat,82,19830,0.443,13.4,,0.783,0.268,0.115,0.107,0.294,0.217,,0.467,0.614,0.391,0.37,0.397,0.358,,0.534,0.829,,0.051,284,,0.2,699,,0.221,0.403,,11.0,0.0
15,16.0,Milwaukee Bucks,82,19855,0.449,11.6,,0.805,0.33,0.149,0.117,0.21,0.195,,0.474,0.561,0.411,0.381,0.433,0.344,,0.535,0.847,,0.047,288,,0.248,865,,0.26,0.411,,11.0,0.0
16,17.0,Minnesota Timberwolves,82,19730,0.451,11.6,,0.815,0.306,0.181,0.122,0.206,0.185,,0.474,0.589,0.43,0.379,0.399,0.35,,0.474,0.862,,0.035,210,,0.253,942,,0.191,0.358,,27.0,0.0
17,18.0,New Jersey Nets,82,19830,0.443,12.4,,0.778,0.347,0.085,0.09,0.256,0.222,,0.47,0.563,0.365,0.402,0.403,0.348,,0.632,0.873,,0.068,384,,0.26,824,,0.259,0.424,,23.0,0.0
18,19.0,New Orleans Hornets*,82,19805,0.466,12.8,,0.761,0.284,0.137,0.113,0.227,0.239,,0.49,0.617,0.427,0.4,0.413,0.389,,0.484,0.887,,0.057,361,,0.204,759,,0.289,0.439,,7.0,1.0
19,20.0,New York Knicks,82,19880,0.439,11.5,,0.785,0.353,0.137,0.101,0.194,0.215,,0.467,0.554,0.406,0.365,0.406,0.337,,0.461,0.792,,0.044,266,,0.284,975,,0.249,0.362,,21.0,1.0
20,21.0,Orlando Magic*,82,19780,0.474,12.8,,0.678,0.325,0.126,0.096,0.132,0.322,,0.516,0.635,0.414,0.405,0.401,0.386,,0.446,0.873,,0.071,423,,0.235,858,,0.334,0.413,,18.0,0.0
21,22.0,Philadelphia 76ers*,82,19755,0.46,10.9,,0.857,0.359,0.116,0.154,0.227,0.143,,0.483,0.614,0.402,0.396,0.378,0.317,,0.516,0.831,,0.074,459,,0.273,961,,0.261,0.367,,23.0,1.0
22,23.0,Phoenix Suns*,82,19780,0.5,12.7,,0.74,0.31,0.116,0.102,0.211,0.26,,0.538,0.671,0.44,0.439,0.444,0.393,,0.6,0.818,,0.066,422,,0.233,961,,0.322,0.401,,5.0,0.0
23,24.0,Portland Trail Blazers,82,19905,0.448,14.1,,0.782,0.214,0.137,0.121,0.311,0.218,,0.468,0.603,0.43,0.407,0.416,0.377,,0.516,0.92,,0.048,276,,0.153,531,,0.379,0.409,,29.0,1.0
24,25.0,Sacramento Kings,82,19830,0.464,12.0,,0.792,0.33,0.124,0.098,0.239,0.208,,0.488,0.599,0.391,0.397,0.423,0.373,,0.451,0.833,,0.044,273,,0.27,991,,0.267,0.389,,8.0,0.0
25,26.0,San Antonio Spurs*,82,19730,0.457,13.2,,0.749,0.248,0.157,0.116,0.227,0.251,,0.487,0.649,0.401,0.402,0.413,0.369,,0.498,0.928,,0.017,94,,0.225,923,,0.414,0.401,,11.0,0.0
