,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,West,12
1,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,East,11
2,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,West,1
3,Dallas Mavericks*,67,15,.817,—,100.0,92.8,7.28,West,13
4,Phoenix Suns*,61,21,.744,—,110.2,102.9,7.28,West,7
5,San Antonio Spurs*,58,24,.707,9.0,98.5,90.1,8.35,West,14
6,Detroit Pistons*,53,29,.646,—,96.0,91.8,3.69,East,6
7,Houston Rockets*,52,30,.634,15.0,97.0,92.1,5.04,West,15
8,Utah Jazz*,51,31,.622,—,101.5,98.6,3.06,West,2
9,Cleveland Cavaliers*,50,32,.610,3.0,96.8,92.9,3.33,East,7
10,Chicago Bulls*,49,33,.598,4.0,98.8,93.8,4.52,East,8
11,Toronto Raptors*,47,35,.573,—,99.5,98.5,0.61,East,1
12,Denver Nuggets*,45,37,.549,6.0,105.4,103.7,1.69,West,3
13,Miami Heat*,44,38,.537,—,94.6,95.5,-1.21,East,12
14,Los Angeles Lakers*,42,40,.512,19.0,103.3,103.4,0.24,West,8
15,Golden State Warriors*,42,40,.512,19.0,106.5,106.9,0.00,West,9
16,New Jersey Nets*,41,41,.500,6.0,97.6,98.3,-1.00,East,2
17,Washington Wizards*,41,41,.500,3.0,104.3,104.9,-0.80,East,13
18,Los Angeles Clippers,40,42,.488,21.0,95.6,96.1,-0.07,West,10
19,Orlando Magic*,40,42,.488,4.0,94.8,94.0,0.35,East,14
20,New Orleans/Oklahoma City Hornets,39,43,.476,28.0,95.5,97.1,-1.19,West,16
21,Philadelphia 76ers,35,47,.427,12.0,94.9,98.0,-3.26,East,3
22,Indiana Pacers,35,47,.427,18.0,95.6,98.0,-2.62,East,9
23,New York Knicks,33,49,.402,14.0,97.5,100.3,-3.06,East,4
24,Sacramento Kings,33,49,.402,28.0,101.3,103.1,-1.35,West,11
25,Charlotte Bobcats,33,49,.402,11.0,96.9,100.6,-3.97,East,15
26,Portland Trail Blazers,32,50,.390,19.0,94.1,98.4,-3.78,West,4
27,Minnesota Timberwolves,32,50,.390,19.0,96.1,99.7,-3.16,West,5
28,Seattle SuperSonics,31,51,.378,20.0,99.1,102.0,-2.45,West,6
29,Atlanta Hawks,30,52,.366,14.0,93.7,98.4,-4.86,East,16
30,Milwaukee Bucks,28,54,.341,25.0,99.7,104.0,-4.43,East,10
31,Boston Celtics,24,58,.293,23.0,95.8,99.2,-3.70,East,5
32,Memphis Grizzlies,22,60,.268,45.0,101.6,106.7,-4.44,West,17
