,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner,Unnamed: 32_level_0,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%FGA,Md.,Unnamed: 29_level_1,%3PA,3P%,Unnamed: 32_level_1,Att.,Md.
0,1.0,Atlanta Hawks,82,19880,0.444,11.7,,0.837,0.356,0.097,0.09,0.294,0.163,,0.467,0.572,0.385,0.398,0.387,0.329,,0.518,0.833,,0.047,273,,0.284,940,,0.253,0.373,,8.0,0.0
1,2.0,Boston Celtics,82,19855,0.443,12.0,,0.801,0.317,0.152,0.102,0.23,0.199,,0.462,0.585,0.379,0.368,0.388,0.367,,0.499,0.93,,0.032,189,,0.268,915,,0.271,0.414,,12.0,0.0
2,3.0,Charlotte Bobcats,82,20005,0.446,11.8,,0.807,0.335,0.129,0.095,0.249,0.193,,0.467,0.574,0.381,0.352,0.41,0.357,,0.565,0.921,,0.04,251,,0.272,950,,0.352,0.384,,14.0,1.0
3,4.0,Chicago Bulls*,82,19780,0.457,12.7,,0.814,0.302,0.1,0.118,0.295,0.186,,0.473,0.567,0.386,0.407,0.432,0.388,,0.562,0.81,,0.041,259,,0.24,805,,0.223,0.42,,11.0,0.0
4,5.0,Cleveland Cavaliers*,82,19880,0.447,12.1,,0.789,0.323,0.129,0.123,0.214,0.211,,0.473,0.622,0.358,0.373,0.375,0.352,,0.519,0.846,,0.045,282,,0.236,911,,0.342,0.363,,12.0,2.0
5,6.0,Dallas Mavericks*,82,19755,0.467,13.0,,0.782,0.269,0.104,0.163,0.246,0.218,,0.491,0.606,0.401,0.452,0.43,0.381,,0.469,0.88,,0.035,210,,0.216,762,,0.328,0.377,,14.0,0.0
6,7.0,Denver Nuggets*,82,19780,0.465,11.4,,0.788,0.37,0.104,0.1,0.214,0.212,,0.5,0.632,0.393,0.392,0.373,0.336,,0.55,0.924,,0.074,461,,0.263,1001,,0.251,0.318,,16.0,0.0
7,8.0,Detroit Pistons*,82,19880,0.454,12.4,,0.799,0.291,0.11,0.182,0.216,0.201,,0.481,0.602,0.408,0.404,0.421,0.344,,0.561,0.822,,0.052,307,,0.213,736,,0.318,0.352,,13.0,1.0
8,9.0,Golden State Warriors*,82,19755,0.463,12.3,,0.721,0.338,0.135,0.077,0.172,0.279,,0.504,0.654,0.362,0.359,0.386,0.356,,0.525,0.866,,0.048,325,,0.269,1139,,0.339,0.386,,15.0,0.0
9,10.0,Houston Rockets*,82,19855,0.445,13.2,,0.71,0.276,0.145,0.104,0.185,0.29,,0.475,0.578,0.431,0.385,0.406,0.372,,0.518,0.8,,0.022,142,,0.233,824,,0.269,0.399,,7.0,1.0
10,11.0,Indiana Pacers,82,19780,0.438,12.6,,0.788,0.272,0.158,0.146,0.213,0.212,,0.462,0.589,0.416,0.379,0.392,0.346,,0.522,0.898,,0.033,201,,0.225,796,,0.269,0.366,,11.0,2.0
11,12.0,Los Angeles Clippers,82,19730,0.456,12.2,,0.857,0.252,0.157,0.194,0.255,0.143,,0.474,0.619,0.454,0.406,0.394,0.348,,0.572,0.933,,0.026,158,,0.208,760,,0.181,0.38,,16.0,0.0
