,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,Boston Celtics*,61,21,.744,—,113.5,105.7,7.37,East,1
1,Los Angeles Lakers*,60,22,.732,—,115.1,109.2,5.40,West,6
2,Philadelphia 76ers*,59,23,.720,2.0,109.1,104.9,4.04,East,2
3,Seattle SuperSonics*,56,26,.683,4.0,108.5,103.8,4.24,West,7
4,Phoenix Suns*,55,27,.671,5.0,111.1,107.5,3.25,West,8
5,Atlanta Hawks*,50,32,.610,—,104.5,101.6,2.83,East,6
6,Milwaukee Bucks*,49,33,.598,—,110.1,106.1,3.57,West,1
7,Kansas City Kings*,47,35,.573,2.0,108.0,104.9,2.82,West,2
8,Houston Rockets*,41,41,.500,9.0,110.8,110.6,0.27,East,7
9,San Antonio Spurs*,41,41,.500,9.0,119.4,119.7,-0.24,East,8
10,Washington Bullets*,39,43,.476,22.0,107.0,109.5,-2.27,East,3
11,New York Knicks,39,43,.476,22.0,114.0,115.1,-0.96,East,4
12,Portland Trail Blazers*,38,44,.463,22.0,102.5,103.3,-0.87,West,9
13,Indiana Pacers,37,45,.451,13.0,111.2,111.9,-0.54,East,9
14,Cleveland Cavaliers,37,45,.451,13.0,114.1,113.8,0.43,East,10
15,San Diego Clippers,35,47,.427,25.0,107.6,111.7,-3.97,West,10
16,New Jersey Nets,34,48,.415,27.0,108.3,109.5,-0.98,East,5
17,Denver Nuggets,30,52,.366,19.0,108.3,112.7,-4.22,West,3
18,Chicago Bulls,30,52,.366,19.0,107.5,110.2,-2.63,West,4
19,Utah Jazz,24,58,.293,25.0,102.4,108.4,-5.71,West,5
20,Golden State Warriors,24,58,.293,36.0,103.6,108.0,-4.20,West,11
21,Detroit Pistons,16,66,.195,34.0,108.9,117.2,-7.57,East,11
