,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Boston Celtics*,28.3,57.0,22.0,52,27,5.66,-0.72,4.94,88.7,84.5,4.2,134.4,0.302,,0.449,,0.398,,,0.222,,,,,,,Boston Garden,201569.0,
1,2.0,St. Louis Hawks*,27.4,51.0,28.0,48,31,3.56,-0.57,2.99,91.4,88.7,2.7,129.1,0.332,,0.465,,0.411,,,0.244,,,,,,,Kiel Auditorium,,
2,3.0,Syracuse Nationals*,26.7,38.0,41.0,44,35,2.15,-0.22,1.93,93.6,91.9,1.7,129.1,0.337,,0.477,,0.418,,,0.26,,,,,,,Onondaga War Memorial,,
3,4.0,Philadelphia Warriors*,27.0,46.0,33.0,42,37,0.94,-0.05,0.89,91.2,90.5,0.7,132.0,0.35,,0.466,,0.424,,,0.228,,,,,,,Philadelphia Civic Center,,
4,5.0,Los Angeles Lakers*,25.2,36.0,43.0,39,40,-0.05,-0.06,-0.11,90.8,90.9,-0.1,124.9,0.356,,0.462,,0.403,,,0.261,,,,,,,Los Angeles Memorial Sports Arena,151344.0,
5,6.0,Detroit Pistons*,25.8,34.0,45.0,34,45,-2.38,0.27,-2.11,93.8,95.6,-1.8,126.0,0.388,,0.479,,0.417,,,0.288,,,,,,,Detroit Olympia,,
6,7.0,Cincinnati Royals,24.4,33.0,46.0,32,47,-3.46,0.42,-3.04,95.6,98.4,-2.8,122.8,0.333,,0.49,,0.438,,,0.249,,,,,,,Cincinnati Gardens,,
7,8.0,New York Knicks,26.2,21.0,58.0,25,54,-6.42,0.99,-5.43,91.9,97.1,-5.2,122.9,0.34,,0.468,,0.41,,,0.256,,,,,,,Madison Square Garden (III),,
8,,League Average,26.4,,,40,39,0.0,0.01,0.01,92.1,92.1,,127.7,0.342,,0.469,,0.415,,,0.25,,,,,,,,176457.0,
