,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Boston Celtics*,79,,,,,,,,,,,,,,,,,,,,,,114.1
1,2.0,Los Angeles Lakers*,79,,,,,,,,,,,,,,,,,,,,,,114.1
2,3.0,St. Louis Hawks*,79,,,,,,,,,,,,,,,,,,,,,,115.2
3,4.0,Syracuse Nationals*,79,,,,,,,,,,,,,,,,,,,,,,119.2
4,5.0,New York Knicks,79,,,,,,,,,,,,,,,,,,,,,,120.1
5,6.0,Philadelphia Warriors*,79,,,,,,,,,,,,,,,,,,,,,,120.1
6,7.0,Detroit Pistons*,79,,,,,,,,,,,,,,,,,,,,,,121.0
7,8.0,Cincinnati Royals,79,,,,,,,,,,,,,,,,,,,,,,121.3
8,,League Average,79,,45.4,109.4,0.415,,,,45.4,109.4,0.415,27.4,37.4,0.733,,,73.3,24.2,,,,26.8,118.1
