,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,New York Knicks*,27.0,60.0,22.0,62,20,9.09,-0.66,8.42,100.3,92.4,7.9,114.3,0.311,,0.52,,0.477,,,0.228,,,,,,,Madison Square Garden (IV),,
1,2.0,Milwaukee Bucks*,24.9,56.0,26.0,52,30,4.61,-0.36,4.25,102.1,98.1,4.0,115.8,0.322,,0.531,,0.488,,,0.236,,,,,,,Milwaukee Arena,,
2,3.0,Philadelphia 76ers*,28.1,42.0,40.0,49,33,3.41,-0.1,3.32,100.5,97.7,2.8,120.9,0.346,,0.52,,0.469,,,0.26,,,,,,,The Spectrum,,
3,4.0,Baltimore Bullets*,26.4,50.0,32.0,46,36,2.12,-0.19,1.94,98.7,96.9,1.8,121.0,0.31,,0.509,,0.458,,,0.239,,,,,,,Baltimore Civic Center,,
4,5.0,Los Angeles Lakers*,27.7,46.0,36.0,46,36,1.99,-0.23,1.76,99.1,97.4,1.7,113.9,0.332,,0.512,,0.461,,,0.25,,,,,,,The Forum,536513.0,8902.0
5,6.0,Atlanta Hawks*,27.3,48.0,34.0,42,40,0.41,-0.1,0.31,102.3,101.9,0.4,114.4,0.338,,0.531,,0.483,,,0.254,,,,,,,Alexander Memorial Coliseum,,
6,7.0,Chicago Bulls*,26.3,39.0,43.0,37,45,-1.76,0.04,-1.71,97.6,99.1,-1.5,116.5,0.352,,0.502,,0.444,,,0.272,,,,,,,Chicago Stadium,,
7,8.0,Phoenix Suns*,25.4,39.0,43.0,37,45,-1.72,0.06,-1.66,101.6,103.1,-1.5,116.7,0.416,,0.526,,0.468,,,0.31,,,,,,,Arizona Veterans Memorial Coliseum,,
8,9.0,Boston Celtics,28.4,34.0,48.0,36,46,-1.85,0.26,-1.6,97.3,98.9,-1.6,117.5,0.329,,0.5,,0.443,,,0.259,,,,,,,Boston Garden,277632.0,
9,10.0,Seattle SuperSonics,27.6,36.0,46.0,35,47,-2.52,0.09,-2.43,100.0,102.1,-2.1,116.4,0.355,,0.516,,0.462,,,0.27,,,,,,,Seattle Center Coliseum,,
10,11.0,Cincinnati Royals,27.6,36.0,46.0,34,48,-2.95,0.41,-2.55,98.0,100.4,-2.4,118.5,0.343,,0.505,,0.455,,,0.252,,,,,,,Cincinnati Gardens,,
11,12.0,San Diego Rockets,25.3,27.0,55.0,34,48,-3.1,0.15,-2.95,94.4,96.8,-2.4,125.1,0.308,,0.483,,0.436,,,0.226,,,,,,,San Diego Sports Arena,,
12,13.0,Detroit Pistons,26.2,31.0,51.0,33,49,-3.32,0.37,-2.94,100.1,103.1,-3.0,111.6,0.376,,0.518,,0.466,,,0.276,,,,,,,Cobo Arena,,
13,14.0,San Francisco Warriors,26.7,30.0,52.0,30,52,-4.41,0.26,-4.15,94.8,98.6,-3.8,116.3,0.322,,0.485,,0.432,,,0.244,,,,,,,Oakland-Alameda County Coliseum Arena,,
14,,League Average,26.8,,,41,41,0.0,0.0,0.0,99.0,99.0,,117.1,0.339,,0.511,,0.46,,,0.255,,,,,,,,407073.0,4496.0
