,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
1,New York Knicks*,60,22,.732,—,115.0,105.9,8.42,East,1.0
2,Milwaukee Bucks*,56,26,.683,4.0,118.8,114.2,4.25,East,2.0
3,Baltimore Bullets*,50,32,.610,10.0,120.7,118.6,1.94,East,3.0
4,Philadelphia 76ers*,42,40,.512,18.0,121.9,118.5,3.32,East,4.0
5,Cincinnati Royals,36,46,.439,24.0,117.3,120.2,-2.55,East,5.0
6,Boston Celtics,34,48,.415,26.0,114.9,116.8,-1.60,East,6.0
7,Detroit Pistons,31,51,.378,29.0,112.8,116.1,-2.94,East,7.0
9,Atlanta Hawks*,48,34,.585,—,117.6,117.2,0.31,West,1.0
10,Los Angeles Lakers*,46,36,.561,2.0,113.7,111.8,1.76,West,2.0
11,Chicago Bulls*,39,43,.476,9.0,114.9,116.7,-1.71,West,3.0
12,Phoenix Suns*,39,43,.476,9.0,119.3,121.1,-1.66,West,4.0
13,Seattle SuperSonics,36,46,.439,12.0,116.9,119.5,-2.43,West,5.0
14,San Francisco Warriors,30,52,.366,18.0,111.1,115.6,-4.15,West,6.0
15,San Diego Rockets,27,55,.329,21.0,118.7,121.8,-2.95,West,7.0
