,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Boston Celtics*,72,,44.6,112.7,0.395,,,,44.6,112.7,0.395,27.3,35.6,0.766,,,77.8,21.8,,,,24.6,116.4
1,2.0,Syracuse Nationals*,72,,42.4,104.0,0.407,,,,42.4,104.0,0.407,28.4,36.7,0.774,,,68.1,18.6,,,,27.2,113.1
2,3.0,New York Knicks*,72,,39.8,99.6,0.399,,,,39.8,99.6,0.399,30.8,38.9,0.791,,,69.3,19.2,,,,26.4,110.3
3,4.0,St. Louis Hawks*,72,,40.0,97.4,0.41,,,,40.0,97.4,0.41,28.8,38.3,0.752,,,70.1,21.8,,,,26.9,108.8
4,5.0,Minneapolis Lakers*,72,,38.6,98.4,0.392,,,,38.6,98.4,0.392,28.8,37.8,0.762,,,71.5,19.1,,,,26.0,106.0
5,6.0,Detroit Pistons*,72,,39.0,101.5,0.385,,,,39.0,101.5,0.385,27.0,36.5,0.74,,,67.5,18.3,,,,26.1,105.1
6,7.0,Philadelphia Warriors,72,,39.3,103.1,0.381,,,,39.3,103.1,0.381,24.8,33.7,0.735,,,68.2,19.1,,,,24.7,103.3
7,8.0,Cincinnati Royals,72,,39.6,101.9,0.389,,,,39.6,101.9,0.389,23.8,33.0,0.721,,,67.9,19.0,,,,25.8,103.1
8,,League Average,72,,40.4,102.3,0.395,,,,40.4,102.3,0.395,27.4,36.3,0.756,,,70.0,19.6,,,,26.0,108.2
