,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,Milwaukee Bucks*,59,23,.720,—,107.1,99.0,7.61,West,1
1,Boston Celtics*,56,26,.683,—,109.0,105.1,3.42,East,1
2,Chicago Bulls*,54,28,.659,5.0,102.0,98.7,3.20,West,2
3,Detroit Pistons*,52,30,.634,7.0,104.4,100.3,4.02,West,3
4,New York Knicks*,49,33,.598,7.0,101.3,98.5,2.42,East,2
5,Capital Bullets*,47,35,.573,—,101.9,100.4,1.19,East,5
6,Los Angeles Lakers*,47,35,.573,—,109.2,108.3,0.85,West,5
7,Golden State Warriors,44,38,.537,3.0,109.9,107.3,2.42,West,6
8,Buffalo Braves*,42,40,.512,14.0,111.6,111.8,-0.19,East,3
9,Seattle SuperSonics,36,46,.439,11.0,107.0,109.5,-2.29,West,7
10,Atlanta Hawks,35,47,.427,12.0,108.6,110.0,-1.47,East,6
11,Kansas City-Omaha Kings,33,49,.402,26.0,102.0,105.8,-3.24,West,4
12,Houston Rockets,32,50,.390,15.0,107.4,107.6,-0.34,East,7
13,Phoenix Suns,30,52,.366,17.0,107.9,111.5,-3.20,West,8
14,Cleveland Cavaliers,29,53,.354,18.0,100.3,104.6,-4.16,East,8
15,Portland Trail Blazers,27,55,.329,20.0,106.8,111.6,-4.30,West,9
16,Philadelphia 76ers,25,57,.305,31.0,101.2,107.5,-5.94,East,4
