,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Milwaukee Bucks*,27.3,59.0,23.0,61,21,8.04,-0.42,7.61,101.2,93.6,7.6,105.4,0.23,,0.527,,0.492,16.9,31.3,0.175,,0.425,15.2,69.4,0.192,,Milwaukee Arena,,
1,2.0,Detroit Pistons*,26.2,52.0,30.0,52,30,4.06,-0.04,4.02,97.6,93.8,3.8,106.5,0.288,,0.505,,0.459,17.2,31.3,0.22,,0.45,17.9,69.6,0.197,,Cobo Arena,,177.0
2,3.0,Boston Celtics*,28.5,56.0,26.0,51,31,3.91,-0.49,3.42,98.6,95.1,3.5,110.0,0.263,,0.503,,0.456,16.8,34.6,0.21,,0.443,15.2,73.1,0.186,,Boston Garden,355261.0,
3,4.0,Chicago Bulls*,28.7,54.0,28.0,50,32,3.3,-0.1,3.2,96.7,93.6,3.1,105.0,0.314,,0.498,,0.446,16.8,29.5,0.242,,0.46,18.9,69.7,0.197,,Chicago Stadium,,
4,5.0,New York Knicks*,28.5,49.0,33.0,49,33,2.76,-0.34,2.42,97.4,94.7,2.7,103.5,0.232,,0.504,,0.465,15.1,25.6,0.18,,0.446,15.9,72.3,0.203,,Madison Square Garden (IV),,
5,6.0,Golden State Warriors,28.4,44.0,38.0,48,34,2.56,-0.15,2.42,100.8,98.4,2.4,108.9,0.252,,0.506,,0.464,15.8,33.8,0.196,,0.453,14.2,71.2,0.195,,Oakland-Alameda County Coliseum Arena,,
6,7.0,Capital Bullets*,26.4,47.0,35.0,45,37,1.49,-0.3,1.19,95.6,94.2,1.4,106.3,0.237,,0.48,,0.441,15.3,30.6,0.177,,0.451,16.3,70.5,0.16,,Capital Centre,,
7,8.0,Los Angeles Lakers*,28.7,47.0,35.0,43,39,0.87,-0.02,0.85,97.4,96.6,0.8,111.7,0.313,,0.504,,0.453,17.7,32.9,0.241,,0.438,15.7,66.1,0.185,,The Forum,603145.0,
8,9.0,Buffalo Braves*,24.4,42.0,40.0,41,41,-0.11,-0.08,-0.19,99.3,99.4,-0.1,111.6,0.286,,0.524,,0.48,17.3,29.6,0.219,,0.467,16.4,69.0,0.196,,Buffalo Memorial Auditorium,,
9,10.0,Houston Rockets,25.4,32.0,50.0,41,41,-0.13,-0.2,-0.34,100.3,100.5,-0.2,106.1,0.279,,0.528,,0.48,16.8,28.9,0.227,,0.478,17.0,69.0,0.231,,Hofheinz Pavilion,,
10,11.0,Atlanta Hawks,27.1,35.0,47.0,37,45,-1.43,-0.04,-1.47,97.7,99.0,-1.3,110.8,0.292,,0.51,,0.465,17.3,31.0,0.22,,0.468,17.5,70.4,0.246,,Omni Coliseum,,
11,12.0,Seattle SuperSonics,26.0,36.0,46.0,34,48,-2.55,0.26,-2.29,96.8,99.1,-2.3,110.2,0.26,,0.489,,0.445,15.3,31.1,0.199,,0.463,17.0,69.8,0.244,,Seattle Center Coliseum,,
12,13.0,Phoenix Suns,26.2,30.0,52.0,32,50,-3.56,0.36,-3.2,98.1,101.3,-3.2,109.6,0.289,,0.508,,0.46,16.1,28.2,0.225,,0.467,15.6,69.1,0.236,,Arizona Veterans Memorial Coliseum,,
13,14.0,Kansas City-Omaha Kings,26.7,33.0,49.0,31,51,-3.73,0.49,-3.24,96.0,99.5,-3.5,106.1,0.287,,0.506,,0.459,17.8,29.6,0.222,,0.476,17.4,67.9,0.201,,Municipal Auditorium,,
14,15.0,Cleveland Cavaliers,26.5,29.0,53.0,29,53,-4.33,0.17,-4.16,96.0,100.1,-4.1,104.1,0.23,,0.48,,0.439,15.3,31.3,0.177,,0.469,16.6,68.7,0.231,,Cleveland Arena,,
15,16.0,Portland Trail Blazers,24.7,27.0,55.0,29,53,-4.78,0.48,-4.3,98.2,102.6,-4.4,108.5,0.275,,0.509,,0.467,17.5,31.9,0.207,,0.484,16.6,68.5,0.241,,Memorial Coliseum,,
16,17.0,Philadelphia 76ers,28.4,25.0,57.0,24,58,-6.37,0.42,-5.94,93.1,99.0,-5.9,108.3,0.275,,0.48,,0.432,16.2,27.6,0.212,,0.468,17.6,66.7,0.21,,The Spectrum,,
17,,League Average,27.0,,,41,41,0.0,0.0,0.0,97.7,97.7,,107.8,0.27,,0.503,,0.459,16.5,30.5,0.209,,0.459,16.5,69.5,0.209,,,479203.0,2053.0
