,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,Detroit Pistons*,63,19,.768,—,106.6,100.8,6.24,East,7
1,Los Angeles Lakers*,57,25,.695,—,114.7,107.5,6.38,West,7
2,Cleveland Cavaliers*,57,25,.695,6.0,108.8,101.2,7.95,East,8
3,Phoenix Suns*,55,27,.671,2.0,118.6,110.9,6.84,West,8
4,New York Knicks*,52,30,.634,—,116.7,112.9,3.62,East,1
5,Atlanta Hawks*,52,30,.634,11.0,111.0,106.1,5.26,East,9
6,Utah Jazz*,51,31,.622,—,104.7,99.7,4.01,West,1
7,Milwaukee Bucks*,49,33,.598,14.0,108.9,105.3,4.11,East,10
8,Seattle SuperSonics*,47,35,.573,10.0,112.1,109.2,2.44,West,9
9,Chicago Bulls*,47,35,.573,16.0,106.4,105.0,2.13,East,11
10,Philadelphia 76ers*,46,36,.561,6.0,111.9,110.4,1.68,East,2
11,Houston Rockets*,45,37,.549,6.0,108.5,107.5,0.22,West,2
12,Denver Nuggets*,44,38,.537,7.0,118.0,116.3,0.91,West,3
13,Golden State Warriors*,43,39,.524,14.0,116.6,116.9,-0.59,West,10
14,Boston Celtics*,42,40,.512,10.0,109.2,108.1,1.26,East,3
15,Washington Bullets,40,42,.488,12.0,108.3,110.4,-1.77,East,4
16,Portland Trail Blazers*,39,43,.476,18.0,114.6,113.1,0.92,West,11
17,Dallas Mavericks,38,44,.463,13.0,103.5,104.7,-1.79,West,4
18,Indiana Pacers,28,54,.341,35.0,106.9,111.1,-3.00,East,12
19,Sacramento Kings,27,55,.329,30.0,105.5,111.0,-5.35,West,12
20,New Jersey Nets,26,56,.317,26.0,103.7,110.1,-5.69,East,5
21,San Antonio Spurs,21,61,.256,30.0,105.5,112.8,-7.45,West,5
22,Los Angeles Clippers,21,61,.256,36.0,106.2,116.2,-9.50,West,13
23,Charlotte Hornets,20,62,.244,32.0,104.5,113.0,-7.74,East,6
24,Miami Heat,15,67,.183,36.0,97.8,109.0,-11.13,West,6
