,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
1,Philadelphia 76ers*,55,25,.688,—,117.3,112.7,4.16,East,1.0
2,Boston Celtics*,54,26,.675,1.0,112.7,107.8,4.34,East,2.0
3,Cincinnati Royals*,45,35,.563,10.0,117.8,116.6,1.03,East,3.0
4,New York Knicks,30,50,.375,25.0,116.7,119.3,-2.31,East,4.0
6,Los Angeles Lakers*,45,35,.563,—,119.5,116.4,2.76,West,1.0
7,Baltimore Bullets*,38,42,.475,7.0,118.3,119.5,-1.06,West,2.0
8,St. Louis Hawks*,36,44,.450,9.0,111.4,112.0,-0.50,West,3.0
9,San Francisco Warriors,35,45,.438,10.0,115.5,118.2,-2.36,West,4.0
10,Detroit Pistons,22,58,.275,23.0,110.3,117.2,-6.07,West,5.0
