,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Boston Celtics*,28.8,54.0,26.0,52,28,4.89,-0.54,4.34,92.3,88.3,4.0,122.0,0.33,,0.47,,0.417,,,0.244,,,,,,,Boston Garden,246189.0,
1,2.0,Philadelphia 76ers*,26.5,55.0,25.0,51,29,4.68,-0.52,4.16,95.3,91.5,3.8,122.8,0.384,,0.49,,0.446,,,0.255,,,,,,,Convention Hall,,
2,3.0,Los Angeles Lakers*,26.5,45.0,35.0,47,33,3.1,-0.34,2.76,98.3,95.7,2.6,121.2,0.377,,0.505,,0.444,,,0.291,,,,,,,Los Angeles Memorial Sports Arena,426467.0,
3,4.0,Cincinnati Royals*,26.8,45.0,35.0,43,37,1.16,-0.13,1.03,97.5,96.5,1.0,120.4,0.358,,0.501,,0.444,,,0.271,,,,,,,Cincinnati Gardens,,
4,5.0,St. Louis Hawks*,27.4,36.0,44.0,39,41,-0.56,0.06,-0.5,95.6,96.1,-0.5,116.6,0.366,,0.49,,0.431,,,0.275,,,,,,,Kiel Auditorium,,
5,6.0,Baltimore Bullets*,27.8,38.0,42.0,37,43,-1.19,0.13,-1.06,95.8,96.8,-1.0,123.1,0.388,,0.492,,0.438,,,0.276,,,,,,,Baltimore Civic Center,,
6,7.0,New York Knicks,25.4,30.0,50.0,34,46,-2.6,0.29,-2.31,97.8,99.9,-2.1,118.9,0.389,,0.504,,0.45,,,0.28,,,,,,,Madison Square Garden (III),,
7,8.0,San Francisco Warriors,25.6,35.0,45.0,34,46,-2.65,0.29,-2.36,92.6,94.8,-2.2,124.6,0.338,,0.473,,0.418,,,0.25,,,,,,,San Francisco Civic Auditorium,,2436.0
8,9.0,Detroit Pistons,25.0,22.0,58.0,24,56,-6.83,0.76,-6.07,89.4,94.9,-5.5,123.4,0.322,,0.455,,0.409,,,0.221,,,,,,,Cobo Arena,,
9,,League Average,26.6,,,40,40,0.0,0.0,0.0,94.9,94.9,,121.4,0.361,,0.487,,0.433,,,0.262,,,,,,,,336328.0,2436.0
