,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner,Unnamed: 32_level_0,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%FGA,Md.,Unnamed: 29_level_1,%3PA,3P%,Unnamed: 32_level_1,Att.,Md.
0,1.0,Atlanta Hawks,82,19855,0.441,10.4,,0.854,0.371,0.141,0.139,0.204,0.146,,0.463,0.579,0.341,0.331,0.426,0.312,,0.511,0.872,,0.056,354,,0.289,985,,0.265,0.295,,16.0,0.0
1,2.0,Boston Celtics*,82,19880,0.468,11.3,,0.808,0.364,0.119,0.113,0.212,0.192,,0.496,0.614,0.36,0.379,0.433,0.349,,0.543,0.899,,0.049,305,,0.296,1065,,0.296,0.381,,12.0,0.0
2,3.0,Charlotte Bobcats,82,19880,0.432,11.7,,0.872,0.284,0.149,0.145,0.294,0.128,,0.442,0.574,0.375,0.351,0.392,0.363,,0.57,0.903,,0.036,232,,0.223,791,,0.344,0.413,,6.0,0.0
3,4.0,Chicago Bulls*,82,19830,0.432,12.3,,0.783,0.297,0.144,0.128,0.214,0.217,,0.453,0.566,0.374,0.367,0.401,0.357,,0.569,0.806,,0.044,272,,0.229,743,,0.234,0.402,,5.0,0.0
4,5.0,Cleveland Cavaliers,82,19855,0.447,11.2,,0.865,0.312,0.161,0.159,0.233,0.135,,0.465,0.609,0.402,0.358,0.39,0.332,,0.599,0.797,,0.056,352,,0.217,765,,0.292,0.36,,4.0,0.0
5,6.0,Dallas Mavericks*,82,19730,0.457,12.3,,0.81,0.287,0.132,0.148,0.243,0.19,,0.479,0.594,0.44,0.399,0.413,0.364,,0.472,0.834,,0.046,287,,0.219,756,,0.242,0.37,,20.0,0.0
6,7.0,Denver Nuggets*,82,19755,0.459,11.1,,0.858,0.364,0.102,0.117,0.274,0.142,,0.479,0.627,0.36,0.36,0.377,0.34,,0.617,0.878,,0.083,499,,0.261,955,,0.304,0.399,,23.0,0.0
7,8.0,Detroit Pistons*,82,19955,0.444,11.5,,0.836,0.321,0.117,0.183,0.215,0.164,,0.463,0.576,0.393,0.413,0.377,0.345,,0.592,0.865,,0.066,379,,0.225,723,,0.273,0.355,,8.0,0.0
8,9.0,Golden State Warriors,82,19905,0.43,13.3,,0.748,0.254,0.155,0.092,0.248,0.252,,0.457,0.642,0.328,0.364,0.382,0.352,,0.542,0.814,,0.041,270,,0.201,825,,0.246,0.358,,10.0,0.0
9,10.0,Houston Rockets*,82,19855,0.443,13.4,,0.763,0.254,0.134,0.119,0.256,0.237,,0.468,0.59,0.435,0.394,0.399,0.364,,0.561,0.808,,0.045,251,,0.188,635,,0.277,0.391,,11.0,0.0
10,11.0,Indiana Pacers*,82,19905,0.432,13.2,,0.745,0.27,0.14,0.137,0.199,0.255,,0.463,0.582,0.407,0.397,0.384,0.344,,0.481,0.86,,0.036,203,,0.213,663,,0.272,0.403,,10.0,0.0
11,12.0,Los Angeles Clippers,82,20030,0.459,11.4,,0.895,0.298,0.151,0.156,0.29,0.105,,0.473,0.59,0.449,0.397,0.405,0.345,,0.632,0.861,,0.052,305,,0.229,750,,0.302,0.411,,13.0,0.0
12,13.0,Los Angeles Lakers,82,19780,0.437,12.7,,0.727,0.329,0.118,0.092,0.188,0.273,,0.467,0.562,0.411,0.377,0.382,0.355,,0.491,0.88,,0.045,269,,0.255,857,,0.25,0.352,,29.0,0.0
13,14.0,Memphis Grizzlies*,82,19705,0.447,11.4,,0.763,0.354,0.145,0.089,0.176,0.237,,0.475,0.578,0.388,0.369,0.39,0.357,,0.546,0.896,,0.065,358,,0.269,861,,0.31,0.369,,15.0,0.0
14,15.0,Miami Heat*,82,19980,0.486,11.5,,0.802,0.336,0.137,0.111,0.218,0.198,,0.513,0.652,0.423,0.376,0.427,0.377,,0.528,0.855,,0.084,499,,0.23,838,,0.255,0.374,,7.0,1.0
15,16.0,Milwaukee Bucks,82,19780,0.45,11.1,,0.859,0.331,0.128,0.177,0.224,0.141,,0.467,0.558,0.395,0.412,0.416,0.351,,0.543,0.88,,0.044,261,,0.261,872,,0.266,0.37,,8.0,0.0
16,17.0,Minnesota Timberwolves,82,19755,0.459,13.2,,0.827,0.225,0.138,0.18,0.285,0.173,,0.483,0.618,0.435,0.426,0.436,0.345,,0.593,0.876,,0.03,181,,0.173,656,,0.211,0.388,,13.0,0.0
17,18.0,New Jersey Nets*,82,19905,0.429,12.9,,0.813,0.276,0.118,0.119,0.299,0.187,,0.444,0.538,0.402,0.365,0.407,0.362,,0.597,0.89,,0.038,217,,0.217,669,,0.279,0.39,,12.0,0.0
18,19.0,New Orleans Hornets,82,19930,0.415,12.6,,0.799,0.304,0.096,0.122,0.277,0.201,,0.44,0.537,0.374,0.382,0.381,0.315,,0.601,0.822,,0.044,256,,0.237,724,,0.227,0.331,,9.0,0.0
19,20.0,New York Knicks,82,19880,0.451,12.1,,0.812,0.3,0.14,0.122,0.251,0.188,,0.473,0.586,0.396,0.419,0.407,0.356,,0.515,0.812,,0.04,239,,0.237,832,,0.261,0.395,,16.0,0.0
20,21.0,Orlando Magic,82,19705,0.454,11.6,,0.863,0.327,0.106,0.154,0.276,0.137,,0.471,0.597,0.373,0.399,0.4,0.349,,0.487,0.813,,0.069,422,,0.233,800,,0.204,0.385,,7.0,0.0
21,22.0,Philadelphia 76ers*,82,19855,0.437,12.0,,0.784,0.323,0.12,0.129,0.213,0.216,,0.462,0.587,0.374,0.349,0.391,0.348,,0.521,0.869,,0.05,317,,0.247,846,,0.253,0.414,,7.0,0.0
22,23.0,Phoenix Suns*,82,19780,0.477,13.0,,0.711,0.3,0.119,0.12,0.172,0.289,,0.512,0.64,0.421,0.418,0.416,0.393,,0.483,0.869,,0.078,505,,0.204,792,,0.312,0.413,,22.0,1.0
23,24.0,Portland Trail Blazers,82,19730,0.451,11.1,,0.819,0.335,0.161,0.11,0.213,0.181,,0.471,0.611,0.382,0.341,0.384,0.362,,0.553,0.84,,0.076,446,,0.235,794,,0.213,0.397,,10.0,0.0
24,25.0,Sacramento Kings*,82,19855,0.459,13.4,,0.8,0.258,0.125,0.081,0.336,0.2,,0.48,0.618,0.435,0.38,0.415,0.374,,0.582,0.852,,0.039,238,,0.199,794,,0.254,0.418,,9.0,0.0
25,26.0,San Antonio Spurs*,82,19805,0.453,11.6,,0.784,0.293,0.201,0.118,0.173,0.216,,0.478,0.637,0.399,0.378,0.369,0.363,,0.536,0.939,,0.034,187,,0.254,970,,0.431,0.388,,8.0,0.0
26,27.0,Seattle SuperSonics*,82,19755,0.444,12.9,,0.719,0.276,0.16,0.118,0.165,0.281,,0.474,0.605,0.397,0.397,0.385,0.365,,0.411,0.865,,0.04,234,,0.221,791,,0.239,0.399,,19.0,0.0
27,28.0,Toronto Raptors,82,19805,0.444,12.9,,0.747,0.283,0.123,0.136,0.206,0.253,,0.463,0.564,0.403,0.402,0.401,0.385,,0.488,0.843,,0.04,232,,0.21,700,,0.384,0.416,,13.0,0.0
28,29.0,Utah Jazz,82,19780,0.449,11.6,,0.879,0.336,0.093,0.137,0.312,0.121,,0.465,0.589,0.363,0.378,0.402,0.328,,0.625,0.86,,0.042,243,,0.269,911,,0.252,0.38,,14.0,0.0
29,30.0,Washington Wizards*,82,19780,0.437,12.5,,0.78,0.268,0.188,0.118,0.206,0.22,,0.463,0.664,0.323,0.345,0.396,0.343,,0.478,0.763,,0.053,339,,0.204,823,,0.208,0.321,,8.0,1.0
30,,League Average,82,19838,0.447,12.1,,0.804,0.304,0.135,0.129,0.236,0.196,,0.47,0.596,0.391,0.383,0.4,0.356,,0.544,0.854,,0.051,305,,0.231,806,,0.272,0.384,,12.1,0.1
