,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,Philadelphia 76ers*,65,17,.793,—,112.1,104.4,7.53,East,1
1,Los Angeles Lakers*,58,24,.707,—,115.0,109.5,5.06,West,7
2,Boston Celtics*,56,26,.683,9.0,112.1,106.7,5.34,East,2
3,San Antonio Spurs*,53,29,.646,—,114.3,110.7,3.10,West,1
4,Phoenix Suns*,53,29,.646,5.0,107.0,102.0,4.61,West,8
5,Milwaukee Bucks*,51,31,.622,—,106.6,102.2,4.32,East,6
6,New Jersey Nets*,49,33,.598,16.0,105.8,103.0,2.77,East,3
7,Seattle SuperSonics*,48,34,.585,10.0,110.0,106.8,2.88,West,9
8,Portland Trail Blazers*,46,36,.561,12.0,107.4,105.3,1.88,West,10
9,Denver Nuggets*,45,37,.549,8.0,123.2,122.6,0.27,West,2
10,Kansas City Kings,45,37,.549,8.0,113.8,112.3,1.04,West,3
11,New York Knicks*,44,38,.537,21.0,100.0,97.5,2.58,East,4
12,Atlanta Hawks*,43,39,.524,8.0,101.6,102.6,-0.72,East,7
13,Washington Bullets,42,40,.512,23.0,99.2,99.3,0.20,East,5
14,Dallas Mavericks,38,44,.463,15.0,112.7,113.1,-0.70,West,4
15,Detroit Pistons,37,45,.451,14.0,112.7,113.1,-0.17,East,8
16,Utah Jazz,30,52,.366,23.0,109.0,113.2,-4.22,West,5
17,Golden State Warriors,30,52,.366,28.0,108.6,112.3,-3.48,West,11
18,Chicago Bulls,28,54,.341,23.0,111.0,115.9,-4.41,East,9
19,San Diego Clippers,25,57,.305,33.0,108.6,113.4,-4.61,West,12
20,Cleveland Cavaliers,23,59,.280,28.0,97.1,104.6,-6.78,East,10
21,Indiana Pacers,20,62,.244,31.0,108.7,114.5,-5.36,East,11
22,Houston Rockets,14,68,.171,39.0,99.3,110.9,-11.12,West,6
