,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%FGA,Md.,Unnamed: 29_level_1,%3PA,3P%
0,1.0,Atlanta Hawks*,82,19880,0.444,14.2,,0.65,0.264,0.127,0.104,0.155,0.35,,0.491,0.591,0.421,0.421,0.425,0.357,,0.51,0.843,,0.043,278,,0.227,851,,0.255,0.399
1,2.0,Boston Celtics*,82,19755,0.45,13.5,,0.685,0.282,0.159,0.093,0.151,0.315,,0.505,0.627,0.432,0.402,0.417,0.332,,0.505,0.845,,0.047,304,,0.243,969,,0.209,0.344
2,3.0,Brooklyn Nets,82,19755,0.458,13.3,,0.7,0.282,0.152,0.108,0.158,0.3,,0.498,0.619,0.418,0.402,0.425,0.366,,0.477,0.794,,0.049,338,,0.25,1015,,0.219,0.389
3,4.0,Chicago Bulls*,82,19780,0.456,12.9,,0.701,0.314,0.149,0.094,0.145,0.299,,0.503,0.607,0.418,0.416,0.423,0.345,,0.525,0.851,,0.05,332,,0.281,1086,,0.224,0.399
4,5.0,Charlotte Hornets,82,19830,0.456,14.1,,0.637,0.289,0.116,0.088,0.144,0.363,,0.506,0.608,0.425,0.427,0.417,0.369,,0.52,0.865,,0.04,252,,0.253,1013,,0.228,0.391
5,6.0,Cleveland Cavaliers*,82,19880,0.458,13.3,,0.677,0.292,0.146,0.104,0.134,0.323,,0.504,0.633,0.404,0.406,0.406,0.361,,0.524,0.849,,0.048,314,,0.25,1043,,0.239,0.365
6,7.0,Dallas Mavericks,82,19780,0.469,13.7,,0.68,0.261,0.155,0.105,0.159,0.32,,0.51,0.671,0.433,0.416,0.386,0.38,,0.491,0.807,,0.048,277,,0.216,865,,0.257,0.417
7,8.0,Denver Nuggets,82,19755,0.477,13.2,,0.703,0.29,0.149,0.103,0.16,0.297,,0.519,0.641,0.463,0.446,0.399,0.375,,0.494,0.823,,0.052,350,,0.245,1032,,0.222,0.404
8,9.0,Detroit Pistons,82,19805,0.46,13.4,,0.693,0.262,0.171,0.113,0.147,0.307,,0.502,0.66,0.373,0.44,0.42,0.366,,0.533,0.863,,0.038,237,,0.228,959,,0.229,0.401
9,10.0,Golden State Warriors*,82,19780,0.435,13.2,,0.689,0.298,0.157,0.096,0.138,0.311,,0.485,0.622,0.372,0.369,0.399,0.324,,0.512,0.825,,0.052,343,,0.253,1043,,0.203,0.351
10,11.0,Houston Rockets*,82,19780,0.463,13.4,,0.672,0.292,0.164,0.079,0.137,0.328,,0.522,0.69,0.41,0.391,0.374,0.343,,0.508,0.832,,0.051,356,,0.259,1185,,0.233,0.368
11,12.0,Indiana Pacers*,82,19855,0.451,14.2,,0.654,0.261,0.147,0.096,0.151,0.346,,0.501,0.625,0.434,0.432,0.397,0.355,,0.477,0.883,,0.046,293,,0.247,943,,0.25,0.398
12,13.0,Los Angeles Clippers*,82,19755,0.452,13.7,,0.692,0.261,0.154,0.119,0.159,0.308,,0.497,0.659,0.428,0.404,0.369,0.35,,0.525,0.829,,0.052,338,,0.224,920,,0.219,0.378
13,14.0,Los Angeles Lakers,82,19705,0.483,13.3,,0.682,0.301,0.145,0.088,0.148,0.318,,0.536,0.68,0.434,0.403,0.42,0.37,,0.544,0.853,,0.07,454,,0.241,1033,,0.216,0.382
14,15.0,Memphis Grizzlies*,82,19905,0.443,14.1,,0.644,0.275,0.144,0.089,0.136,0.356,,0.492,0.622,0.417,0.382,0.381,0.354,,0.476,0.82,,0.043,248,,0.246,897,,0.243,0.399
15,16.0,Miami Heat,82,19780,0.45,12.5,,0.73,0.305,0.163,0.118,0.144,0.27,,0.49,0.585,0.427,0.464,0.382,0.343,,0.437,0.831,,0.043,273,,0.267,968,,0.233,0.361
16,17.0,Milwaukee Bucks*,82,19780,0.458,13.1,,0.66,0.323,0.137,0.091,0.11,0.34,,0.512,0.623,0.426,0.392,0.39,0.353,,0.551,0.863,,0.054,335,,0.274,1040,,0.288,0.391
