,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Philadelphia 76ers*,27.0,68.0,13.0,61,20,9.44,-0.94,8.5,101.5,93.9,7.6,122.9,0.421,,0.528,,0.483,,,0.286,,,,,,,Convention Hall,,
1,2.0,Boston Celtics*,29.6,60.0,21.0,59,22,8.05,-0.81,7.24,97.5,91.0,6.5,121.2,0.356,,0.502,,0.447,,,0.266,,,,,,,Boston Garden,322690.0,
2,3.0,San Francisco Warriors*,25.3,44.0,37.0,47,34,2.86,-0.29,2.58,95.3,93.1,2.2,127.4,0.343,,0.488,,0.433,,,0.259,,,,,,,San Francisco Civic Auditorium,,
3,4.0,Los Angeles Lakers*,27.1,36.0,45.0,41,40,0.35,-0.04,0.31,97.4,97.1,0.3,123.0,0.345,,0.501,,0.447,,,0.259,,,,,,,Los Angeles Memorial Sports Arena,435008.0,
4,5.0,Cincinnati Royals*,26.4,39.0,42.0,40,41,-0.26,0.03,-0.23,98.4,98.6,-0.2,118.6,0.345,,0.506,,0.449,,,0.268,,,,,,,Cincinnati Gardens,,
5,6.0,St. Louis Hawks*,26.7,39.0,42.0,37,44,-1.6,0.16,-1.44,96.1,97.4,-1.3,117.7,0.372,,0.494,,0.443,,,0.264,,,,,,,Kiel Auditorium,,
6,7.0,New York Knicks*,25.2,36.0,45.0,33,48,-3.05,0.31,-2.74,97.9,100.5,-2.6,118.5,0.371,,0.505,,0.453,,,0.268,,,,,,,Madison Square Garden (III),,
7,8.0,Chicago Bulls*,25.6,33.0,48.0,31,50,-3.74,0.37,-3.37,92.3,95.4,-3.1,122.2,0.327,,0.471,,0.419,,,0.24,,,,,,,International Amphitheatre,,
8,9.0,Detroit Pistons,25.2,30.0,51.0,27,54,-5.53,0.55,-4.98,90.9,95.4,-4.5,121.5,0.319,,0.463,,0.412,,,0.231,,,,,,,Cobo Arena,,
9,10.0,Baltimore Bullets,27.5,20.0,61.0,26,55,-6.52,0.65,-5.87,93.4,98.6,-5.2,123.0,0.323,,0.477,,0.427,,,0.236,,,,,,,Baltimore Civic Center,,
10,,League Average,26.6,,,40,41,0.0,0.0,0.0,96.1,96.1,,121.6,0.352,,0.493,,0.441,,,0.257,,,,,,,,378849.0,
