,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
1,Philadelphia 76ers*,68,13,.840,—,125.2,115.8,8.50,East,1.0
2,Boston Celtics*,60,21,.741,8.0,119.3,111.3,7.24,East,2.0
3,Cincinnati Royals*,39,42,.481,29.0,117.1,117.4,-0.23,East,3.0
4,New York Knicks*,36,45,.444,32.0,116.4,119.4,-2.74,East,4.0
5,Baltimore Bullets,20,61,.247,48.0,115.5,122.0,-5.87,East,5.0
7,San Francisco Warriors*,44,37,.543,—,122.4,119.5,2.58,West,1.0
8,St. Louis Hawks*,39,42,.481,5.0,113.6,115.2,-1.44,West,2.0
9,Los Angeles Lakers*,36,45,.444,8.0,120.5,120.2,0.31,West,3.0
10,Chicago Bulls*,33,48,.407,11.0,113.2,116.9,-3.37,West,4.0
11,Detroit Pistons,30,51,.370,14.0,111.3,116.8,-4.98,West,5.0
