,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,Chicago Bulls*,67,15,.817,—,109.9,99.5,10.07,East,8
1,Portland Trail Blazers*,57,25,.695,—,111.4,104.1,6.94,West,7
2,Cleveland Cavaliers*,57,25,.695,10.0,108.9,103.4,5.34,East,9
3,Utah Jazz*,55,27,.671,—,108.3,101.9,5.70,West,1
4,Golden State Warriors*,55,27,.671,2.0,118.7,114.8,3.77,West,8
5,Phoenix Suns*,53,29,.646,4.0,112.1,106.2,5.68,West,9
6,Boston Celtics*,51,31,.622,—,106.6,103.0,3.41,East,1
7,New York Knicks*,51,31,.622,—,101.6,97.7,3.67,East,2
8,Detroit Pistons*,48,34,.585,19.0,98.9,96.9,2.06,East,10
9,San Antonio Spurs*,47,35,.573,8.0,104.0,100.6,2.81,West,2
10,Seattle SuperSonics*,47,35,.573,10.0,106.5,104.7,1.86,West,10
11,Los Angeles Clippers*,45,37,.549,12.0,102.9,101.9,1.10,West,11
12,Los Angeles Lakers*,43,39,.524,14.0,100.4,101.5,-0.95,West,12
13,Houston Rockets,42,40,.512,13.0,102.0,103.7,-1.94,West,3
14,New Jersey Nets*,40,42,.488,11.0,105.4,107.1,-1.54,East,3
15,Indiana Pacers*,40,42,.488,27.0,112.2,110.3,1.85,East,11
16,Miami Heat*,38,44,.463,13.0,105.0,109.2,-3.94,East,4
17,Atlanta Hawks,38,44,.463,29.0,106.2,107.7,-1.15,East,12
18,Philadelphia 76ers,35,47,.427,16.0,101.9,103.2,-1.34,East,5
19,Milwaukee Bucks,31,51,.378,36.0,105.0,106.7,-1.46,East,13
20,Charlotte Hornets,31,51,.378,36.0,109.5,113.4,-3.57,East,14
21,Sacramento Kings,29,53,.354,28.0,104.3,110.3,-5.63,West,13
22,Washington Bullets,25,57,.305,26.0,102.4,106.8,-4.35,East,6
23,Denver Nuggets,24,58,.293,31.0,99.7,107.6,-7.59,West,4
24,Dallas Mavericks,22,60,.268,33.0,97.6,105.3,-7.47,West,5
25,Orlando Magic,21,61,.256,30.0,101.6,108.5,-6.52,East,7
26,Minnesota Timberwolves,15,67,.183,40.0,100.5,107.5,-6.85,West,6
