,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,New York Knicks,72,,40.1,101.5,0.395,,,,40.1,101.5,0.395,31.9,42.4,0.753,,,74.8,18.9,,,,25.9,112.1
1,2.0,Boston Celtics*,72,,41.8,107.8,0.387,,,,41.8,107.8,0.387,26.4,35.9,0.737,,,75.0,20.9,,,,23.9,109.9
2,3.0,St. Louis Hawks*,72,,38.6,99.5,0.388,,,,38.6,99.5,0.388,30.3,42.3,0.715,,,75.6,21.4,,,,26.0,107.5
3,4.0,Syracuse Nationals*,72,,39.2,101.9,0.385,,,,39.2,101.9,0.385,28.8,36.3,0.793,,,68.0,18.0,,,,25.3,107.2
4,5.0,Detroit Pistons*,72,,38.1,101.3,0.376,,,,38.1,101.3,0.376,29.1,38.5,0.755,,,71.8,17.6,,,,25.1,105.3
5,6.0,Minneapolis Lakers,72,,36.9,99.9,0.37,,,,36.9,99.9,0.37,31.2,41.8,0.747,,,72.1,18.4,,,,27.5,105.1
6,7.0,Philadelphia Warriors*,72,,38.4,101.1,0.38,,,,38.4,101.1,0.38,27.5,36.1,0.762,,,67.2,20.0,,,,24.5,104.3
7,8.0,Cincinnati Royals*,72,,39.1,101.9,0.384,,,,39.1,101.9,0.384,23.4,32.9,0.712,,,68.9,21.9,,,,25.5,101.7
8,,League Average,72,,39.0,101.9,0.383,,,,39.0,101.9,0.383,28.6,38.3,0.746,,,71.7,19.6,,,,25.5,106.6
